Grasp80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:53:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
51;839.713867;532.441040;75.934402;897.304993;512.420105;69.034424;945.251587;585.960388;129.015442;1076.174072;756.950134;460.564240;;;;;;;;;;;;;;;;;;;;;;;;
52;843.148804;535.332397;76.253250;900.372131;515.546204;70.646263;947.961060;588.811218;130.421036;1077.300903;758.520081;461.203491;;;;;;;;;;;;;;;;;;;;;;;;
53;847.027893;538.416077;76.814278;903.066345;518.090698;71.593590;950.552734;591.511597;131.317139;1078.173218;759.955872;461.711578;;;;;;;;;;;;;;;;;;;;;;;;
54;850.651855;541.468079;76.552109;905.258545;520.956970;72.570374;953.028381;594.392578;132.324356;1079.323608;761.441162;462.629059;;;;;;;;;;;;;;;;;;;;;;;;
55;853.699036;545.101074;76.805138;907.453186;524.176941;73.113907;955.178284;597.497009;133.436478;1080.997925;762.556335;462.987671;;;;;;;;;;;;;;;;;;;;;;;;
56;856.672607;548.471741;77.094704;909.583008;527.360474;73.899193;957.337585;600.697510;133.998749;1081.831909;764.016052;463.740082;;;;;;;;;;;;;;;;;;;;;;;;
57;859.803101;552.267639;76.823250;911.557495;530.848389;75.000618;959.487854;604.287537;134.863510;1083.399902;765.323669;464.622955;;;;;;;;;;;;;;;;;;;;;;;;
58;862.745850;555.973267;76.141579;913.624390;534.177429;75.446960;961.133179;607.548523;135.588669;1084.905762;766.322266;465.017151;;;;;;;;;;;;;;;;;;;;;;;;
59;865.160828;560.080750;76.659554;915.071289;537.939758;76.352592;962.928833;611.019043;136.264114;1085.840210;767.935547;465.925964;;;;;;;;;;;;;;;;;;;;;;;;
60;867.029114;564.174133;76.261116;916.684570;541.364502;77.130302;964.458984;614.560120;136.681244;1087.571655;769.093994;466.716919;;;;;;;;;;;;;;;;;;;;;;;;
