;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
43;897.337830;820.576172;65.941254;763.080933;811.467590;33.464970;1096.644775;899.200012;456.076965;1063.865723;933.638611;247.915222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;897.292175;820.600891;65.920502;763.008484;811.454285;33.482285;1096.627808;899.205261;456.076111;1063.845215;933.694275;247.898514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;897.287720;820.679016;66.007317;763.010864;811.448547;33.519222;1096.520874;899.278381;456.020630;1064.320557;933.322083;247.257889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;897.171997;820.713501;65.993668;762.982788;811.460388;33.541805;1096.508667;899.266235;455.945496;1064.649292;933.163940;246.964294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;897.091248;820.720825;66.030426;762.910461;811.553589;33.516655;1096.298340;899.268616;455.936218;1064.083374;933.766785;247.499481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;897.013916;820.801819;66.124382;762.953491;811.556213;33.509933;1096.172607;899.312805;455.906464;1063.665527;934.217041;247.954697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;896.849487;820.804321;66.297180;762.946594;811.555176;33.551941;1096.116211;899.325439;455.849426;1064.034058;934.835571;247.630188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;896.746033;820.863037;66.283127;762.858398;811.588989;33.512554;1096.020630;899.233154;455.778595;1064.162231;934.979187;247.257675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;896.722595;820.858154;66.444412;762.832397;811.582214;33.538761;1095.900635;899.228821;455.636749;1064.134033;935.096619;247.159241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;896.606384;820.834534;66.602242;762.890137;811.579895;33.624622;1095.777344;899.274780;455.559113;1064.186646;935.197937;247.217468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;896.536011;820.764832;66.835388;762.842957;811.601257;33.573391;1095.753784;899.187561;455.444702;1064.328491;935.321411;247.128311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;896.583069;820.930298;66.959747;762.853699;811.666016;33.637249;1095.762817;899.121521;455.357727;1064.491699;935.467285;246.900970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;896.408386;820.822815;67.255188;762.842957;811.675354;33.731510;1095.811279;899.059814;455.313599;1064.717041;935.438538;246.661621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;896.221436;820.922363;67.767563;762.797607;811.776306;33.748383;1096.127441;899.431396;455.045624;1064.961670;935.610596;246.555176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;896.162170;820.943726;68.108849;762.761353;811.809387;33.790298;1096.147583;899.568848;454.657135;1065.161743;935.689880;246.258621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;896.042908;820.887817;68.527229;762.700745;811.919983;33.853638;1096.227905;899.466492;454.362518;1065.693115;935.628357;245.904602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;895.882690;820.971619;68.781464;762.622375;812.045654;33.939823;1096.390137;899.430908;454.239471;1066.093506;935.786438;245.560379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;895.839905;821.179871;69.099205;762.422791;812.228760;34.339100;1096.534912;899.332214;453.925964;1066.705078;936.346802;245.235870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;895.628479;821.259827;70.033958;762.278992;812.336304;34.674267;1097.062012;899.088440;453.615784;1067.468872;936.749878;244.822906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;895.184082;821.561890;70.919731;762.310913;812.617249;35.243259;1097.450317;898.888489;453.352173;1068.514282;936.589172;243.937592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;894.706787;821.570007;71.811546;762.088928;813.130554;36.966286;1098.050293;898.666382;452.828430;1069.004517;936.732605;243.658493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;894.414063;821.650330;72.470428;761.644897;813.509949;39.436337;1098.336304;898.859802;452.314850;1069.220581;936.938782;243.531464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;894.267822;821.844788;73.405029;761.572388;814.126221;41.289085;1098.651245;899.031128;451.937592;1069.589966;937.134644;243.476379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;894.303711;821.999390;74.452507;761.008728;814.734314;44.524975;1098.919312;899.014099;451.331329;1071.212158;937.602783;242.423355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;894.097595;822.200195;76.182571;760.736938;815.149353;47.452904;1099.253662;899.095886;450.887451;1072.320923;937.972534;241.754684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;893.949951;822.194580;77.426262;760.207703;815.476746;50.483006;1100.088379;899.179504;450.004578;1072.722778;938.153931;241.763916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;893.685730;822.371155;78.386841;759.936157;816.100525;53.333652;1100.742676;899.319519;449.412842;1073.442383;938.721069;241.546982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;893.424683;822.318909;79.902000;759.461060;816.659485;56.415043;1101.272461;899.180847;449.073883;1074.350464;938.976013;241.170517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;893.170532;822.186035;81.893562;759.265564;817.009460;58.928185;1101.921509;899.062500;448.771790;1075.500854;938.897888;240.231430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;893.113953;822.072083;83.297386;759.095520;817.182739;61.579453;1103.183105;898.938416;448.149628;1076.300171;939.028076;239.855408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;893.206299;821.944763;84.433861;758.952087;817.294373;64.255180;1104.088623;898.882080;447.635101;1077.460205;939.517517;239.762741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;893.167480;821.458130;86.207680;758.988159;816.956238;66.043037;1104.410767;899.013672;447.501984;1078.534302;939.155701;239.214813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;893.352173;821.002441;87.803749;758.947388;816.563293;69.266006;1104.602783;899.351501;447.174133;1079.096680;938.336975;238.800354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
