Grasp125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:07:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
92;741.017700;639.841553;146.454071;860.589294;664.083618;171.377945;785.505676;602.808350;127.308037;;;;1120.751953;797.837341;418.104736;;;;1066.556274;830.330322;241.940857;;;;;;;;;;;;
93;739.326111;640.301086;149.422882;858.782776;664.035217;174.066467;783.496155;603.023743;129.962677;;;;1119.948730;798.012939;418.029938;;;;1065.531372;830.652649;242.103104;;;;;;;;;;;;
94;737.085449;640.656372;152.217529;856.974365;664.546570;176.308594;781.788879;602.951111;132.712311;;;;1119.073608;798.325684;418.154724;;;;1064.113892;831.184753;242.118576;;;;;;;;;;;;
95;735.196289;641.036316;155.412750;855.080566;664.858154;178.464508;779.985840;602.847900;135.934631;;;;1117.774414;798.407471;418.780853;;;;1062.523804;831.658875;242.644531;;;;;;;;;;;;
96;733.038574;641.253906;158.122925;852.790894;665.045471;181.275864;777.918701;602.826782;139.498611;;;;1116.368774;798.598511;419.171356;;;;1061.025757;832.132690;243.114395;;;;;;;;;;;;
97;730.694824;641.531433;161.509216;850.726196;665.513245;183.475433;776.127563;602.506042;142.181473;;;;1115.727295;798.743164;419.065918;;;;1059.480713;832.800110;243.365936;;;;;;;;;;;;
98;728.243164;641.797302;164.429733;848.395081;666.052856;185.991455;773.223450;602.751282;145.601517;;;;1114.493164;798.866943;419.193695;;;;1057.821045;833.256653;244.135788;;;;;;;;;;;;
99;725.533691;642.174561;168.067764;846.040283;666.667603;188.425674;770.498169;602.908203;148.798462;;;;1112.734497;798.977173;419.528381;;;;1055.541504;833.767700;244.597824;;;;;;;;;;;;
100;722.918396;642.542542;171.240280;843.273315;666.926514;191.203781;767.866394;602.965637;151.894104;;;;1111.324707;799.056458;419.719788;;;;1053.488403;834.165222;245.248291;;;;;;;;;;;;
101;719.713989;642.947571;174.728378;840.519226;667.591980;193.779358;764.956360;603.225098;155.094543;;;;1110.815918;799.016113;419.726776;;;;1051.480347;834.628113;245.807755;;;;;;;;;;;;
102;716.887268;643.327209;177.930328;837.653931;667.905701;196.197006;762.065613;603.452393;158.612473;;;;1109.570923;799.139526;420.136108;;;;1049.037476;834.718201;246.435867;;;;;;;;;;;;
103;713.921204;643.771484;181.213287;834.675659;668.702026;198.788940;758.810120;603.657043;162.091858;;;;1107.996216;799.206665;420.435333;;;;1046.028809;835.218262;247.471527;;;;;;;;;;;;
104;710.539978;644.270020;184.991272;831.400635;669.376160;200.941238;755.588989;604.014832;165.104492;;;;1106.619873;799.284119;420.112854;;;;1043.954590;835.399231;247.752701;;;;;;;;;;;;
105;706.975586;644.539429;188.176498;828.144653;669.358398;204.346146;752.197937;604.367065;168.604599;;;;1105.031372;799.346375;420.292297;;;;1040.990234;835.873352;248.458450;;;;;;;;;;;;
106;703.621948;644.933228;191.627167;824.877930;670.123718;206.245071;748.643372;604.721008;171.825104;;;;1103.342529;799.510681;420.892578;;;;1037.826294;836.136108;249.537216;;;;;;;;;;;;
107;700.181335;645.370239;194.463715;820.977417;670.736328;208.622269;744.759705;605.267578;174.552399;;;;1101.845581;799.556580;421.101685;;;;1034.989502;836.578979;250.395584;;;;;;;;;;;;
108;696.499634;645.919373;198.101257;817.672791;671.570679;210.318344;740.955933;605.685242;177.303375;;;;1100.084106;799.549194;421.212402;;;;1031.850952;836.742432;250.820755;;;;;;;;;;;;
109;692.468506;646.305969;201.728592;814.167419;672.229126;212.318832;736.809021;606.146118;180.806427;;;;1098.268311;799.733765;421.239258;;;;1028.581665;836.978638;251.887375;;;;;;;;;;;;
110;688.304993;646.746887;204.815582;809.796814;672.666748;215.157745;732.247009;606.609619;183.470276;;;;1096.403687;799.824280;421.361572;;;;1024.812622;837.380920;252.994385;;;;;;;;;;;;
111;684.383484;647.351379;207.564026;806.214172;672.751953;216.799576;728.253845;607.297852;185.917480;;;;1094.635376;799.833130;421.752686;;;;1021.261353;837.549744;253.952362;;;;;;;;;;;;
112;680.206360;647.801575;210.693878;802.282837;673.148987;218.582764;723.693970;607.800964;188.012527;;;;1092.609741;799.964600;421.939575;;;;1017.681946;837.669861;255.117828;;;;;;;;;;;;
113;675.839539;648.322876;213.399628;798.172668;673.850403;220.161896;719.224731;608.092346;190.341095;;;;1090.290771;800.016968;422.074707;;;;1013.708557;838.044861;256.016449;;;;;;;;;;;;
114;671.472595;648.887268;216.189789;793.464355;674.307556;221.906387;714.436035;608.598083;192.449615;;;;1088.471313;799.995605;422.361328;;;;1010.039551;838.070801;257.056702;;;;;;;;;;;;
115;666.870605;649.471985;218.488968;789.552429;674.471985;223.168564;709.669434;609.214600;193.955292;;;;1086.248047;799.976563;422.737518;;;;1006.378296;838.019287;257.781372;;;;;;;;;;;;
116;662.491821;649.956665;220.477509;784.937012;674.772400;224.848801;705.080627;609.953186;196.046066;;;;1083.822510;799.859985;422.588104;;;;1002.591370;837.974548;258.800873;;;;;;;;;;;;
117;657.763062;650.373169;222.345154;780.400940;675.184631;226.189240;700.500610;610.627441;197.308273;;;;1081.499512;799.712952;423.437927;;;;998.346863;838.091919;259.872223;;;;;;;;;;;;
118;653.214600;651.168213;224.025070;775.867310;675.256348;226.992844;695.438293;611.398560;198.642914;;;;1079.123413;799.645935;423.519684;;;;994.188660;837.901367;261.327545;;;;;;;;;;;;
119;648.406189;651.786011;225.629929;770.940369;675.795471;228.073074;690.298279;611.977112;199.681503;;;;1076.286133;799.541321;423.825836;;;;990.049622;837.560852;262.386139;;;;;;;;;;;;
120;643.468079;652.372864;226.872452;765.865906;676.236267;229.238998;685.015137;612.822083;200.821243;;;;1074.076782;799.395447;424.205353;;;;985.780701;837.185059;263.714539;;;;;;;;;;;;
121;638.575989;652.938293;227.757202;761.013794;676.807251;229.786835;679.812256;613.611694;201.724442;;;;1071.092651;799.374512;424.332855;;;;981.069946;837.024109;264.940277;;;;;;;;;;;;
122;633.380371;653.544800;228.376556;756.338745;677.262512;230.181320;674.590088;614.330933;201.878860;;;;1068.321899;799.408508;424.893188;;;;976.384766;836.766052;266.665375;;;;;;;;;;;;
