;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
37;865.128235;537.763550;119.294647;981.526978;589.698975;129.635315;1171.497559;744.378540;359.287354;937.113403;494.236450;114.375763;1116.377930;756.289307;225.499283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;867.842224;540.748352;121.365196;983.082458;592.882324;131.450882;1173.276367;745.287476;359.552429;937.079468;497.854980;117.827019;1119.384644;757.819519;225.640030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;870.604065;544.148804;123.695381;984.962280;595.895569;133.262482;1176.352661;745.617981;360.000336;937.789001;500.773071;120.790749;1122.005493;759.984863;225.557892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;872.683289;547.625366;125.476547;986.294861;598.735291;135.045090;1177.961914;746.279419;360.321228;938.251160;504.251251;124.311958;1125.542358;761.099731;225.853241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;875.380920;551.158691;127.000427;988.008789;601.789124;136.580185;1179.705811;747.231812;360.556549;937.185547;508.413422;127.610657;1128.022095;763.029419;226.445511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;877.521973;555.064209;128.509521;988.930420;605.359009;138.544296;1182.048706;747.808289;361.010284;937.922241;511.827637;130.644669;1130.286255;764.817627;226.623123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;879.110718;559.150452;130.085205;990.337646;608.637085;139.561295;1183.835327;748.583374;361.483368;937.941345;515.675903;133.277908;1133.542236;766.315247;227.078705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;880.959961;563.568665;131.622925;991.142151;611.806335;141.050674;1185.811768;749.336914;362.087738;937.702759;519.466370;136.092163;1136.278809;767.734619;227.166840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;882.479309;568.152954;133.233887;992.872009;614.567261;141.946991;1187.845581;749.580261;362.430176;936.720215;524.062805;139.123077;1139.207275;769.054077;227.299835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;883.579956;572.856995;133.605545;993.374146;618.053467;143.369354;1189.359009;750.387878;362.636871;936.508850;528.090515;141.374039;1141.479858;770.456604;227.918808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
