;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
44;;;;;;;994.412415;686.234070;136.302399;939.039063;600.513611;112.762695;1160.803467;878.526306;446.527252;908.840332;633.037292;90.003288;;;;1105.240356;880.817017;276.272644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;;;;;;;995.038818;689.746521;136.333359;938.915527;605.070923;112.337761;1162.493164;879.112488;447.032410;904.438110;638.387878;91.619728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;;;;;;;994.472107;692.738220;137.159622;938.408264;608.776367;113.091347;1164.191040;879.556091;448.037506;900.382629;644.607971;93.039627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;;;;;;;994.029236;696.312500;138.028641;937.909485;612.001526;113.142189;1166.133057;879.882324;448.570129;897.105103;651.155640;93.703957;;;;;;;1114.204346;885.612610;278.185272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;;;;;;;993.710144;699.810730;137.577988;937.347229;615.610718;113.138748;1168.098511;879.853210;449.171631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;;;;;;;993.843201;703.207092;136.626724;936.230896;619.321411;113.729584;1169.784668;879.942139;450.023468;;;;;;;;;;;;;890.588501;665.001587;94.407059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;;;;;;;993.692139;706.102539;136.841537;934.555176;622.964233;114.072166;1171.076660;880.025635;450.563568;;;;;;;;;;;;;887.143188;672.467957;94.094040;1120.973877;889.368286;279.925934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;;;;;;;993.349121;709.018616;137.023483;933.455872;626.332703;114.037659;1172.516968;879.911682;450.954376;;;;;;;;;;;;;884.028687;679.535217;93.891113;1123.242798;890.269043;280.217651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;;;;;;;992.786743;712.178284;136.960236;932.622925;629.510254;114.618530;1174.068848;879.854370;451.304840;;;;;;;;;;;;;880.536926;686.776794;94.175339;1125.468628;890.938965;280.695892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;;;;;;;992.341370;715.181335;136.312622;931.930298;632.248535;114.880226;1175.454224;879.755737;451.321472;;;;;;;;;;;;;876.885437;694.015320;94.156494;1127.788330;891.733398;280.892731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;;;;;;;991.487793;717.773254;136.061951;931.329224;635.023315;114.753609;1176.497925;879.661316;451.638672;;;;;;;;;;;;;873.804199;701.062195;95.011467;1129.180298;892.604126;281.239746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;;;;;;;990.611755;720.265625;135.994705;930.696594;637.944885;115.264877;1177.542236;879.476196;452.045990;;;;;;;;;;;;;870.983948;707.786316;95.505806;1130.488281;893.533142;281.651886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;;;;;;;989.756531;723.022949;135.901428;929.528564;640.955078;116.264114;1178.518555;879.361877;452.063812;;;;;;;;;;;;;868.142822;714.062073;96.896950;1131.931641;893.814697;281.909393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;;;;;;;989.047241;725.427002;136.033096;929.131409;643.011108;117.205154;1179.571655;879.280090;451.997498;;;;;;;;;;;;;;;;1133.367188;893.958252;281.917389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;;;;;;;988.282715;727.936829;135.892670;928.360474;645.696716;117.933922;1180.636230;879.159729;451.661835;;;;;;;;;;;;;;;;1134.189819;894.880493;281.582672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
