Präzision01164
Date:,2025/04/30
Time:,17:47:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
62,759.973999,885.083740,197.280243,710.241638,786.684509,156.160370,806.871033,1138.910156,263.195526,839.831177,1160.285522,420.717926,740.176575,792.294922,157.093842,,,,,,
63,758.278320,888.799438,197.620865,707.347595,790.855469,156.751373,806.668640,1142.438477,264.169159,840.254395,1162.266113,421.519562,737.562317,796.061462,157.917557,,,,,,
64,756.294800,892.477844,198.317947,704.901062,795.158875,157.537628,806.375427,1145.560303,265.410034,840.597473,1164.302979,422.307190,734.786133,799.798828,159.263885,,,,,,
65,753.987183,896.285339,199.677414,702.033569,799.443115,157.884949,806.858826,1148.744385,266.077332,841.568726,1166.319580,422.605591,732.049072,803.613831,159.405167,,,,,,
66,752.228271,899.760925,200.260468,699.472534,803.201294,158.061752,807.271118,1152.009033,267.021545,842.140503,1168.246094,423.439392,729.311035,807.707764,159.893478,,,,,,
67,750.269897,903.451721,200.272995,696.705200,807.282288,158.488098,807.325928,1154.947876,267.842743,842.528198,1169.987671,424.539459,726.761353,811.708435,160.007019,,,,,,
68,748.106628,907.004944,201.127701,693.963318,811.119385,158.529312,807.310852,1158.130249,268.459442,843.085449,1171.853271,424.959717,724.196411,815.543091,160.293411,,,,,,
69,746.235901,910.202332,201.738281,691.337524,814.516235,159.153381,807.664490,1160.897339,269.353912,843.682312,1173.566895,425.340668,722.196228,819.621216,160.460724,,,,,,
70,743.982910,913.886047,201.855667,688.593811,818.577026,159.058090,807.853577,1163.334229,270.290833,844.240112,1175.078735,426.154968,719.249512,822.885803,160.448349,,,,,,
71,742.055115,916.875549,202.293488,686.483582,822.338501,158.502625,807.861328,1166.455688,271.191101,844.518372,1177.096924,427.357788,717.130920,826.513977,160.097839,,,,,,
72,740.121216,919.928772,202.692017,684.783325,826.041565,157.769730,808.246277,1169.016968,271.835083,845.081421,1178.638306,428.037750,715.207947,830.056824,159.598434,,,,,,
