Präzision17
Date:,2025/04/15
Time:,13:26:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
113,759.202087,702.026123,134.375092,704.591309,1075.306641,405.063904,744.316101,807.775146,186.227921,782.261597,720.700806,141.039200,670.091064,1119.921997,240.397339,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,757.395325,704.125061,135.990448,704.405945,1076.671387,405.010040,742.463318,809.643188,187.654587,780.634277,722.808533,142.592438,669.746643,1122.303101,240.948364,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,755.425476,706.059326,137.368851,704.219055,1078.189575,405.045563,740.735229,812.039429,188.493301,779.179016,724.309814,143.893646,669.017944,1124.805054,241.381592,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,753.870239,708.228088,138.381180,704.064575,1079.579834,405.428711,738.995667,813.949829,189.658325,776.925476,726.616516,144.782852,668.368286,1127.318970,241.839645,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,752.128845,710.486450,139.772614,703.801453,1081.273193,405.674896,737.254395,816.270996,191.200272,774.491333,728.846619,146.142624,667.634766,1129.704712,242.695206,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,750.381226,712.746033,140.825226,703.554077,1082.631958,405.971375,735.582397,818.284729,192.633347,772.797852,731.249207,147.383804,667.221619,1132.285400,243.553665,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,748.399353,714.704712,142.070282,703.114136,1084.310181,406.158356,733.769348,820.685181,193.564117,771.122986,733.267151,149.162476,666.126770,1135.095093,244.197601,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,746.503296,717.180786,143.443481,702.862061,1085.702393,406.096436,731.735840,823.097961,194.675812,769.953369,735.194458,150.416092,665.587585,1137.841064,244.690979,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,744.849304,719.321106,144.708298,702.488098,1087.315063,406.715881,729.934814,825.595154,195.573990,767.636230,737.913818,151.261200,665.254211,1140.409424,245.456619,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,742.491516,721.885437,145.797928,702.098328,1088.772339,407.230164,728.164185,827.894409,196.991623,765.436340,740.040283,152.146591,664.588379,1143.011963,245.949387,,,,,,,,,,,,,,,,,,,,,,,,,,,
