Präzision01160
Date:,2025/04/24
Time:,16:13:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
70,751.749695,862.168335,213.177383,718.473083,751.513855,193.803329,744.107056,759.743225,194.254105,,,,813.687378,1140.286743,402.342957,,,,773.614990,1115.182983,258.917175,,,,,,,,,
71,750.370972,864.923706,214.397934,716.071045,754.463684,195.725113,741.797119,762.996582,195.548431,,,,813.468628,1141.677490,402.984436,,,,773.240112,1118.020264,259.730621,,,,,,,,,
72,748.643494,868.193298,215.587784,713.823730,757.623840,197.136719,738.856995,766.572327,196.612900,,,,813.521851,1143.136719,403.612091,,,,772.358032,1120.961670,260.563599,,,,,,,,,
73,746.847473,871.459167,215.949097,711.630432,760.891418,198.103745,737.108398,769.448364,197.790756,,,,813.927734,1144.645752,404.228546,,,,772.091309,1123.879883,261.096069,,,,,,,,,
74,744.981079,874.302979,217.404617,709.580750,764.253662,199.325699,735.208984,772.246887,199.064301,,,,814.164307,1146.384766,404.756439,,,,772.539795,1126.723145,261.407837,,,,,,,,,
75,743.200012,877.204651,218.505646,707.526978,767.416626,200.084076,732.198059,775.687195,199.596085,,,,814.094238,1147.885254,405.204498,,,,772.812134,1129.370117,261.727203,,,,,,,,,
76,741.340088,880.395752,219.306763,705.307434,770.811707,200.945114,730.345581,779.118408,200.505417,,,,814.105713,1149.329224,405.791748,,,,771.833496,1132.081909,262.998657,,,,,,,,,
77,739.663818,883.767883,219.775620,703.196533,773.963257,201.523895,728.586853,781.540649,201.352249,,,,814.007813,1150.690308,406.271484,,,,771.088867,1134.990479,264.602478,,,,,,,,,
78,737.491333,886.597595,220.453629,700.798340,777.115479,202.302673,726.653198,784.968323,201.462311,,,,814.371338,1152.202515,406.713531,,,,770.891113,1137.702881,265.333099,,,,,,,,,
79,736.003357,889.666626,221.087479,698.937744,780.375732,202.837769,724.294373,788.616272,202.537064,,,,814.611023,1153.858887,407.548767,,,,771.174194,1140.304443,265.634125,,,,,,,,,
80,734.290039,893.041626,221.370865,696.431396,783.477234,203.425201,721.748291,791.686584,202.787460,,,,814.789490,1155.227295,407.925812,,,,771.243958,1143.062378,266.118256,,,,,,,,,
81,732.474731,895.908264,222.098602,694.400879,786.620911,203.376709,720.223145,794.353149,202.874207,,,,814.702698,1156.647461,408.284912,,,,771.337646,1146.096313,266.248749,,,,,,,,,
82,730.793457,898.918457,221.974060,692.591492,789.708740,203.318497,717.636658,797.531494,202.973389,,,,814.742493,1157.987427,408.843719,,,,771.117737,1148.731812,266.888550,,,,,,,,,
83,729.394531,902.162720,222.441818,690.338379,793.107117,203.950851,715.764954,800.760132,203.214722,,,,814.733765,1159.675903,409.354492,,,,771.044617,1151.111938,267.839081,,,,,,,,,
84,727.799805,905.161194,222.668243,688.325745,796.421631,203.913193,714.222046,803.934692,203.012360,,,,815.204041,1161.043457,410.203796,,,,770.722961,1153.549805,268.705658,,,,,,,,,
85,726.060852,908.182617,222.484238,686.671204,799.394043,203.472565,712.504089,807.007324,203.269577,,,,815.470825,1162.220581,410.815216,,,,770.816711,1156.379761,269.374146,,,,,,,,,
86,724.658630,911.123230,222.721756,685.059387,802.516052,203.222397,710.252991,810.440857,202.520721,,,,815.728577,1163.624390,411.350647,,,,770.917725,1158.924683,270.091705,,,,,,,,,
87,723.305847,914.148926,222.947708,683.007019,805.451416,203.144363,709.008301,813.499756,202.442291,,,,815.571960,1164.789917,411.609467,,,,770.606079,1161.259155,270.976532,,,,,,,,,
