Präzision01165
Date:,2025/04/24
Time:,13:17:15
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
37,770.569702,895.525696,193.251907,820.894531,1179.199829,397.855469,,,,746.904602,776.399109,189.717987,772.912415,790.733948,196.231003,,,,786.674438,1153.262573,187.885864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,768.776794,898.803040,193.766937,820.893005,1180.868530,398.701202,,,,744.542969,779.688416,189.983902,770.184875,793.979492,197.134842,,,,786.393494,1156.210205,189.057358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,767.516418,901.582397,194.102921,820.771912,1181.927612,399.282501,,,,741.959656,783.247314,191.600677,767.724670,796.946167,198.125488,,,,786.597656,1159.159546,189.623260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,765.515625,905.105164,194.958374,821.074646,1183.389648,399.733795,,,,739.031616,786.439514,192.397125,765.115417,800.054504,198.469269,,,,786.594604,1162.328857,189.687881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,763.363159,908.482117,195.777954,821.451355,1184.757080,400.136627,,,,737.287415,789.537415,192.195679,762.881531,803.356506,199.001389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,761.628540,911.405029,196.321075,,,,,,,734.580750,792.738464,192.805664,760.312561,806.542603,199.647354,,,,,,,786.112122,1168.038208,191.511826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,759.696716,914.631592,196.343948,,,,,,,731.333191,796.021484,193.827881,758.064026,809.661987,199.859528,,,,,,,786.379150,1170.765137,191.676437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,757.772400,917.769958,196.872681,,,,,,,728.372925,799.502991,194.352646,755.056885,812.825745,199.970749,,,,,,,786.051941,1173.729614,192.326981,822.260315,1188.282227,402.247833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,755.826050,920.802795,196.677887,,,,,,,726.218933,802.796631,193.714127,752.629028,815.916077,200.217270,,,,,,,,,,822.600342,1189.580688,402.539642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,753.782043,923.888123,197.116577,,,,,,,723.448242,805.935852,193.786346,749.606018,819.091675,200.253143,,,,,,,,,,822.994446,1190.951416,402.914856,785.986450,1179.624023,193.599960,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,751.674377,926.885864,197.293915,,,,,,,720.214661,809.087952,194.112198,747.037842,821.887085,199.733749,,,,,,,,,,823.280151,1192.015747,403.004181,785.982483,1182.231201,194.133118,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,749.494324,930.127075,196.844391,,,,,,,717.218262,812.499939,193.573029,743.982727,825.065735,199.698471,,,,,,,,,,823.605164,1193.134033,403.244232,785.735107,1184.688110,194.927811,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,747.682251,932.992981,196.873993,,,,,,,714.680420,815.798889,193.035599,741.670166,828.215393,199.430084,,,,,,,,,,823.719666,1194.315674,403.802155,785.612732,1187.686768,195.812149,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,745.512634,935.902710,196.824921,,,,,,,711.752319,818.955078,192.942886,738.293457,831.313354,199.141006,,,,,,,,,,824.175232,1195.254639,404.436646,785.839050,1190.253784,196.358612,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,743.716125,938.732178,196.513870,,,,,,,708.772827,822.021240,192.701172,735.402405,834.144104,198.798752,,,,,,,,,,824.480713,1196.345337,405.226746,786.308289,1192.484741,197.025620,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,741.948608,941.705444,196.187531,,,,,,,705.371765,825.127319,191.856079,733.125427,837.039734,198.059372,,,,,,,,,,,,,786.150208,1195.189087,197.570526,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,739.855652,944.549866,195.791779,,,,,,,702.738342,828.360046,190.883606,730.177185,839.728699,197.583099,,,,,,,,,,,,,786.436462,1197.655151,197.944809,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,737.941101,947.158020,195.534653,,,,,,,700.331726,831.375244,189.749710,727.101685,842.956421,196.301224,,,,,,,,,,,,,786.809204,1199.916382,198.235107,825.434021,1199.537109,406.672089,,,,,,,,,,,,,,,,,,,,,,,,
55,735.877014,950.007690,194.639893,,,,,,,697.372681,834.705566,188.417694,724.749084,845.574158,194.935760,,,,,,,,,,,,,786.596313,1202.324219,198.965469,825.276306,1200.715332,407.163361,,,,,,,,,,,,,,,,,,,,,,,,
56,734.337036,952.718018,194.343353,,,,,,,694.970947,837.571106,187.051987,722.403381,848.171204,193.733124,,,,,,,,,,,,,786.922424,1204.497437,199.535355,825.545471,1201.603271,407.582794,,,,,,,,,,,,,,,,,,,,,,,,
57,732.375488,955.319153,193.487457,,,,,,,692.179199,840.248230,186.338013,719.839478,851.194824,193.373398,,,,,,,,,,,,,787.210876,1206.801880,199.943130,826.101379,1202.435791,407.817841,,,,,,,,,,,,,,,,,,,,,,,,
58,730.886658,957.895813,193.115906,,,,,,,689.458984,843.301880,185.063370,716.989685,853.804993,192.103409,,,,,,,,,,,,,787.099243,1209.073120,200.657654,826.687500,1203.411621,407.988953,,,,,,,,,,,,,,,,,,,,,,,,
59,729.022217,960.526245,192.215714,,,,,,,687.427979,845.853394,183.618622,714.266846,856.412476,190.357330,,,,,,,,,,,,,787.171448,1210.956177,201.173569,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,727.587036,962.946838,191.636459,,,,,,,685.026489,849.132935,182.282791,712.307190,858.991028,188.888748,,,,,,,,,,,,,787.452271,1213.174683,201.642441,,,,827.154785,1205.251221,409.546844,,,,,,,,,,,,,,,,,,,,,
61,725.885193,965.166260,190.538300,,,,,,,682.950134,852.028625,180.961090,710.310974,861.527649,187.832916,,,,,,,,,,,,,787.822815,1215.093628,201.761261,,,,827.296509,1205.939575,410.055481,,,,,,,,,,,,,,,,,,,,,
62,724.560486,967.635132,189.807465,,,,,,,680.364380,854.507080,180.041229,708.601563,864.231384,185.964691,,,,,,,,,,,,,788.079407,1217.110840,201.979340,,,,827.342285,1206.797729,410.354919,,,,,,,,,,,,,,,,,,,,,
63,722.955017,970.032898,188.696930,,,,,,,677.997437,857.012451,178.474548,706.253235,866.591675,184.249084,,,,,,,,,,,,,788.036499,1218.825317,202.609543,,,,827.611450,1207.835571,410.377258,,,,,,,,,,,,,,,,,,,,,
64,721.639099,972.317322,187.843018,,,,,,,675.873108,859.693665,176.646713,703.501160,869.322876,182.929489,,,,,,,,,,,,,788.357910,1220.613159,202.942001,,,,828.088745,1208.585449,410.350555,,,,,,,,,,,,,,,,,,,,,
65,720.152588,974.431274,186.735062,,,,,,,674.061462,862.396179,174.864639,701.681885,871.208984,182.330872,,,,,,,,,,,,,788.792053,1222.267700,203.306122,,,,828.458801,1209.163574,410.633423,,,,,,,,,,,,,,,,,,,,,
66,718.709290,976.734802,186.159348,,,,,,,671.931946,864.716614,173.845169,699.900513,873.695618,180.863190,,,,,,,,,,,,,788.660889,1223.944214,203.885727,,,,828.845032,1209.888306,410.981293,,,,,,,,,,,,,,,,,,,,,
