Präzision01139
Date:,2025/04/22
Time:,17:38:38
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
88,804.703247,768.285767,112.829308,732.002380,950.551086,231.393463,805.878479,671.833374,65.996590,739.421936,1037.841919,343.757751,837.568726,683.034302,67.191643,,,,,,,,,,,,,,,,,,,,,,,,
89,804.702942,768.474548,112.810516,732.100403,950.631104,231.591125,805.823120,671.978394,66.089386,739.570801,1037.967529,343.759247,837.450134,683.166016,67.127373,,,,,,,,,,,,,,,,,,,,,,,,
90,804.687805,768.545654,112.883469,732.184998,950.716858,231.690491,805.709961,672.080139,66.116203,739.684204,1038.028809,343.476685,837.388550,683.297058,67.164108,,,,,,,,,,,,,,,,,,,,,,,,
91,804.644958,768.644958,112.972054,732.688477,950.922485,231.810684,805.686829,672.230896,66.145576,739.922363,1038.209717,343.615936,837.295837,683.416931,67.157867,,,,,,,,,,,,,,,,,,,,,,,,
92,804.585510,768.667908,113.060570,732.452454,950.940186,232.011169,805.632019,672.300293,66.102814,740.058411,1038.429077,343.772003,837.192444,683.544556,67.135933,,,,,,,,,,,,,,,,,,,,,,,,
93,804.526917,768.753540,113.074020,732.452332,951.092957,232.150406,805.506226,672.392639,66.111542,740.114563,1038.630737,343.863190,837.090637,683.553528,67.199799,,,,,,,,,,,,,,,,,,,,,,,,
94,804.463806,768.787415,113.169617,732.550659,951.216125,232.265213,805.342712,672.559448,66.169609,740.198486,1038.715210,343.915161,836.960205,683.699768,67.144585,,,,,,,,,,,,,,,,,,,,,,,,
95,804.420837,768.845886,113.190170,732.677368,951.295227,232.450928,805.300171,672.574585,66.159416,740.361511,1038.881714,343.876495,836.819397,683.789001,67.083870,,,,,,,,,,,,,,,,,,,,,,,,
96,804.343811,768.919678,113.196426,732.787720,951.446777,232.544067,805.080444,672.699951,66.368088,740.549988,1038.968994,343.882874,836.705383,683.941284,67.084007,,,,,,,,,,,,,,,,,,,,,,,,
97,804.332581,768.932617,113.267433,732.845947,951.489197,232.690826,804.947998,672.711060,66.451859,741.012756,1039.058594,343.766785,836.307678,684.288269,66.813492,,,,,,,,,,,,,,,,,,,,,,,,
98,804.438171,768.905151,113.389923,733.051575,951.627197,232.897171,804.897949,672.716003,66.455711,741.070740,1039.154785,343.794556,836.330078,684.249878,66.898071,,,,,,,,,,,,,,,,,,,,,,,,
99,804.310974,768.986816,113.353889,733.222290,951.699097,233.050934,804.867004,672.830627,66.414368,741.069641,1039.259155,343.900513,836.142883,684.308594,66.819977,,,,,,,,,,,,,,,,,,,,,,,,
100,804.283569,769.064575,113.354103,733.314026,951.747864,233.172104,804.840759,672.901367,66.453232,741.197632,1039.347656,344.076080,836.056396,684.348389,66.816414,,,,,,,,,,,,,,,,,,,,,,,,
101,804.255432,769.073181,113.354652,733.433838,951.758606,233.261902,804.813538,672.805908,66.184639,741.402344,1039.355713,344.146667,836.051819,684.362671,66.858902,,,,,,,,,,,,,,,,,,,,,,,,
102,804.289978,769.103027,113.427528,733.598999,951.806030,233.072571,804.842163,672.875610,66.018929,741.690430,1039.456787,344.160614,836.149475,684.437866,66.921944,,,,,,,,,,,,,,,,,,,,,,,,
103,804.297302,769.165710,113.449730,733.687012,951.864197,233.235870,804.792480,673.021362,66.267128,741.810120,1039.574707,344.123474,836.096252,684.479797,66.989655,,,,,,,,,,,,,,,,,,,,,,,,
104,804.330566,769.138306,113.450066,733.776794,951.916748,233.339294,804.758362,672.935486,66.083939,741.915405,1039.666748,344.222015,836.088257,684.511230,66.992767,,,,,,,,,,,,,,,,,,,,,,,,
105,804.347839,769.176880,113.423149,733.980225,951.963806,233.408508,804.747253,673.010620,66.331696,742.090515,1039.688599,344.346100,836.133728,684.525635,66.976860,,,,,,,,,,,,,,,,,,,,,,,,
106,804.432739,769.282715,113.424576,734.014648,951.992859,233.561386,804.697571,673.082886,66.464371,742.178650,1039.825806,344.529022,836.148010,684.503052,66.920700,,,,,,,,,,,,,,,,,,,,,,,,
107,804.506104,769.298645,113.409927,734.224976,952.103943,233.591248,804.786865,673.112793,66.452339,742.190002,1039.879761,345.011810,836.168457,684.543213,66.954018,,,,,,,,,,,,,,,,,,,,,,,,
108,804.672058,769.340393,113.550003,734.327881,952.126282,233.620193,804.773987,673.088135,66.465431,742.220459,1039.914429,345.390808,836.254761,684.531189,66.936867,,,,,,,,,,,,,,,,,,,,,,,,
109,804.743042,769.389282,113.601692,734.370422,952.146423,233.641037,804.866028,673.099670,66.459137,742.431213,1039.962280,345.521423,836.414429,684.522339,66.900742,,,,,,,,,,,,,,,,,,,,,,,,
110,804.911011,769.379089,113.546249,734.506165,952.204285,233.702713,804.899780,673.172913,66.398689,742.560791,1040.031494,345.602875,836.484619,684.521545,66.868164,,,,,,,,,,,,,,,,,,,,,,,,
111,804.980774,769.458069,113.521950,734.645508,952.279358,233.762650,804.962585,673.165894,66.328850,742.632019,1040.056396,345.660004,836.583008,684.552673,66.916946,,,,,,,,,,,,,,,,,,,,,,,,
112,805.091370,769.451233,113.610390,734.759338,952.357483,233.743500,805.032166,673.149109,66.347435,742.821960,1040.057251,345.669983,836.685730,684.575012,66.910309,,,,,,,,,,,,,,,,,,,,,,,,
113,805.148132,769.318542,113.913864,734.934143,952.286438,233.715881,805.115112,673.160522,66.376862,742.945313,1040.089111,345.634735,837.358521,684.803040,67.695168,,,,,,,,,,,,,,,,,,,,,,,,
114,805.295532,769.426880,113.661102,735.013733,952.321838,233.623840,805.070984,673.155945,66.376953,743.143555,1040.102173,345.563721,836.960083,684.541138,67.390930,,,,,,,,,,,,,,,,,,,,,,,,
115,805.376282,769.556152,113.571739,735.079285,952.332703,233.644058,805.086243,673.154968,66.427124,743.298523,1040.167236,345.553711,836.906860,684.934570,67.112381,,,,,,,,,,,,,,,,,,,,,,,,
116,805.378052,769.527161,113.602531,735.265137,952.346863,233.700272,805.106812,673.220581,66.361572,743.486450,1040.172485,345.560364,836.804443,684.619568,66.925713,,,,,,,,,,,,,,,,,,,,,,,,
117,805.396790,769.538452,113.510468,735.399963,952.401917,233.695236,805.067871,673.135376,66.382088,743.646362,1040.140015,345.607880,836.730530,684.554321,66.861839,,,,,,,,,,,,,,,,,,,,,,,,
118,805.498352,769.554565,113.585457,735.605408,952.334961,233.775101,805.133789,673.130798,66.370888,743.748657,1040.105469,345.599121,836.863342,684.663513,66.975349,,,,,,,,,,,,,,,,,,,,,,,,
119,805.550171,769.545593,113.432350,735.833374,952.404663,233.834808,805.195923,673.072632,66.346512,743.926636,1040.095947,345.667145,836.794739,684.601563,66.923515,,,,,,,,,,,,,,,,,,,,,,,,
120,805.592285,769.575745,113.407188,736.152710,952.329529,233.803467,805.214539,673.200439,66.392204,743.949524,1040.090454,345.800964,837.008301,684.599304,66.814636,,,,,,,,,,,,,,,,,,,,,,,,
121,805.734619,769.535278,113.273064,736.460449,952.335815,233.780167,805.168091,673.203247,66.395050,744.096680,1040.083984,345.882965,837.053650,684.688965,66.822960,,,,,,,,,,,,,,,,,,,,,,,,
122,805.822571,769.539063,113.228668,736.684875,952.394653,233.804520,805.229614,673.212036,66.395149,744.276611,1040.089966,345.856567,837.045776,684.581665,66.822998,,,,,,,,,,,,,,,,,,,,,,,,
123,805.908386,769.422791,113.240776,736.849731,952.443909,233.988815,805.168823,673.080261,66.362694,744.494080,1040.076294,345.891693,837.170715,684.590515,66.826294,,,,,,,,,,,,,,,,,,,,,,,,
124,805.923706,769.394775,113.225403,737.099243,952.486694,234.043015,805.157349,673.022400,66.351227,744.710327,1040.073364,345.882477,837.236145,684.553040,66.812630,,,,,,,,,,,,,,,,,,,,,,,,
125,805.962524,769.423462,113.186073,737.239929,952.444519,234.073715,805.165894,673.083679,66.314934,744.897217,1040.163818,345.863495,837.245361,684.575623,66.809906,,,,,,,,,,,,,,,,,,,,,,,,
126,805.994995,769.411987,113.196640,737.438660,952.421631,234.100006,805.200623,673.140869,66.301903,745.068481,1040.162598,345.968353,837.233337,684.523926,66.815033,,,,,,,,,,,,,,,,,,,,,,,,
