Präzision27
Date:,2025/04/16
Time:,10:47:53
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
85,662.879761,875.872253,196.520676,709.622009,977.280212,229.646606,849.843506,1225.026855,375.948669,773.074829,1207.486450,267.315491,695.016052,877.097412,200.529953,,,
86,660.984497,877.921143,195.227280,708.245239,978.723694,229.105469,850.461182,1226.069824,376.027557,773.524658,1208.962402,267.395081,693.348511,878.982117,199.539429,,,
87,659.511169,880.010742,194.048660,706.760010,980.628540,228.941940,850.768494,1226.806519,376.321411,773.888611,1210.166748,267.486664,691.340027,880.675171,198.673889,,,
88,657.840393,881.924438,192.759689,705.496460,982.344788,228.010300,850.869995,1227.538940,376.327637,774.265564,1211.329224,267.706421,689.486816,882.419495,197.749420,,,
89,656.977356,883.977112,191.326584,704.269226,983.596252,227.636688,851.205811,1228.326782,376.508514,774.564453,1212.500732,267.541290,688.026733,884.433533,197.009613,,,
90,655.825317,885.567566,189.971909,702.813232,985.027344,226.871674,851.546814,1229.042969,376.609436,774.698059,1213.690796,267.525543,686.944519,885.489380,195.878067,,,
91,654.452148,887.273743,188.864746,701.842651,986.813293,226.248260,852.034851,1229.733276,376.675140,774.993896,1214.593506,267.426239,685.308655,887.218018,194.616379,,,
92,653.238037,888.653748,187.747986,700.736572,987.983582,225.418564,852.440063,1230.327515,376.429077,775.197327,1215.426636,267.322632,684.246826,888.864258,193.394424,,,
93,651.895630,890.082703,186.345474,699.792664,988.920776,224.653320,852.872314,1230.798950,376.305237,775.400146,1216.125977,267.320435,683.318542,889.937378,191.957153,,,
94,650.976990,891.589050,185.374512,699.327759,990.136108,223.949036,852.821777,1231.376099,376.434235,775.711487,1216.842285,267.385712,682.631104,891.467651,190.822113,,,
95,650.068726,892.693909,184.071579,698.562805,991.388428,222.803665,853.247253,1231.570435,376.293823,776.093079,1217.364624,267.418762,681.890625,892.612305,189.154434,,,
96,649.713074,893.969971,182.389435,697.763977,992.420532,221.932419,853.617249,1231.793945,376.320862,776.568848,1217.962280,267.179108,681.028442,893.994263,187.387466,,,
97,648.598816,895.328552,181.488937,697.235474,992.948975,221.282852,853.897217,1232.208496,376.155182,776.839722,1218.481689,266.986298,679.892456,895.381348,185.947906,,,
98,647.819519,896.289185,180.021957,696.787476,993.718445,220.322205,854.541443,1232.296509,376.186462,777.102234,1219.081787,266.692841,678.877869,896.723389,184.618149,,,
99,647.956787,897.168884,177.775375,696.539673,994.633423,219.319260,854.849182,1232.576172,376.257813,777.436462,1219.523682,266.461945,677.820984,897.548828,183.161438,,,
100,647.949585,898.299866,175.668152,696.550354,995.480347,218.373917,855.009094,1232.746460,376.253204,777.705017,1219.918823,266.288025,678.094299,897.930420,182.038910,,,
101,647.429504,899.247437,174.294662,696.159180,996.044495,217.030853,855.251831,1232.987915,376.218048,777.958618,1220.271851,266.057495,678.094238,898.667419,179.993774,,,
102,646.800293,900.102905,173.300949,696.119263,996.441101,215.830750,855.452698,1233.066650,376.203644,778.179565,1220.591797,265.834808,677.348145,899.487427,178.408325,,,
103,645.472839,900.568420,172.444916,695.880066,996.988220,214.954636,855.549561,1233.072632,376.163544,778.427856,1220.762817,265.543976,677.045837,900.137146,177.616714,,,
104,645.075684,900.970764,171.082047,695.968079,997.221130,213.875305,855.700073,1233.184204,376.127228,778.221680,1221.044067,265.546417,677.005188,900.219971,176.339157,,,
105,645.066223,901.601807,169.274033,695.601563,997.609436,212.511292,855.986023,1233.254639,375.887421,778.861633,1221.043091,265.294708,676.744324,901.207581,174.297195,,,
106,644.853333,902.122803,167.507935,695.494263,997.982117,211.492371,855.931274,1233.202271,375.871704,779.261536,1220.992065,264.989014,676.845337,901.715820,172.606094,,,
107,644.876648,902.691162,165.763687,695.289490,998.218018,210.043640,855.671326,1233.367188,375.961060,779.361511,1221.059204,264.933136,676.518860,902.064331,171.276779,,,
108,645.000671,903.239563,164.078125,695.205994,998.538574,209.171860,855.945374,1233.193115,375.844360,779.370789,1221.041626,264.904114,676.079590,902.619568,169.585999,,,
109,644.686035,903.707458,162.734406,695.028442,998.626648,208.080887,856.210327,1233.265259,375.622040,779.391602,1221.148438,264.586914,676.553833,903.218872,167.822144,,,
110,644.880859,904.053101,160.736816,695.212402,998.677368,206.921890,856.271301,1233.306274,375.434570,779.591553,1221.145386,264.312256,676.651794,903.541138,166.437485,,,
111,645.217163,904.520081,159.042770,695.364563,999.068481,205.768433,856.180542,1233.265503,375.369934,779.902527,1220.993774,263.761658,676.538513,903.674316,164.942108,,,
112,645.222168,904.897400,157.546753,695.340637,999.418396,204.364532,856.128235,1233.335449,375.292938,779.997314,1220.917114,263.602661,676.581421,904.130859,162.997086,,,
113,645.168274,905.273254,156.047043,695.141663,999.455444,203.207291,856.341370,1233.215088,375.012024,780.089966,1220.775024,263.238403,676.897339,904.563721,161.538818,,,
114,645.138733,905.435974,154.818634,695.309326,999.461365,202.291428,856.454834,1233.192383,374.719513,780.474304,1220.666382,262.713776,677.036499,904.765747,160.383347,,,
115,645.916199,905.752197,152.761734,695.739685,999.447510,201.223038,856.482239,1233.142334,374.380341,781.013794,1220.462036,261.987183,677.143555,904.645203,158.993851,,,
116,646.722351,906.203430,150.790756,695.843872,999.876343,199.491852,856.444580,1233.070190,374.113983,781.226624,1220.434814,261.505310,677.400391,904.817871,157.004639,,,
117,647.231140,906.499023,148.779633,695.890564,999.843811,198.374329,856.554260,1233.025879,373.916229,781.402405,1220.209717,261.245636,677.480530,905.507385,155.132721,,,
118,647.847107,906.632874,146.688904,696.068115,999.677490,197.564789,856.688721,1232.915161,373.790253,781.512390,1220.013672,260.809235,677.778442,905.770203,154.040665,,,
119,647.656006,906.692383,145.925018,696.519592,999.657349,196.544907,856.639954,1232.912598,373.455566,781.329407,1220.080078,260.077515,678.620483,905.255615,152.899796,,,
120,648.006470,906.645325,144.425156,696.949341,999.786133,195.303253,856.655090,1232.877930,373.255219,781.566956,1220.016113,259.535370,678.702026,905.662415,150.798294,,,
121,647.860413,906.669128,143.363190,697.100281,999.707214,193.761841,856.633972,1232.801758,372.965607,781.840149,1220.044922,258.998718,678.566711,906.308289,148.894852,,,
122,648.227478,906.679626,142.159210,697.406311,999.468323,192.699783,856.631348,1232.727295,372.765900,782.073730,1219.953125,258.681763,679.421265,906.293274,147.663544,,,
123,649.006348,906.897461,140.345612,697.784241,999.483948,191.776825,856.744202,1232.628540,372.410583,782.267822,1219.756592,258.626404,680.031067,906.302917,146.763641,,,
124,649.082336,906.991333,139.216217,697.997498,999.467102,191.002762,856.887268,1232.439453,372.118164,782.278015,1219.618652,258.447144,680.460205,905.885559,146.124252,,,
125,649.161743,906.912231,138.377762,698.015747,999.374390,189.983765,856.860046,1232.361084,371.874695,782.383545,1219.355713,258.173096,680.673828,905.617004,144.562317,,,
126,649.222595,906.897888,137.503983,698.410339,999.290588,188.781967,856.827881,1232.284912,371.674286,782.565063,1219.083862,257.975311,680.946045,905.880188,143.152206,,,
127,649.725586,907.081360,135.925125,698.759827,999.185852,187.502701,856.949280,1232.180420,371.384155,782.778259,1218.705933,257.511566,680.903931,906.167053,141.915512,,,
128,650.056396,907.192261,134.526550,699.048035,999.087830,186.784973,857.031433,1232.092407,371.216431,782.901245,1218.345215,257.167786,681.030518,906.236084,140.787399,,,
