Präzision01159
Date:,2025/04/24
Time:,15:56:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
49,781.693909,658.175171,79.297523,725.435120,957.506470,172.688812,785.029419,775.264404,92.360291,727.229248,1044.626709,329.557098,805.571350,678.611633,80.966675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,781.465942,658.447632,80.932739,725.354919,957.994141,172.610062,785.325623,775.548584,92.879906,727.068176,1044.900391,329.469696,805.445557,678.932190,83.007072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,780.614624,658.626526,82.836784,725.310547,958.541687,172.503281,785.605103,776.017273,93.280884,727.015564,1045.177368,329.563446,805.737976,679.278503,84.574364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,780.749817,659.055725,84.199387,725.220337,959.272400,172.392014,785.447266,776.554321,95.304955,726.824951,1045.659058,329.549408,805.075134,679.821167,86.148224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,780.756287,659.409668,85.737694,725.085083,960.279663,172.338455,784.962891,776.871155,96.934334,726.685303,1046.203003,329.657776,804.536621,680.263550,87.800888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,780.007629,659.962646,88.217003,725.049316,961.261902,172.519958,784.652161,777.177795,97.834030,726.511658,1046.622070,329.721954,804.679504,680.543518,89.623657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,779.832275,660.400696,89.999077,725.179871,962.248779,172.876694,784.770630,777.644836,99.522835,726.234009,1047.290039,329.979462,804.259155,680.812927,92.213509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,779.518372,660.787842,92.647980,725.025818,963.278442,173.099152,784.524475,778.199951,101.598000,726.158081,1048.119629,330.176666,803.947327,681.361877,93.875580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,779.557861,661.425903,94.883331,724.757385,964.559937,173.297180,784.286926,779.100891,103.451729,726.373352,1048.710083,330.218750,803.483643,681.881897,96.385155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,778.810242,662.191223,97.433922,724.727966,965.733337,173.709030,783.777283,779.680115,105.206566,726.121033,1049.623047,330.166229,803.264893,682.384705,98.601295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,778.756836,662.869019,100.290245,724.459045,967.063843,173.761230,783.496094,780.201111,107.582230,725.895935,1050.421631,330.137695,802.678589,682.922607,101.879280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,778.198303,663.565979,102.910965,724.156250,968.521118,173.991379,783.249573,780.961365,109.819710,725.813904,1051.222290,330.277405,802.806030,683.735474,104.114899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,778.047424,664.346130,106.087288,723.617920,969.954773,174.131241,782.631897,781.885681,112.281944,725.791077,1051.966797,330.437164,802.214294,684.742615,107.415596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,777.612549,665.503967,109.196426,723.029907,971.700806,174.274124,782.671631,783.073669,115.185867,725.631470,1052.859131,330.643097,801.484131,685.885742,110.459129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,777.174866,666.617493,112.624557,722.481873,973.511780,174.555191,782.224426,784.094543,117.809166,725.218994,1053.724609,330.989258,801.426025,686.564636,113.714005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,776.937134,667.629211,116.059959,721.947021,975.446289,175.286270,781.537476,785.385986,120.545265,725.181213,1054.663208,331.265778,801.059448,687.741028,117.364868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,776.848633,669.138245,119.160942,721.300415,977.121460,175.695724,781.526428,786.690063,123.143089,725.216675,1055.721558,331.370148,800.306580,689.171448,121.076637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,775.825073,670.504150,123.325546,720.601135,979.282471,176.074127,781.053406,788.167969,126.655556,725.278503,1056.918701,331.538116,800.093933,690.652466,124.455017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,775.769348,671.721375,127.449638,720.093384,981.354126,176.818802,780.649048,789.675110,129.590515,725.119080,1058.193481,331.740265,800.020996,691.991272,128.451828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,775.554749,673.470032,131.072189,719.489136,983.589294,177.576904,779.975708,791.316589,132.671951,724.906250,1059.569580,332.099030,799.650879,693.504150,132.642380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,775.419861,675.382813,135.140869,719.080505,986.132690,177.197678,779.595459,793.068420,136.165115,724.578186,1060.822144,332.372559,799.167603,695.165649,136.730301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,774.966736,677.204712,139.554764,718.851868,988.542419,177.356003,779.883850,795.195618,139.187393,724.291321,1062.364624,332.418335,799.122620,697.280884,140.694214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,774.113342,679.182434,143.865982,718.042603,990.970520,178.070175,778.910339,796.922241,142.604172,723.938049,1063.854126,332.355560,798.973267,699.169373,144.841827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,774.315979,680.835449,147.762863,716.780090,993.597107,178.640121,778.085144,799.469177,145.658051,723.685974,1065.498779,332.209564,798.609436,701.254089,149.379211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,773.895264,683.152344,151.658997,715.811951,996.157349,178.810074,777.746704,801.320313,148.884491,723.109253,1067.004883,333.104584,798.044556,703.409790,153.386581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,773.405029,685.505371,155.989868,715.140747,998.733398,178.405045,777.066223,803.523499,152.209946,722.589600,1068.538086,333.426727,797.831665,705.711121,157.922012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,773.147644,687.708374,160.643890,714.995850,1001.713135,178.475723,776.505432,805.839905,156.313339,722.349243,1070.243652,333.469330,797.318420,708.355469,162.508392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,772.472900,690.362915,165.121628,714.286316,1004.662109,179.687622,775.774780,808.527466,159.177109,722.095825,1071.976196,333.476593,797.113403,710.539551,166.565140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,772.390564,692.775818,168.706955,,,,775.089783,811.025452,162.008835,721.763855,1073.674072,333.681671,796.475464,713.525574,170.579117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,771.987244,695.390930,172.831955,,,,774.095581,813.298218,165.546463,721.443420,1075.434570,333.591400,795.975830,716.106750,174.944992,712.763550,1009.997375,180.343460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,771.427856,698.190247,176.766663,,,,772.861389,816.266357,168.338455,721.177429,1077.252319,333.778900,794.876526,718.705383,178.991165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,770.979858,700.984070,181.099976,,,,772.349915,818.934143,170.857224,720.765137,1079.044800,333.587708,794.389587,721.668091,182.617554,,,,710.002869,1015.615479,182.048294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,770.048157,704.073303,185.087234,,,,771.468384,821.595642,174.307205,720.381226,1080.679077,333.869354,793.824646,724.869385,186.045441,,,,709.237976,1018.774719,182.376038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,769.205627,707.217834,189.274109,,,,770.032593,824.665466,177.278336,720.032288,1082.446167,334.532166,793.289734,727.747620,189.452850,,,,708.561035,1021.826233,182.768402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,768.216492,710.197571,193.156372,,,,768.988770,827.731018,179.944687,719.715454,1084.117920,334.794678,792.527954,730.542908,193.088303,,,,707.629028,1024.702637,184.441681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,767.409973,712.999756,196.562241,,,,767.976379,830.567627,182.515411,719.444763,1085.857300,334.959503,791.599121,733.812500,197.058350,,,,706.355591,1027.455200,184.918976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,766.654785,715.940186,200.010300,,,,766.780151,833.321411,185.546051,718.995911,1087.735596,335.088684,790.094849,737.394653,200.654312,,,,705.555054,1030.439941,184.965851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
