Präzision22
Date:,2025/04/16
Time:,10:58:45
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
111,756.093201,747.504089,162.948105,718.517212,1084.135864,432.992218,754.100952,853.674561,210.820557,659.505066,1094.893799,294.312897,781.712524,766.891113,166.015533,,,,,,,,,
112,753.222961,750.853577,165.013702,717.684753,1086.451538,434.262146,751.859985,856.994629,213.038239,658.145752,1098.645996,296.472443,779.489014,770.436157,168.007904,,,,,,,,,
113,750.378906,754.237183,167.078186,716.708862,1088.570801,434.687927,749.399109,860.347778,215.241180,656.651367,1102.234497,297.795349,775.067078,773.159790,169.110245,,,,,,,,,
114,747.617554,758.554932,168.943893,715.906738,1090.993164,435.319855,746.791077,863.703674,217.226410,655.110229,1105.984009,299.377808,772.289795,776.203430,171.460587,,,,,,,,,
115,744.620117,762.120728,170.681488,715.169312,1093.339844,436.291595,743.964050,867.369873,219.051590,654.150513,1109.677979,300.762634,770.282410,779.516418,174.082306,,,,,,,,,
116,742.249268,765.246033,172.299179,714.161194,1095.573608,436.933685,741.772705,870.943176,220.588516,652.590881,1113.468262,301.967041,767.187134,782.863098,175.630676,,,,,,,,,
117,739.129822,768.641846,173.366058,713.294678,1097.874390,437.808044,739.513672,874.314880,222.798889,651.519104,1117.082153,303.561951,763.866699,786.632019,176.357407,,,,,,,,,
118,736.116028,771.991699,175.008133,712.393250,1100.198975,438.795258,736.795349,877.509766,224.301926,650.298828,1120.945557,304.864685,761.149292,789.742493,178.050308,,,,,,,,,
119,733.190979,775.838379,176.094788,711.517334,1102.671387,439.388214,734.036499,881.192383,225.549942,649.136902,1124.848267,306.280365,758.458496,793.062744,179.950897,,,,,,,,,
120,730.430847,779.862793,177.313751,710.783508,1104.947388,440.259827,731.995056,884.661682,227.020920,648.104736,1128.418701,308.189453,755.502136,796.434021,180.828949,,,,,,,,,
121,727.575806,783.483521,178.533051,709.959717,1107.084351,441.335907,729.714905,888.324097,228.268463,646.672546,1132.016724,309.847229,752.091675,800.071411,181.360138,,,,,,,,,
122,724.348877,786.287842,179.639114,709.182434,1109.393188,442.204132,727.224426,891.619080,229.298828,645.837524,1135.688477,311.198425,748.745056,804.125671,182.621246,,,,,,,,,
123,721.271606,789.573914,180.382233,708.486145,1111.675903,443.188721,724.444519,894.560303,230.749878,645.157959,1138.989014,312.823334,746.254395,807.266602,183.082626,,,,,,,,,
124,718.783325,793.170105,180.785568,707.604187,1113.864624,444.339966,721.857483,897.753357,231.661713,643.855652,1142.392334,314.417786,743.397278,810.458435,183.829163,,,,,,,,,
125,716.219788,797.144836,181.205887,706.882629,1116.014404,445.391602,720.046814,901.335876,232.854340,642.785400,1145.676025,316.011108,740.108765,813.372070,184.580292,,,,,,,,,
126,713.047546,800.426453,182.269684,706.272766,1118.338623,446.599304,717.973083,904.439392,233.106888,641.898315,1148.916016,318.017517,738.249084,816.836426,185.062546,,,,,,,,,
127,710.290344,803.337280,181.890228,705.890076,1120.545776,447.388672,715.518616,907.551880,233.991058,641.028259,1152.212524,319.409180,735.027771,820.205261,185.694687,,,,,,,,,
128,707.228943,806.546631,182.489487,705.275452,1122.473022,448.161438,713.253479,910.266418,235.184586,640.232788,1155.558105,321.006989,733.063965,822.745117,186.081039,,,,,,,,,
129,704.547302,810.401184,183.292679,704.809875,1124.763794,449.530548,710.941467,912.977478,235.247986,640.000793,1158.574707,322.397095,729.479492,826.491821,186.339859,,,,,,,,,
130,701.576172,813.905273,183.313217,704.427368,1126.766479,450.488770,708.915161,916.219604,235.945526,639.344971,1161.640015,324.085602,726.819885,829.732300,186.062531,,,,,,,,,
131,698.910217,816.687927,183.030930,703.919250,1128.455688,451.286957,706.190247,918.636047,236.669250,638.831787,1164.574707,325.279724,723.741943,832.887939,186.503479,,,,,,,,,
132,696.432251,819.580078,182.894730,703.423950,1130.513184,452.358459,703.947693,921.294739,237.782745,638.073547,1167.261597,326.991272,721.280823,835.547119,186.703781,,,,,,,,,
133,693.446655,823.153931,183.076080,702.952759,1132.392822,453.607727,702.208862,924.107422,237.540298,637.087708,1170.052612,328.729218,719.291870,838.232544,187.445908,,,,,,,,,
134,691.071228,825.936951,183.767212,702.613403,1134.109863,454.492859,700.032410,927.024902,237.455017,636.498962,1172.587891,330.296997,716.885254,841.382446,187.120575,,,,,,,,,
135,688.467102,828.879089,183.520218,702.301147,1136.012451,455.466034,697.850281,929.711426,238.678940,636.154297,1175.190186,331.528870,714.395447,843.891418,186.870087,,,,,,,,,
136,686.122009,832.211853,183.080566,702.014771,1137.626953,456.229126,695.793640,932.426636,239.660385,635.568604,1177.802002,333.040710,711.657349,847.075012,187.333435,,,,,,,,,
137,684.059814,834.961365,183.047348,701.624207,1139.345947,457.453369,694.396179,934.897095,239.236145,635.522217,1180.427979,333.964325,709.380859,849.421082,186.831299,,,,,,,,,
138,681.231628,837.695923,183.090958,701.518921,1140.735596,458.363251,692.726868,937.440613,239.137802,635.479126,1182.795288,334.717987,707.108948,852.227295,187.139038,,,,,,,,,
139,678.807434,840.178223,183.236801,701.582214,1142.470337,459.546234,690.500671,939.922241,239.760574,634.792786,1185.291382,336.700745,704.872314,855.136841,186.966110,,,,,,,,,
140,676.938660,842.817505,182.497437,701.404297,1143.841797,460.362885,688.599609,942.299866,241.143875,634.202698,1187.493652,337.780792,703.798584,857.107361,187.006897,,,,,,,,,
141,675.247925,845.763672,182.282944,701.086670,1145.337158,461.164917,687.121887,944.794373,240.808167,633.707397,1189.590332,338.882080,700.999023,860.478271,186.614380,,,,,,,,,
142,673.208923,848.648376,182.076981,700.657104,1146.574341,462.161530,685.747070,947.170410,240.627838,633.558533,1191.781982,340.252869,698.929443,863.145874,186.633545,,,,,,,,,
143,671.982056,851.240906,182.194046,700.506592,1148.035400,463.208313,684.494141,949.239807,241.080948,633.253296,1193.828491,341.594299,697.828552,865.124756,186.635910,,,,,,,,,
144,669.660706,853.791016,182.114822,700.411011,1149.317627,464.009491,683.331177,951.413513,241.387711,633.079651,1195.830688,342.623962,696.366821,867.543579,186.110779,,,,,,,,,
145,668.800171,856.227783,181.736710,700.096985,1150.628540,464.785248,682.177551,953.865173,241.048828,633.232666,1197.830444,343.440399,694.881775,869.739014,186.226898,,,,,,,,,
146,667.337219,858.503357,181.301193,700.085083,1151.854736,465.702606,681.481567,955.934204,240.958527,633.031372,1199.898926,344.134521,692.978943,872.030884,185.904358,,,,,,,,,
147,666.097168,860.822937,180.934906,700.120056,1153.147461,466.394135,680.400085,957.801025,241.168854,633.128174,1201.885376,345.020172,691.713928,874.290710,185.505447,,,,,,,,,
