Präzision01162
Date:,2025/04/24
Time:,13:16:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,727.193970,859.055176,182.920013,741.864746,963.497925,179.517059,,,,699.025269,850.439880,179.179199,,,,,,,,,,,,,,,,801.935120,1211.266235,398.406189,778.176270,1214.649170,187.488846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,724.961914,860.989502,182.419586,740.352966,965.787598,179.137207,,,,696.756897,852.995850,178.303055,,,,,,,,,,,,,,,,802.594910,1212.316406,398.621155,778.426025,1216.269165,187.975830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,723.103149,863.437256,181.145569,739.204834,967.892517,178.422028,,,,694.476746,855.238159,177.547318,,,,,,,,,,,,,,,,803.140198,1213.432373,398.746735,778.440674,1218.182129,188.615112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,720.882019,865.638733,179.482986,737.889160,969.840454,177.576111,,,,692.551758,857.449158,175.874115,,,,,,,,,,,,,,,,803.561157,1214.609375,398.872772,778.791809,1220.054443,189.125427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,719.649902,867.682617,178.378448,736.955566,971.742981,177.141403,,,,690.590698,859.732117,174.959167,,,,,,,,,,,,,,,,,,,779.261597,1221.851196,189.008438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,717.751526,869.564270,177.330658,735.668457,973.697266,176.058365,,,,688.612488,861.979797,173.947403,,,,,,,,,,,,,,,,,,,779.426575,1223.418091,189.033981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,716.271423,871.459778,175.557922,734.243408,975.522583,175.687592,,,,687.458801,864.060242,172.215500,,,,,,,,,,,,,,,,,,,779.576599,1224.868408,189.249283,804.330627,1217.410156,400.314880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,714.651245,873.211487,174.923660,733.274658,977.233826,174.846786,,,,685.625061,866.009949,171.530182,,,,,,,,,,,,,,,,,,,779.757813,1226.552124,189.253052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,713.186340,874.967529,173.752487,732.033508,978.903931,173.919495,,,,684.277161,867.749146,170.612839,,,,,,,,,,,,,,,,,,,780.285889,1228.018066,189.582581,,,,805.509888,1219.563477,400.217499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,711.416077,876.922546,171.735931,731.193420,980.587463,173.130615,,,,682.564331,869.864075,168.636230,,,,,,,,,,,,,,,,,,,780.498108,1229.166138,189.455963,,,,805.649536,1220.141479,400.293579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
