Präzision40
Date:,2025/04/16
Time:,14:29:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
80,751.197083,778.123718,212.104294,689.796814,1196.841431,387.379120,778.409180,797.777832,206.998154,655.467285,1141.937500,225.715210,748.781311,896.015320,204.890656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,749.022278,780.370605,213.211716,689.760254,1198.848755,388.177460,776.185425,800.016663,208.358566,654.881714,1145.052124,225.938385,747.303284,898.172607,206.389877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,746.733948,783.367493,214.447052,689.710205,1200.652466,389.164978,773.928955,802.418335,209.876007,654.536011,1148.066040,226.727127,745.435913,900.759949,207.674347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,744.400818,785.728821,215.831512,689.987488,1202.526489,389.881195,772.083008,804.687012,210.684967,653.758911,1150.959106,227.631409,743.369141,903.457642,208.643600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,741.971252,788.083801,216.815887,690.467896,1204.600586,390.625549,769.425720,807.363770,211.889709,652.987488,1154.005005,228.620422,741.457886,906.191833,209.417160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,739.860474,790.916199,217.517395,690.737915,1206.531616,391.330231,767.278076,810.121887,212.335175,652.545227,1157.040894,229.490021,739.828491,908.565186,210.353973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,737.229614,793.384644,218.752014,690.597168,1208.330444,392.343750,764.773804,811.944641,213.260773,651.848755,1160.282349,229.966782,738.159302,911.104126,211.376740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,734.666443,795.937866,219.440475,690.621460,1210.147217,393.336029,762.771790,814.572205,214.172058,651.286499,1163.345215,230.709381,736.223267,913.826050,212.120483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,732.619019,798.286255,219.958557,691.018066,1212.326782,393.601410,759.866882,816.832947,215.081253,651.053345,1166.181763,231.671722,734.204468,916.150513,213.208679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,729.539612,800.822327,220.692261,691.380432,1214.112915,394.312134,757.544617,819.140503,215.980331,650.475769,1169.136353,232.309204,732.235596,918.515991,214.051437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
