Präzision01162
Date:,2025/04/24
Time:,14:08:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
72,670.455078,966.014587,207.999954,647.695862,869.841309,147.300003,675.313721,878.814697,156.533401,,,,,,,,,,708.181885,1227.708008,297.847656,757.084229,1192.762451,491.134033,,,,,,,,,
73,669.806152,967.374939,207.744965,646.399231,871.584290,147.052994,674.451904,881.069824,156.192215,,,,,,,,,,708.288879,1229.156128,298.532104,757.618713,1193.922852,490.911896,,,,,,,,,
74,669.242554,968.809448,207.203888,645.433899,873.346069,146.449036,674.072388,882.406555,155.777893,,,,,,,,,,708.391541,1230.444580,299.004608,757.986938,1194.856201,490.878876,,,,,,,,,
75,668.589172,970.770325,206.995178,644.987183,875.117493,145.649323,672.651978,883.851257,155.507919,,,,,,,,,,708.673645,1231.709106,299.087677,757.996704,1195.623291,491.078156,,,,,,,,,
76,668.025330,972.112305,206.682495,644.145386,876.641052,145.082062,671.623413,885.732544,154.950974,,,,,,,,,,709.018494,1232.926392,299.345886,757.950867,1196.587891,491.417694,,,,,,,,,
77,667.272217,973.369507,206.628784,643.367981,878.281921,144.434326,671.533142,886.858032,154.493713,,,,,,,,,,709.402649,1233.962402,299.525848,758.202209,1197.493164,491.816559,,,,,,,,,
78,666.843994,974.786926,206.415466,642.267639,879.625488,144.440247,670.984924,888.025146,154.021194,,,,,,,,,,709.695251,1234.787476,299.744080,758.502258,1198.105591,492.081573,,,,,,,,,
79,666.283081,976.250610,205.608154,642.406433,880.904602,143.637878,669.904907,889.943665,153.344162,,,,,,,,,,709.863464,1235.752930,299.988281,758.942627,1198.770996,492.166473,,,,,,,,,
80,665.597412,977.284424,205.131882,642.439575,882.479065,142.578461,669.465881,891.211426,152.924133,,,,,,,,,,710.128174,1236.632568,300.194427,759.439636,1199.585205,492.198669,,,,,,,,,
81,665.038513,978.169800,205.020218,641.969849,883.616821,141.882523,669.723877,892.098877,152.263321,,,,,,,,,,710.354858,1237.337158,300.332031,759.803284,1200.326538,492.260010,,,,,,,,,
82,664.730164,979.133667,204.749786,641.394409,884.700928,141.502930,669.855530,893.066772,151.758347,,,,,,,,,,710.660400,1238.153442,300.374146,759.964417,1200.975098,492.340332,,,,,,,,,
83,664.405640,980.324219,204.010483,641.286743,886.256897,140.555573,669.473328,894.530334,150.870148,,,,,,,,,,711.108215,1238.955078,300.625946,759.956787,1201.521118,492.724060,,,,,,,,,
84,664.204712,981.136536,203.462906,641.637817,887.105896,139.821640,669.101624,895.532349,150.265518,,,,,,,,,,711.319885,1239.782837,300.656158,760.327209,1201.968750,492.729309,,,,,,,,,
85,663.603455,981.640686,202.913986,641.651123,887.970398,138.953857,668.688049,896.469055,149.685959,,,,,,,,,,711.679932,1240.366821,300.955719,760.658569,1202.435669,492.760834,,,,,,,,,
86,662.974243,982.242920,202.824478,641.359009,888.847107,138.252655,668.417542,897.208374,149.155106,,,,,,,,,,711.619507,1240.898193,301.010284,760.832642,1203.005249,492.810577,,,,,,,,,
87,662.570190,983.022034,202.439972,641.347656,889.877869,136.922729,668.511108,897.790710,148.442307,,,,,,,,,,711.694092,1241.341187,301.044830,761.119202,1203.690063,492.909760,,,,,,,,,
88,662.626892,983.927612,201.768677,641.595337,890.803467,135.677948,668.133179,898.640564,148.098999,,,,,,,,,,711.805237,1241.653931,300.975006,761.458801,1204.224365,492.933655,,,,,,,,,
89,662.275879,984.698425,201.193924,641.419434,891.385071,135.300278,667.919312,899.297424,147.697021,,,,,,,,,,712.020935,1241.909912,300.930817,761.725525,1204.664063,493.033112,,,,,,,,,
90,661.929321,985.195313,200.705078,640.858765,891.515869,135.134247,667.647583,899.902344,147.013657,,,,,,,,,,712.215210,1242.272095,300.855164,762.094116,1205.021362,492.893982,,,,,,,,,
91,661.755859,985.422241,200.420914,640.230408,892.085327,134.736404,667.474426,900.482971,146.537811,,,,,,,,,,712.463318,1242.725708,300.373596,762.287598,1205.352173,492.801331,,,,,,,,,
92,661.655457,985.853149,199.805130,639.952271,892.763611,133.968353,667.374817,900.802673,146.163254,,,,,,,,,,712.742188,1243.005737,300.140167,762.371155,1205.708984,492.685059,,,,,,,,,
93,661.626099,986.332581,199.143234,639.814636,893.424622,132.880585,667.409363,900.840881,145.545654,,,,,,,,,,713.062378,1243.309570,299.889435,762.432861,1206.023926,492.723816,,,,,,,,,
94,661.609619,986.758911,198.276337,639.685059,894.031311,132.145279,667.290894,901.206482,144.359940,,,,,,,,,,713.253845,1243.425903,299.613586,762.567261,1206.376343,492.682343,,,,,,,,,
95,661.504883,987.142456,197.371323,639.085388,894.328125,132.182449,666.956543,901.693054,143.446152,,,,,,,,,,713.398804,1243.484009,299.324097,762.843262,1206.805542,492.292084,,,,,,,,,
96,661.396667,987.322449,196.721268,639.233704,894.555298,131.512375,666.645325,902.050537,142.738449,,,,,,,,,,713.595581,1243.536377,299.061737,763.160522,1207.137695,492.151459,,,,,,,,,
97,661.211426,987.523193,196.182327,639.110779,894.884705,130.194595,666.363281,902.466248,142.058334,,,,,,,,,,713.774475,1243.569336,298.835083,763.409546,1207.405151,492.011444,,,,,,,,,
98,661.211670,987.623718,195.680374,639.016785,895.176636,129.077454,666.224304,902.748596,141.570740,,,,,,,,,,713.978882,1243.505859,298.592072,763.654358,1207.648071,491.914795,,,,,,,,,
99,661.090820,987.897583,195.119110,638.872009,895.405334,128.303452,666.057739,902.855713,141.059830,,,,,,,,,,714.565552,1243.389648,298.085571,764.088989,1207.772339,491.589661,,,,,,,,,
100,661.003662,988.059937,194.408615,638.616211,895.603638,127.875076,665.797424,903.025696,140.504745,,,,,,,,,,714.899231,1243.244019,297.748810,764.499451,1207.986450,491.304321,,,,,,,,,
101,660.785767,988.254944,193.758057,638.497070,895.613159,127.700897,665.676392,903.253723,139.923599,,,,,,,,,,715.159180,1243.055542,297.525085,764.818298,1208.140869,491.115204,,,,,,,,,
102,660.729736,988.517029,193.025085,638.493652,895.610413,127.420639,665.299438,903.262634,139.427689,,,,,,,,,,715.464355,1242.874512,297.334290,765.000122,1208.263184,490.926361,,,,,,,,,
103,660.663269,988.705688,192.586670,638.465698,895.631592,126.771049,665.046021,903.247375,139.081467,,,,,,,,,,715.801758,1242.816772,297.138458,765.033508,1208.461426,490.761047,,,,,,,,,
104,660.775269,988.588501,191.988541,638.509094,895.743958,126.150063,665.014282,903.171997,138.730713,,,,,,,,,,716.107727,1242.698853,296.868652,765.262817,1208.531738,490.552307,,,,,,,,,
105,660.834106,988.534424,191.478271,638.706726,896.024414,125.142838,665.093445,903.062622,138.397980,,,,,,,,,,716.396729,1242.742554,296.425537,765.442322,1208.591797,490.369110,,,,,,,,,
106,660.946960,988.602600,190.974213,638.672485,895.878479,124.539360,665.309753,902.998718,137.636414,,,,,,,,,,716.706848,1242.681885,296.073700,765.493286,1208.757568,490.194031,,,,,,,,,
107,660.970703,988.568665,190.453552,638.742798,895.715759,124.036407,665.428467,902.918091,137.050323,,,,,,,,,,717.164612,1242.457397,295.736481,765.563171,1208.765747,489.962830,,,,,,,,,
108,660.954712,988.453308,189.757629,638.826050,895.749817,123.625603,665.686462,902.697937,136.604721,,,,,,,,,,717.359192,1242.321045,295.330444,765.672607,1208.813354,489.783142,,,,,,,,,
109,660.863647,988.402649,189.268509,638.889282,895.738403,123.228668,665.787415,902.440369,136.440750,,,,,,,,,,717.631531,1242.121582,294.936646,765.672363,1208.911743,489.595184,,,,,,,,,
110,660.909424,988.246460,188.695847,638.936218,895.666504,122.888527,665.865417,902.302734,136.217346,,,,,,,,,,717.851501,1241.840942,294.529083,765.664734,1209.014771,489.396912,,,,,,,,,
111,660.866089,988.124146,188.255493,639.207458,895.777100,122.098793,666.097717,902.165833,136.021072,,,,,,,,,,718.263367,1241.631470,293.811127,765.728271,1209.088989,489.181885,,,,,,,,,
112,661.137207,988.103760,187.970459,639.240845,895.570313,121.797081,666.348328,902.000427,135.605270,,,,,,,,,,718.691040,1241.325439,293.407440,765.922424,1209.093994,488.869751,,,,,,,,,
113,661.435791,987.926270,187.518188,639.244202,895.305969,121.602798,666.406555,901.774658,135.097015,,,,,,,,,,718.896423,1240.944336,293.301270,766.156799,1209.205566,488.442749,,,,,,,,,
