Präzision01164
Date:,2025/04/23
Time:,11:22:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
105,752.993042,892.657471,200.299728,686.752808,1171.665649,499.356903,776.459656,803.745544,156.241470,,,,745.713806,785.315857,153.680344,,,,,,,,,,,,,,,,,,,672.829895,1184.850342,338.709747
106,750.768005,896.016174,201.042801,686.662964,1174.028931,500.266052,774.504395,807.663818,157.137314,,,,742.323669,788.893066,154.878769,,,,,,,,,,,,,,,,,,,672.477661,1188.378174,339.853333
107,748.331055,899.274292,202.270691,686.572205,1176.358032,501.387665,772.231018,810.754944,158.287003,,,,739.425720,792.401550,155.944824,,,,,,,,,,,,,,,,,,,671.498047,1192.400024,341.649475
108,746.349243,902.706299,203.096008,686.124695,1179.084106,502.285004,768.665894,813.762451,158.355270,,,,736.477417,796.236938,157.035767,,,,,,,,,,,,,,,,,,,670.678894,1195.994385,342.835693
109,744.315735,906.273438,203.888199,685.880127,1180.988159,503.333618,765.541748,817.115723,159.001007,,,,734.178833,799.685059,157.103271,,,,,,,,,,,,,,,,,,,670.178833,1199.388672,344.589539
110,741.908264,909.815369,204.287170,685.824341,1182.996338,504.627991,762.711426,820.906494,159.225525,,,,731.559082,803.158997,156.789703,,,,,,,,,,,,,,,,,,,669.494385,1202.821899,346.070740
111,739.541504,912.954773,205.237900,685.402771,1185.469116,505.888641,759.864075,824.145935,159.796295,,,,728.331055,806.749512,157.648315,,,,,,,,,,,,,,,,,,,669.286133,1205.956665,347.420715
112,737.451721,916.261780,205.712662,684.983765,1187.713623,506.965027,757.246338,827.504456,159.962280,,,,725.529602,810.299255,158.791153,,,,,,,,,,,,,,,,,,,669.061401,1209.619385,348.688110
113,735.345032,919.495178,205.661377,685.258240,1189.686890,507.705078,754.501160,830.698242,159.867538,,,,722.820801,813.900574,158.220261,,,,,,,,,,,,,,,,,,,668.454468,1212.746338,349.895935
114,733.283508,922.923584,205.887756,685.150940,1191.687500,508.293060,752.135010,834.052246,160.144791,,,,720.356995,817.421509,158.014267,,,,,,,,,,,,,,,,,,,668.180237,1215.985474,351.304810
115,731.186523,926.158508,206.490402,685.261841,1193.828125,509.239594,749.350220,837.344849,160.748627,,,,717.408447,820.784546,158.062988,,,,,,,,,,,,,,,,,,,668.242615,1219.192505,352.181183
116,728.813843,929.118958,206.727432,685.517090,1195.586304,510.669189,745.896851,840.242859,159.781021,,,,713.741882,823.872498,158.500229,,,,,,,,,,,,,,,,,,,667.911621,1222.229126,353.374023
117,726.574463,932.219421,206.925385,685.403137,1197.684937,511.329651,743.507568,843.007019,159.547714,,,,711.040344,826.946411,158.557465,,,,,,,,,,,,,,,,,,,667.603271,1225.091675,354.609497
118,724.401367,935.275757,206.598679,685.531250,1199.584351,511.778625,740.587463,846.877319,159.114258,,,,708.687500,830.104675,157.678879,,,,,,,,,,,,,,,,,,,667.485535,1227.972656,356.114471
119,722.133240,937.868652,206.762466,685.547302,1201.249512,512.318420,737.812927,849.618652,159.026627,,,,706.071716,833.460938,157.524582,,,,,,,,,,,,,,,,,,,667.641968,1230.554321,356.984283
120,720.401733,940.850891,206.900818,685.613403,1203.092041,513.357605,735.556213,852.052185,159.029602,,,,702.937866,836.525085,157.476425,,,,,,,,,,,,,,,,,,,667.356934,1233.256348,357.872620
121,718.459045,943.668030,206.524689,685.681458,1204.804443,514.224915,733.127380,855.176514,158.482452,,,,700.187805,839.663208,156.858047,,,,,,,,,,,,,,,,,,,667.146851,1235.736938,359.076416
122,716.483398,946.310669,206.569717,685.969116,1206.616089,514.929932,729.748779,857.882813,157.754318,,,,697.422485,842.673889,156.195724,,,,,,,,,,,,,,,,,,,667.244019,1238.207642,360.117340
123,714.522949,948.907349,206.029449,686.232483,1207.949097,515.411743,727.156311,860.803711,156.839920,,,,694.803955,845.372070,155.367065,,,,,,,,,,,,,,,,,,,667.111328,1240.653687,360.738678
124,712.197327,951.220032,205.640564,686.243652,1209.488770,516.334229,725.458557,863.165649,156.225082,,,,692.491943,848.262939,154.338440,,,,,,,,,,,,,,,,,,,667.350891,1242.854004,361.984894
125,710.305176,953.956970,205.787933,686.339050,1210.933716,517.143616,722.779236,865.758667,155.748871,,,,689.820496,851.348389,153.988739,,,,,,,,,,,,,,,,,,,667.333008,1245.039307,362.840393
126,708.412292,956.154907,204.798523,686.560242,1212.479248,517.482727,719.719116,868.534851,154.776260,,,,687.445435,853.834534,153.117065,,,,,,,,,,,,,,,,,,,667.238220,1247.173340,363.537720
127,707.002197,958.535400,204.729752,686.911865,1213.856323,517.761292,717.910400,870.631287,154.102798,,,,684.530334,856.288269,152.532349,,,,,,,,,,,,,,,,,,,667.493774,1249.117310,364.117920
128,705.170044,960.661133,204.139862,687.228577,1215.088623,518.473816,715.970398,873.667908,153.256653,,,,681.792603,859.197144,152.515228,,,,,,,,,,,,,,,,,,,667.859131,1250.959229,364.826935
129,703.632874,963.122986,203.891525,687.364502,1216.265503,519.154358,713.500427,875.320984,152.180130,,,,680.216431,861.747986,151.173904,,,,,,,,,,,,,,,,,,,667.949341,1252.814819,365.566040
130,701.650879,965.033081,203.799179,687.421631,1217.487915,519.687500,711.523376,877.586182,151.624359,,,,677.873901,863.953796,150.079788,,,,,,,,,,,,,,,,,,,668.178894,1254.491089,366.194641
131,700.083740,967.430420,203.078857,687.606567,1218.777466,520.178040,708.998352,880.240051,150.737656,,,,675.904968,866.513062,148.928665,,,,,,,,,,,,,,,,,,,668.358459,1256.149536,367.204651
132,698.664673,969.384155,202.400101,687.744812,1219.821655,520.435242,706.308533,882.732361,149.155289,,,,674.163818,868.698364,147.805923,,,,,,,,,,,,,,,,,,,668.538940,1257.666626,367.598846
