Präzision01160
Date:,2025/04/24
Time:,13:16:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,788.178955,836.752625,169.699966,802.588684,732.047791,172.609421,778.440247,717.199463,165.609177,775.436951,1095.503540,165.801361,,,,788.367249,1154.368286,373.794678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,787.185913,839.354065,171.778641,801.689270,734.629272,175.084457,776.762329,719.862671,168.915375,774.823242,1098.273804,166.039230,,,,788.494324,1155.706665,374.147949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,785.762146,841.948608,174.341095,800.223877,737.533081,177.296234,776.471375,722.651245,171.095612,773.890625,1100.851196,166.835434,,,,788.823730,1157.162231,374.331879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,785.185120,844.573669,175.885696,798.998596,740.136230,180.811951,774.910522,725.537354,174.137909,773.145569,1103.346802,167.465744,,,,789.131592,1158.712402,374.382904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,784.021362,847.611511,178.055328,798.278076,742.570557,182.642014,773.536804,728.173950,176.747787,773.192261,1106.085449,167.443863,,,,789.320618,1160.101563,374.822632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,782.850342,850.438293,179.934357,796.984558,745.618408,185.371140,772.470398,730.777771,178.670120,772.713440,1109.162109,167.571472,,,,789.297180,1161.522461,375.525818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,781.561279,852.942444,181.813873,795.482117,748.796204,187.816849,770.980896,733.719360,181.268631,772.049561,1111.963379,167.786972,,,,789.496948,1162.862183,376.245880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,780.615906,855.946777,183.454071,794.401672,751.328735,189.289383,769.167419,736.847717,183.676483,771.366272,1114.332153,168.291840,,,,789.943481,1164.467285,376.559082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,779.203369,858.787170,185.433685,792.772339,754.106689,191.647415,768.165283,739.608154,185.912231,771.010498,1116.897461,169.012314,,,,790.417114,1165.721436,376.812683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,777.769653,861.715820,187.268814,791.185791,757.179260,193.866745,766.718201,742.384399,187.965836,770.270203,1120.057129,169.285797,,,,790.491028,1167.128174,377.093933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
