Präzision01161
Date:,2025/04/23
Time:,13:01:43
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
58,810.938171,787.916687,100.181503,869.401672,1035.899658,321.557098,,,,,,,764.017578,690.862549,69.387260,,,,792.577026,698.085449,80.591141,855.381287,1006.214355,234.520599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,811.284302,788.724182,101.034271,869.917664,1037.587769,321.175354,,,,,,,763.663025,691.566711,71.000389,,,,792.398315,698.500732,81.370583,855.224854,1007.879456,234.348541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,811.862549,789.623413,102.575409,869.937134,1039.201172,320.969574,,,,,,,763.661987,692.007935,72.381874,,,,791.987854,699.209778,82.120773,854.726868,1010.009644,234.319351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,811.605774,790.556885,103.996361,869.959961,1040.820190,321.184906,,,,,,,763.700134,692.655823,74.485855,,,,791.752197,699.811035,84.347237,854.384949,1011.563843,234.344147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,811.533875,791.208557,105.380135,870.054504,1042.271606,321.427826,,,,,,,763.470154,693.242249,76.573547,,,,792.067688,700.930054,86.165375,854.310181,1013.569641,234.301575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,812.163147,791.948853,106.849899,869.950867,1044.125732,321.650787,,,,,,,763.970703,694.095337,78.115578,,,,792.282776,701.677368,87.448631,854.379333,1015.672852,233.892776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,812.346008,793.253662,108.050850,870.379822,1046.041260,321.526123,,,,,,,764.699036,694.841736,79.752098,,,,792.779358,701.923096,89.528854,854.302979,1018.045288,233.681488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,812.480225,794.243896,110.074951,870.726135,1048.157715,320.862427,,,,,,,764.976013,695.713684,81.593681,,,,793.073181,703.016479,92.113655,854.400696,1019.621460,233.455368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,812.613037,795.034851,112.097382,870.419617,1050.045288,321.153259,,,,,,,765.389954,696.688232,83.599205,,,,793.801270,703.496948,94.207466,853.982056,1022.083862,233.189651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,813.054443,796.214661,113.552887,870.218018,1051.914551,321.726227,,,,,,,765.676392,697.653564,85.979576,,,,794.052246,704.966919,96.130356,853.870728,1024.309937,232.948776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
