Präzision25
Date:,2025/04/16
Time:,10:59:12
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
62,796.208679,1057.109985,131.373520,814.885437,791.436707,89.331848,832.475708,695.231506,53.907421,889.637207,1031.370850,240.566223,803.634521,682.970154,50.677208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,796.001038,1057.436890,131.422134,814.633911,792.134155,89.720665,832.157532,695.766846,55.189663,889.496277,1031.662354,240.820740,803.362549,683.273926,51.191875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,796.214417,1057.895508,131.823120,814.381653,793.021545,90.269341,832.108887,696.765198,55.754745,889.401123,1032.046509,241.117126,803.304688,683.884521,51.936268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,795.766785,1058.491211,132.587875,813.870178,793.976379,91.207710,832.410522,697.402283,56.628593,889.311340,1032.379272,241.369659,803.059814,685.171448,52.882854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,795.152588,1059.238525,133.432632,813.584351,794.699097,92.237358,832.024963,698.401733,58.136211,889.260864,1032.833496,241.664673,802.659302,686.192444,54.029694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,795.135559,1059.842896,133.797714,813.205200,796.152893,94.239296,831.408997,699.281006,59.418667,889.346558,1033.161133,242.069275,801.460754,687.114807,55.805328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,795.020142,1060.659546,134.116272,812.758423,797.525269,96.063698,831.074463,700.324890,61.247967,889.222290,1033.478638,242.058273,801.409119,687.834717,57.792191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,794.932983,1062.253540,134.648315,812.403137,798.888000,97.322197,830.878235,701.494385,62.912678,889.027893,1033.917480,242.154099,801.596375,688.700500,59.227318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,794.908264,1063.350464,135.400696,811.684753,800.251282,98.333237,830.707397,702.551819,64.001556,888.793640,1034.468262,242.387772,801.637146,689.860596,60.585159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,794.873962,1064.583008,136.195114,811.761841,802.121887,99.676918,830.358154,704.215698,66.384460,888.601318,1035.139282,242.526550,800.817810,691.303833,62.747814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
