Präzision01158
Date:,2025/04/24
Time:,16:13:32
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
104,669.075073,914.579834,172.940765,643.294312,907.313171,167.349350,,,,685.078613,1016.036682,172.668976,,,,,,,801.112244,1224.029785,255.852570,836.986328,1204.590332,404.929749,,,
105,669.341919,914.716858,172.744232,644.514954,907.095276,165.832321,,,,685.143372,1016.090149,171.974442,,,,,,,801.152649,1224.082031,255.764160,836.957336,1204.878540,404.790802,,,
106,669.500122,914.630615,172.490982,645.167969,907.300171,164.998367,,,,685.426575,1016.183533,171.421799,,,,,,,801.379822,1224.100464,255.472885,837.097900,1205.059570,404.711517,,,
107,669.668762,914.739807,172.436920,645.392578,907.459839,164.688217,,,,685.603271,1016.311584,171.109940,,,,,,,801.522705,1224.184692,255.197571,837.169861,1205.345337,404.521912,,,
108,669.923706,914.717590,171.701233,645.464966,907.441345,164.485092,,,,685.671997,1016.413147,170.836227,,,,,,,801.716736,1224.209595,254.901764,836.989319,1205.590576,404.527130,,,
109,670.213562,914.642334,171.270233,645.726501,907.549133,164.029617,,,,685.636047,1016.377686,170.407745,,,,,,,801.896729,1224.153320,254.679413,837.210815,1205.804199,404.234985,,,
110,670.767090,914.668884,170.440979,645.840698,907.267517,163.772522,,,,685.914185,1016.520813,169.784576,,,,,,,801.879456,1224.169434,254.403336,837.342712,1205.956787,404.016052,,,
111,671.323181,914.757751,169.501877,645.890991,907.195068,163.620712,,,,686.194397,1016.467041,169.362244,,,,,,,801.933350,1224.083984,254.184219,837.418701,1206.096069,403.774658,,,
112,671.335449,914.787292,168.898315,646.347595,907.089844,162.747009,,,,686.465149,1016.390381,168.928345,,,,,,,802.198547,1224.142944,253.919693,837.552429,1206.289307,403.542389,,,
113,671.329590,914.847473,168.619110,646.622192,907.061035,162.334549,,,,686.722839,1016.278992,168.386887,,,,,,,802.173157,1224.086426,253.665970,837.614929,1206.463135,403.277588,,,
114,671.346863,914.858032,168.358765,646.590698,907.120728,162.098297,,,,687.105591,1016.100708,167.826981,,,,,,,802.150085,1224.036133,253.438171,837.665833,1206.600464,403.106720,,,
115,671.357117,914.807129,168.115616,646.610596,907.516907,161.020081,,,,687.277222,1016.034241,167.518982,,,,,,,802.475098,1223.922729,253.214508,837.677124,1206.752930,402.649445,,,
116,671.414612,914.835449,167.779312,646.719849,907.568604,160.318771,,,,687.448486,1016.013245,167.334122,,,,,,,802.833984,1223.745850,252.829697,837.797180,1206.873535,402.461761,,,
117,671.415588,914.888367,167.232986,646.599304,907.486389,160.310608,,,,687.647522,1015.967224,167.122375,,,,,,,803.069946,1223.778442,252.299576,837.724487,1206.908203,402.310242,,,
118,671.526367,914.728760,167.138321,646.464478,907.194885,160.414902,,,,687.852417,1015.954346,167.152481,,,,,,,803.201416,1223.793213,251.962906,837.878113,1206.873413,402.070648,,,
119,671.555603,914.562988,166.800385,646.460205,907.163513,160.294373,,,,688.140808,1015.929382,166.560898,,,,,,,803.309387,1223.797241,251.622726,837.920898,1206.899170,401.819427,,,
120,671.578491,914.516174,166.510971,646.544617,907.199585,160.033112,,,,688.499634,1015.887085,166.115433,,,,,,,803.454468,1223.707397,251.337723,838.134766,1206.862183,401.569519,,,
121,671.590942,914.476257,166.215759,646.611816,907.142944,159.809113,,,,688.765564,1015.794006,165.682800,,,,,,,803.559265,1223.690430,250.962601,838.206665,1206.908203,401.473816,,,
122,671.617310,914.365479,165.993469,646.649231,907.174438,159.717407,,,,689.020081,1015.690491,165.336349,,,,,,,803.752625,1223.608032,250.610123,838.195862,1206.855469,401.319824,,,
123,671.871399,914.358215,165.409943,646.687256,907.088867,159.397842,,,,689.277588,1015.590027,165.008057,,,,,,,803.953796,1223.488525,250.485794,838.140259,1206.866333,401.226990,,,
124,671.987732,914.368164,164.949173,646.700195,907.113220,159.111557,,,,689.535522,1015.453247,164.531998,,,,,,,804.212830,1223.483643,250.033569,838.182007,1206.887573,401.094025,,,
125,672.109924,914.195923,164.544189,646.768188,907.065613,158.756805,,,,689.666687,1015.459351,164.302231,,,,,,,804.601135,1223.270020,249.571335,838.514099,1206.827271,400.849213,,,
126,672.042908,912.936462,164.312729,647.091553,906.659546,158.169968,,,,689.697205,1015.353088,164.126160,,,,,,,804.676208,1223.159424,249.464401,838.150391,1207.067871,400.696014,,,
127,672.308899,913.810669,164.068497,647.305420,906.581421,157.801682,,,,689.747192,1015.339844,163.934464,,,,,,,804.720459,1223.042847,249.288101,838.068237,1207.114990,400.657196,,,
128,672.417297,913.932556,163.761154,647.190613,906.572266,157.321457,,,,689.728333,1015.250549,163.701202,,,,,,,804.838562,1222.825317,249.131973,838.111267,1207.192749,400.414673,,,
129,672.392334,913.873352,163.433792,647.329163,906.615662,156.943756,,,,689.756531,1015.158020,163.427811,,,,,,,804.911011,1222.690308,249.028473,838.200378,1207.244751,400.279938,,,
130,672.417419,913.725586,163.229507,647.420227,906.707886,156.034225,,,,689.782410,1015.072144,163.108978,,,,,,,804.917053,1222.508911,248.888550,838.085632,1207.327393,399.992798,,,
131,672.370178,913.631287,163.114090,647.488464,906.754517,155.700378,,,,689.908752,1015.042908,163.006699,,,,,,,805.072815,1222.333862,248.736221,838.085144,1207.384766,399.857880,,,
132,672.314819,913.621887,162.906555,647.378906,906.730896,155.582428,,,,690.128784,1014.997742,162.695770,,,,,,,805.097778,1222.177490,248.624481,838.225464,1207.455811,399.731903,,,
133,672.335876,913.594849,162.673080,647.557007,906.601501,155.230942,,,,690.313049,1014.894653,162.391205,,,,,,,805.153320,1221.985474,248.458023,838.163696,1207.584717,399.450531,,,
134,672.477051,913.534912,162.362473,647.583008,906.401367,155.064957,,,,690.523743,1014.720459,162.126648,,,,,,,804.849731,1221.987183,248.447235,838.163086,1207.615356,399.273163,,,
135,672.583557,913.447937,161.930618,647.516602,906.302979,154.874603,,,,690.759033,1014.591614,161.938095,,,,,,,804.792542,1221.912354,248.383560,838.105042,1207.640869,399.191864,,,
136,672.741089,913.405823,161.459488,647.701050,906.342468,154.441986,,,,690.930115,1014.520447,161.783844,,,,,,,804.979675,1221.995728,247.875031,838.423584,1207.554688,398.862732,,,
137,673.047363,913.337769,161.023560,647.877808,906.303650,154.127396,,,,691.041931,1014.337219,161.618301,,,,,,,805.044189,1221.966553,247.632858,838.428650,1207.695068,398.584808,,,
138,673.367004,913.168701,160.610535,648.113586,906.172729,153.754547,,,,691.205505,1014.244934,161.457947,,,,,,,805.069763,1221.927124,247.363678,838.351685,1207.709351,398.493317,,,
139,673.628052,912.984131,160.092300,648.799011,906.073792,152.807724,,,,691.409790,1014.150818,161.217972,,,,,,,805.152527,1221.835205,247.199203,838.221680,1207.776978,398.341187,,,
140,673.788513,912.833252,159.819214,649.223022,906.132019,152.095444,,,,691.786255,1013.901062,161.161896,,,,,,,805.179382,1221.836670,247.028412,838.203369,1207.962769,397.996765,,,
141,673.851563,912.759705,159.566437,649.420532,906.064392,151.711273,,,,691.949646,1013.754517,160.702209,,,,,,,805.200439,1221.902954,246.764969,838.089661,1208.046753,397.917603,,,
142,673.933289,912.542786,159.329025,649.546936,905.955078,151.544205,,,,692.083801,1013.557251,160.477768,,,,,,,805.166260,1221.833252,246.777939,837.918396,1208.058228,397.802795,,,
143,673.835022,911.303589,159.085968,649.707275,905.839966,151.297394,,,,692.297607,1013.301636,160.343323,,,,,,,805.218506,1221.753540,246.579819,837.854675,1208.025879,397.835083,,,
144,673.922180,912.038635,158.896393,649.903137,905.704224,150.938522,,,,692.416687,1013.158569,160.266388,,,,,,,805.225769,1221.694580,246.397110,837.698914,1208.170044,397.784882,,,
145,674.096497,912.159363,158.474518,650.262756,905.755676,150.324738,,,,692.616089,1013.021606,160.146774,,,,,,,805.180542,1221.691284,246.330872,837.618286,1208.209839,397.765717,,,
