Weight21
Date:,2025/04/01
Time:,14:17:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
58,248.918564,620.065735,257.922821,15.428836,768.075012,330.734802,59.607189,868.485107,529.592224,,,,,,,,,,,,,,,,,,,317.928070,560.537354,184.906158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,243.851425,618.406067,257.087341,12.642662,769.855469,331.107819,58.904167,869.394226,529.704773,,,,,,,,,,,,,,,,,,,311.755981,556.301453,184.618591,,,,,,,,,,,,,,,,316.901276,592.659180,189.623489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,238.273590,616.930176,256.394592,10.203903,771.637695,331.113770,58.094700,870.236511,529.672668,,,,,,,,,,,,,,,,,,,304.466003,554.379944,182.376648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,233.087402,615.054138,255.452713,7.259634,773.330017,331.766510,57.457508,870.809814,529.225952,,,,,,,,,,,,,,,,,,,297.809235,551.951477,181.597092,,,,,,,,,,,,,,,,,,,305.708649,586.504883,187.828598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,227.563202,613.333191,254.924713,4.383209,774.821594,332.263092,56.795952,871.310059,529.474548,,,,,,,,,,,,,,,,,,,291.832275,548.086853,181.129303,,,,,,,,,,,,,,,,,,,301.040863,583.563538,187.637375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,222.536087,611.793640,253.869965,2.030539,776.488464,332.188995,55.978451,871.885803,529.428406,,,,,,,,,,,,,,,,,,,285.299896,544.846313,180.361145,,,,,,,,,,,,,,,,,,,294.118378,581.156738,186.640121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,217.317139,610.075378,253.036224,-0.357443,778.085754,332.095795,55.202232,872.472595,529.525574,,,,,,,,,,,,,,,,,,,277.235443,542.978455,178.527039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,212.235031,608.532410,252.263855,-2.503217,779.800293,331.829529,54.575836,872.973511,529.543152,,,,,,,,,,,,,,,,,,,270.656494,542.393738,176.390228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,206.767975,607.089355,251.611099,-4.891899,781.005005,332.405060,54.080982,873.209045,529.545837,,,,,,,,,,,,,,,,,,,264.229065,540.356201,175.705673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,202.020767,605.533569,251.057785,-7.337905,782.510681,332.560089,53.574806,873.369080,529.448975,,,,,,,,,,,,,,,,,,,258.294678,536.420532,174.942001,,,,,,,,,,,,,,,,,,,,,,269.080505,570.207703,181.755402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,197.008530,604.009460,250.112122,-9.717097,783.756897,332.880157,52.828979,873.552856,529.507629,,,,,,,,,,,,,,,,,,,251.841705,534.254089,173.884415,,,,,,,,,,,,,,,,,,,,,,263.979248,567.849121,180.370071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,192.445663,602.615417,249.252747,-11.633932,785.068970,332.974457,52.050591,873.700928,529.541504,,,,,,,,,,,,,,,,,,,245.807022,533.000183,172.365646,,,,,,,,,,,,,,,,,,,,,,257.606171,565.288452,179.057373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
