Weight37
Date:,2025/04/22
Time:,16:54:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
100,777.250854,741.379333,168.929184,670.118103,684.057007,134.989792,993.909485,880.313599,472.774750,750.381714,648.537292,133.678955,,,,,,,,,,,,
101,774.207581,741.330627,168.684341,667.087097,684.428162,134.949066,992.014404,879.704163,472.739777,747.044739,648.127502,134.232376,,,,,,,,,,,,
102,770.704651,741.511353,169.038300,663.772095,684.510071,135.547745,990.404724,879.002014,472.453735,743.665283,649.157654,133.372818,952.713867,920.439331,275.293274,,,,,,,,,
103,767.484863,741.447815,169.563538,659.773621,684.705139,136.603668,988.807129,878.279663,472.064545,739.676208,649.250549,134.320511,,,,,,,,,,,,
104,763.948181,741.135742,170.092758,656.075684,685.078491,137.210037,987.043274,877.511719,472.398560,735.824524,648.974304,135.223816,,,,,,,,,,,,
105,761.042603,741.159119,170.320755,652.666992,685.144165,137.818756,985.074707,876.686707,472.282074,732.187927,648.161255,136.111938,,,,,,,,,,,,
106,757.247620,741.135742,170.327316,649.058044,685.310852,138.526505,983.331848,876.190674,471.699829,728.731384,647.232300,136.901245,,,,,,,,,,,,
107,753.623657,740.926697,170.769257,645.178772,685.680115,138.962494,981.922180,875.253296,471.643890,725.037964,646.933777,137.439362,,,,,,,,,,,,
108,750.519043,740.978455,171.231613,,,,980.264709,874.411438,471.008667,721.025085,647.452148,138.076721,,,,,,,,,,,,
109,746.632019,741.061768,171.455368,,,,977.695801,873.735962,471.103912,716.975647,647.828979,138.371262,,,,637.478760,686.127991,139.930725,,,,,,
110,742.701477,740.884644,171.833786,,,,975.870667,872.923035,471.090118,713.132507,648.128113,138.280182,,,,633.859619,686.439514,140.579178,,,,,,
111,739.578674,740.990173,171.990723,,,,973.573425,872.001160,471.087769,709.391479,648.186707,138.057114,,,,629.610229,686.805420,140.829742,,,,,,
112,736.048340,740.972717,171.931946,,,,972.143188,870.804504,470.825043,705.418335,647.907227,138.246246,,,,626.256836,687.118958,140.841568,,,,,,
113,732.248413,740.796814,171.589218,,,,970.190796,869.698303,470.531555,701.383545,647.990234,138.480392,,,,622.496338,687.261658,141.124283,923.202576,912.310486,275.054138,,,
114,728.299500,740.795532,171.922577,,,,967.724487,869.138367,470.199890,697.650757,649.682190,137.346100,,,,618.559937,687.508545,141.771561,,,,,,
115,724.877319,740.574890,172.496124,,,,966.102661,867.826050,470.313019,693.275269,650.516724,137.690063,,,,614.533813,688.061157,141.795792,,,,917.333679,910.616150,275.048035
116,721.082703,740.638245,172.637848,,,,963.755737,867.054321,470.008759,688.900452,650.229492,138.244431,,,,610.794495,688.413513,141.648315,,,,,,
117,717.185120,740.872314,172.281357,,,,961.045715,866.113953,470.026520,685.040955,649.303894,138.554840,,,,606.988281,688.699524,142.042664,,,,,,
118,713.766052,740.904663,172.532028,,,,959.350586,865.145569,469.663666,681.304077,648.500916,138.882553,,,,602.841492,688.947021,142.863327,,,,,,
