Weight60
Date:,2025/04/24
Time:,13:53:01
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
44,864.930115,725.032532,106.866676,754.892395,666.084106,111.755318,1022.229675,867.548828,137.324310,,,,,,,,,,,,,,,,,,,,,,832.302124,628.487793,97.748192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,864.244080,724.814697,108.187675,754.000549,666.119324,112.560654,1021.676880,867.865967,137.357330,,,,,,,,,,,,,,,,,,,,,,830.991333,628.786011,99.066391,1054.848267,838.025513,295.404114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,863.842590,724.715515,108.731041,752.983337,666.101196,113.826218,1021.209839,868.229736,137.291672,,,,,,,,,,,,,,,,,,,,,,,,,1054.546143,838.161438,295.096008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,862.640564,725.205688,109.298851,751.751831,666.007751,116.199944,1020.394775,868.398987,137.150391,,,,,,,,,,,,,,,,,,,,,,,,,1053.811035,838.357239,294.977570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,861.019836,725.868591,110.693497,750.676086,665.750061,117.910973,1018.550049,868.788757,137.841049,,,,,,,,,,,,,,,,,,,,,,,,,1052.811401,838.635254,294.762756,828.572388,629.039856,102.489098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,859.400818,725.769043,112.294907,749.748047,665.631470,118.948959,1017.139709,869.189514,138.433426,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.060120,629.118286,104.170319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,858.454773,725.698792,113.576950,748.195984,665.673767,120.853195,1016.157410,869.529358,138.466995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,856.595764,726.443420,115.027145,746.479919,665.348328,123.414551,1014.719727,870.015991,138.996918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.316406,838.842529,295.497925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,854.514221,726.334229,116.775345,744.934326,665.211426,125.036263,1013.338257,870.224915,139.641815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.352051,839.216003,295.571289,822.917603,629.523010,108.988129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,853.126709,726.489319,118.048836,743.368713,665.180237,126.767776,1011.487671,870.641968,139.970047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048.535645,839.446533,295.452332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
