Weight61
Date:,2025/04/24
Time:,14:49:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,1034.507690,719.815247,285.840027,861.783447,663.067810,141.353500,,,,771.269470,617.360352,127.887672,,,,,,,,,,1042.217041,703.534241,459.045898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1033.595337,719.817078,286.022247,859.289673,663.713562,142.663605,,,,768.692688,617.423828,129.544312,,,,,,,,,,1041.030273,703.597229,459.097900,,,,,,,,,,,,,,,,741.381287,700.123352,138.314178,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1031.024658,720.561157,286.095856,856.274353,663.805664,144.268311,,,,765.977844,617.442322,130.799286,,,,,,,,,,1040.119873,703.684143,458.951080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1028.684814,720.725159,286.708466,853.727783,664.365540,145.215988,,,,763.145752,617.702454,131.983246,,,,,,,,,,1038.858887,703.930054,458.734772,,,,,,,,,,,,,,,,,,,735.141235,700.431458,141.858643,,,,,,,,,,,,,,,,,,,,,,,,
57,1026.891113,720.989380,287.326843,850.739014,664.530334,146.242172,,,,760.170959,617.990234,133.947708,,,,,,,,,,1037.550171,704.166199,458.677612,,,,,,,,,,,,,,,,,,,731.848633,700.518616,143.387741,,,,,,,,,,,,,,,,,,,,,,,,
58,1025.083130,721.463013,287.141937,847.909180,665.060791,147.478241,,,,757.056702,618.265991,135.847122,,,,,,,,,,1036.189453,704.274841,458.612213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1023.001953,722.022156,287.703827,844.531982,665.526611,148.721970,,,,753.494202,618.216003,137.261459,,,,,,,,,,1035.080078,704.340088,458.755493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1020.641602,722.593445,287.471344,841.281128,666.099854,149.965164,,,,750.549988,618.391907,138.566315,,,,,,,,,,1033.772217,704.556885,458.268280,,,,,,,,,,,,,,,,,,,,,,722.574951,701.010620,147.189529,,,,,,,,,,,,,,,,,,,,,
61,1018.149475,723.288696,286.994812,837.920837,666.472900,151.036591,,,,747.258667,618.755798,140.009705,,,,,,,,,,1031.838013,704.902466,458.191284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1015.251343,723.939697,287.658875,834.978699,666.476196,152.188797,,,,744.009460,619.000305,141.188766,,,,,,,,,,1030.390991,704.892883,458.348633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1012.351807,724.479797,287.792389,831.300720,667.011658,153.381821,,,,740.511902,619.219116,142.355972,,,,,,,,,,1028.854248,705.229736,458.104919,,,,,,,,,,,,,,,,,,,,,,,,,711.667603,701.748474,152.317429,,,,,,,,,,,,,,,,,,
64,1009.860901,724.734985,288.051117,827.103455,667.802856,154.324448,,,,736.778381,619.507751,144.005341,,,,,,,,,,1027.314209,705.463440,457.796021,,,,,,,,,,,,,,,,,,,,,,,,,708.318665,701.842224,153.969620,,,,,,,,,,,,,,,,,,
65,1007.008850,725.228210,287.960663,823.591187,667.880188,155.434860,,,,732.843689,619.859924,145.864044,,,,,,,,,,1026.016479,705.432983,458.133575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1004.421082,725.419678,288.206665,819.857849,668.177979,156.595474,,,,729.374573,620.220947,147.195343,,,,,,,,,,1023.915771,705.696777,457.991028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1001.024414,726.155640,287.235321,815.818420,668.833984,157.181183,,,,725.392639,620.367859,147.868179,,,,,,,,,,1022.184265,705.972961,457.524170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,997.956238,726.591919,287.931091,812.246582,669.023987,158.193817,,,,721.885254,620.584045,149.137863,,,,,,,,,,1020.680176,705.870850,457.406616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,808.152466,669.231934,158.872910,,,,717.760071,621.082458,150.243088,,,,,,,,,,1018.486877,705.997314,457.569611,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.652039,703.388489,161.246246,,,,,,,,,,,,,,,
70,,,,803.476440,669.861877,159.648804,,,,713.511719,621.406006,151.409470,,,,,,,,,,1016.766296,706.203918,457.077606,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.544128,703.608093,161.339691,990.991516,727.706238,287.878906,,,,,,,,,,,,
71,,,,799.890869,670.508972,160.638947,,,,709.159424,621.424438,152.693893,,,,,,,,,,1015.295105,706.154968,457.027924,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.836609,703.792542,161.545609,987.878540,727.798218,288.056732,,,,,,,,,,,,
72,,,,796.003967,670.882202,161.193039,,,,705.301453,622.039856,153.341049,,,,,,,,,,1012.855469,706.408752,456.894318,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.906067,704.125427,162.290024,984.456726,728.182068,287.856781,,,,,,,,,,,,
73,,,,791.704773,671.012939,161.568695,,,,701.223816,622.577759,154.137909,,,,,,,,,,1011.232483,706.558838,456.676971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980.714417,728.906982,287.912567,,,,,,,,,,,,
74,,,,787.129639,671.723389,162.135468,,,,696.666382,622.825256,155.411087,,,,,,,,,,1009.126465,706.522095,456.370392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.669373,729.564270,287.893005,,,,,,,,,,,,
75,,,,782.991577,672.204834,162.569443,,,,692.374451,623.181030,156.417404,,,,,,,,,,1006.785645,706.704224,456.230896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973.057129,729.402039,288.189850,,,,,,,,,,,,
76,,,,778.475586,672.789856,163.099304,,,,688.105408,623.753967,156.784286,,,,,,,,,,1005.084167,706.743469,455.790466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969.408936,729.929199,288.216553,,,,,,,,,,,,
77,,,,773.990601,673.452209,163.554077,,,,683.639465,624.181641,157.034439,,,,,,,,,,1002.471924,706.957520,455.629791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965.109802,730.427185,288.323700,,,,,,,,,,,,
78,,,,769.757874,673.731201,163.852097,,,,678.926697,624.583984,157.767105,,,,,,,,,,1000.466003,706.975159,455.658752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.625183,730.848816,288.326263,,,,,,,,,,,,
79,,,,765.294678,673.977661,163.527664,,,,674.343018,625.003723,158.369293,,,,,,,,,,998.067078,707.104065,455.113831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957.276550,730.889343,287.663940,,,,,,,,,,,,
80,,,,760.214905,674.760254,163.602814,,,,669.869995,625.487000,158.758942,,,,,,,,,,995.669067,707.267578,455.386383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.307800,730.898071,287.191895,,,,,,,,,,,,
81,,,,755.431335,675.278870,163.957657,,,,665.447083,625.958923,158.711487,,,,,,,,,,993.563416,707.077942,455.106110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.812866,731.268494,287.746979,,,,,,,,,,,,
82,,,,751.324341,675.717407,164.287674,,,,660.763000,626.406006,158.769440,,,,,,,,,,991.129700,707.327820,454.794556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.861572,731.664734,288.152924,,,,,,,,,,,,
