Weight42
Date:,2025/04/22
Time:,17:18:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
47,846.613708,740.430603,136.483322,1036.366089,899.657532,471.817719,952.385803,912.829956,289.549591,844.814697,645.528076,96.045349,757.144592,664.094177,99.823296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,845.955200,740.638245,136.998947,1035.572510,899.639648,471.976135,951.918335,913.167969,289.663086,844.257996,645.614807,96.860420,756.804077,664.189087,100.225311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,845.032288,740.891052,137.716003,1034.617310,899.637756,472.063843,951.521057,913.597778,289.638672,843.437500,646.150574,97.656563,756.174133,664.274292,100.581154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,844.054932,740.934692,138.466492,1033.551025,899.522949,472.094849,951.163452,913.926086,289.645203,842.689575,646.690735,98.522522,755.505127,664.426331,101.052628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,843.097229,741.060547,139.190201,1032.916748,899.445374,471.934998,950.962219,914.151794,289.703827,841.963318,646.897400,99.146385,754.932129,664.463989,101.633385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,842.303162,741.124573,139.552673,1032.725098,899.282776,471.827728,950.605713,914.348938,290.075836,841.081482,646.723206,99.918617,754.188721,664.586060,102.260773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,841.479492,741.450073,140.349747,1032.217651,899.388123,471.814453,950.006531,914.525330,290.390472,840.039551,646.440308,100.887222,753.075928,664.752747,103.127502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,840.567871,741.764282,140.976059,1031.625610,899.441711,472.117401,949.347351,914.757629,290.400513,838.935181,646.636536,102.109322,751.780579,664.980286,104.373863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,839.439392,741.923218,142.154053,1031.380859,899.227295,472.623901,948.315247,915.017212,291.602417,837.695923,647.138794,103.313431,750.672363,665.216919,105.357117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,838.343445,742.282349,142.560379,1030.597534,899.168335,472.812347,946.953857,915.281067,292.247711,836.557129,647.444885,104.187210,749.821777,665.397583,105.996162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,836.980896,742.352966,143.350632,1029.734131,899.139954,472.910126,946.453552,915.506348,292.566345,835.136597,647.331421,104.957832,748.693054,665.803955,106.773949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,835.626892,742.634155,144.174866,1029.102051,898.947754,473.043732,946.129150,915.900757,292.655853,834.044312,646.814697,106.540810,747.257629,666.222534,107.649849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,834.687256,742.960144,145.148605,1028.546753,898.778687,472.976563,945.514099,916.296692,292.682831,832.490845,646.832947,107.864014,745.754150,666.302246,108.740395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,833.189514,743.076599,146.155106,1028.070068,898.620178,473.008972,944.578247,916.579590,292.953430,830.816040,647.237366,109.158989,744.055420,666.945679,109.579529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,831.114929,743.339844,146.774277,1027.729126,898.345642,473.011932,943.545898,916.760132,293.408386,828.760376,647.757263,109.745239,742.652710,667.237427,110.537231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,829.643127,743.803162,147.182831,1027.009033,898.307678,473.214874,942.617126,917.102173,293.328522,827.326233,648.266785,110.920425,740.876526,667.577454,111.612389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,828.200012,743.889526,147.473312,1026.208496,898.211304,473.491486,941.627991,917.068176,293.912598,825.451477,648.466248,111.359512,738.901123,667.825745,113.047836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,826.464966,744.101929,148.829742,1025.091309,898.035706,473.565369,940.761658,917.173218,294.257477,823.347473,648.413208,112.682495,737.161743,667.885681,114.555069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,824.761414,744.455200,150.031891,1024.181030,897.917358,473.401489,939.710632,917.481750,294.893646,821.688110,648.221802,114.139618,735.087769,668.284119,115.139381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,822.705872,744.703430,150.828125,1023.477234,897.931030,473.408112,938.970520,917.456055,295.266693,819.423035,648.283936,115.494446,732.961365,668.729736,115.480698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,820.601318,744.712769,151.407288,1022.863708,897.899170,473.523499,937.903259,917.276062,295.514160,817.203674,648.171814,116.330284,731.188110,669.080139,116.855713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
