Weight61
Date:,2025/04/24
Time:,15:39:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
73,670.317444,731.029785,173.781891,550.562805,692.015564,171.991089,976.514038,848.585083,440.442047,,,,619.065613,641.369629,152.232376,,,,,,,,,,,,,,,,,,,,,,885.936646,875.977539,271.574341,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,665.499756,731.496704,173.836258,545.842712,693.090820,171.278625,973.770813,848.148560,439.860168,,,,614.033142,641.793945,151.862045,,,,,,,,,,,,,,,,,,,,,,882.627258,875.343140,271.570770,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,661.310730,731.736450,173.371307,541.414612,694.317444,170.624710,971.646606,847.794800,439.529480,,,,609.243347,642.195618,151.395691,,,,,,,,,,,,,,,,,,,,,,878.844604,874.745972,271.068024,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,656.885315,731.501160,172.767334,536.983459,695.304932,170.414429,968.378357,847.529602,439.188141,,,,604.732056,643.267517,150.426910,,,,,,,,,,,,,,,,,,,,,,875.316284,873.666809,270.980469,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,652.577820,731.586060,172.791168,532.574829,696.074524,169.926743,966.694702,846.881409,438.937744,,,,599.886536,644.052429,149.683533,,,,,,,,,,,,,,,,,,,,,,871.432556,872.998230,271.176208,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,648.944153,732.099670,171.833908,528.252319,696.994324,169.612350,963.165527,846.602722,438.563416,,,,595.057922,644.362732,149.583618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,644.897217,732.336609,170.800278,523.968262,698.052368,168.911331,960.695007,846.156311,438.397247,,,,590.593567,644.821533,148.805786,,,,,,,,,,,,,,,,,,,,,,,,,863.957336,871.836548,271.174744,,,,,,,,,,,,,,,,,,,,,,,,
80,640.858582,732.342285,170.465408,519.824890,699.064575,167.959000,958.408569,845.799072,437.694061,,,,586.336609,645.582886,148.080902,,,,,,,,,,,,,,,,,,,,,,,,,861.360718,870.538513,270.853394,,,,,,,,,,,,,,,,,,,,,,,,
81,636.969971,732.876587,169.831116,515.697754,700.109985,167.093155,955.824829,845.545349,437.770447,,,,581.916687,646.002380,147.718719,,,,,,,,,,,,,,,,,,,,,,,,,857.509399,869.820679,270.817749,,,,,,,,,,,,,,,,,,,,,,,,
82,632.969421,733.114380,169.233856,511.490356,701.133484,166.565277,953.349365,845.189209,436.650970,,,,577.544495,646.540405,147.145721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,629.167786,733.174133,168.755585,507.337646,702.007446,165.780197,951.085754,844.556274,436.412048,,,,573.372742,647.573303,145.938370,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.380493,868.714294,271.444244,,,,,,,,,,,,,,,,,,,,,
84,625.387390,733.948853,167.964691,503.558441,702.777527,164.710159,948.732788,844.077026,435.981476,,,,569.166443,648.023071,145.510147,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.368713,867.522461,271.146545,,,,,,,,,,,,,,,,,,,,,
85,621.255371,734.033264,167.126312,499.952881,703.631775,164.189514,946.189087,843.623779,435.463013,,,,565.193604,648.474915,144.999466,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.029236,866.933960,270.731812,,,,,,,,,,,,,,,,,,,,,
86,618.327393,733.978699,166.567657,496.427185,704.490295,163.232635,943.448242,843.596130,435.040680,,,,561.259277,649.005066,144.178650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,614.556824,734.623901,165.520065,492.709595,705.502930,162.767197,941.020264,843.231262,434.837799,,,,557.479614,649.490662,143.567230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.497437,866.042664,270.389709,,,,,,,,,,,,,,,,,,
88,611.219421,734.754028,165.099136,489.294769,706.174500,161.810532,938.767700,842.873718,434.330841,,,,553.874512,650.080505,142.835388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,607.858582,734.911316,164.253036,485.767639,706.902954,161.197556,936.432983,842.309814,434.067230,,,,550.331543,650.519653,141.836884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.044189,864.611755,270.913422,,,,,,,,,,,,,,,
90,604.511902,735.076172,163.321152,482.240173,707.614319,160.527191,933.933655,842.077393,433.547058,,,,546.805542,650.982056,141.022858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.327637,863.553406,269.920441,,,,,,,,,,,,,,,
91,601.926270,735.158508,163.126724,479.067322,708.412231,159.699738,931.775818,841.577942,432.721863,,,,543.270264,651.773804,139.946533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.566711,862.973022,269.645081,,,,,,,,,,,,,,,
92,598.338989,735.328857,162.374252,476.070007,709.056213,158.547974,929.764771,841.320068,432.673645,,,,539.843323,651.923950,139.235168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.426819,862.564270,269.239990,,,,,,,,,,,,,,,
93,595.625122,735.463013,161.311890,473.044373,710.028748,157.689178,926.944946,841.136841,432.051758,,,,536.587097,652.475281,138.336517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.094055,862.737427,270.502045,,,,,,,,,,,,,,,
