Weight13
Date:,2025/04/16
Time:,10:57:04
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,890.109192,671.388123,138.521820,1090.721802,716.503174,419.408783,806.966125,628.621155,98.719109,1119.171265,741.560852,260.935669,,,,,,,,,,776.946777,707.576416,102.226768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,889.707703,671.475525,138.600159,1090.172119,716.861023,419.231720,806.477600,628.554932,99.244995,1118.639771,742.005554,260.932648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,888.971069,671.707642,139.003799,1089.644409,717.254333,418.952240,805.973633,628.433655,99.791000,1118.520020,742.355164,261.050140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,888.154724,671.830322,139.474854,1089.290527,717.431335,418.911926,805.659302,628.440186,100.056435,1118.294556,742.779602,261.260956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,887.541870,671.809448,140.100693,1088.956787,717.715698,418.851349,805.300232,628.470764,100.372917,1117.355591,743.550781,261.143280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,887.700317,671.544556,140.578552,1088.624023,718.101440,418.836548,804.746765,628.550232,101.004211,1116.490479,744.255127,260.899323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,887.666748,671.536926,140.748810,1088.293823,718.483154,418.779938,804.303101,628.466125,101.437325,1115.964111,744.726318,260.663177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,886.926819,671.853088,141.091553,1087.505615,719.117920,418.342560,803.502380,628.648315,102.045975,1115.317993,744.802917,260.408875,,,,,,,,,,,,,772.875244,707.330322,105.319054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,885.761292,672.212219,141.760574,1086.689697,719.727051,418.172943,802.359680,628.865662,103.115921,1114.744629,745.617065,260.782593,,,,,,,,,,,,,772.016174,707.418518,106.103500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,884.676147,672.624023,142.194504,1086.138794,720.157043,418.155151,801.006897,628.800354,104.415962,1113.719116,746.530457,261.018616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,883.747192,672.682556,143.059464,1085.651001,720.406738,418.193054,799.271790,628.765015,105.752045,1112.493530,747.360291,261.218231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,882.807861,672.635498,143.796402,1084.912964,720.824463,418.240631,798.011963,628.854797,106.434837,1111.687988,747.958862,261.253815,,,,,,,,,,,,,,,,767.812012,707.425598,108.751099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,880.783386,673.303223,144.576630,1083.885132,721.247437,418.202362,796.998169,629.152649,106.815453,1111.201660,748.400452,261.325836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,878.969482,673.874268,145.347687,1083.089722,721.742126,418.168030,795.495544,629.485474,107.800453,1109.349365,749.304199,261.261444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,877.599609,674.016357,146.132736,1082.466919,722.076050,418.157043,793.622131,629.614563,108.934311,1108.006592,749.863525,261.467682,,,,,,,,,,,,,,,,,,,763.187012,707.929382,112.157425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,875.827942,674.788513,147.259567,1081.513184,722.466370,418.065308,791.877808,629.870117,110.448387,1107.120117,750.378540,261.433807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,873.620728,675.316406,148.717865,1080.477051,723.024658,417.954071,790.030762,630.077393,111.753998,1104.963135,751.465393,261.107697,,,,,,,,,,,,,,,,,,,,,,759.778748,708.406006,113.061653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,871.478455,675.667053,149.637665,1079.213867,723.722290,417.865936,787.902222,630.423401,112.762138,1103.097778,752.477905,261.446899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,869.008179,676.556641,149.932999,1078.353638,724.132446,418.052917,785.547241,630.828186,113.829430,1101.809204,752.916077,261.417938,,,,,,,,,,,,,,,,,,,,,,,,,755.790588,708.745911,114.840012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,867.376648,676.490723,151.312744,1077.587280,724.304077,418.102325,783.162781,631.146606,115.369087,1100.075195,753.494751,261.429688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
