Weight63
Date:,2025/04/23
Time:,12:59:51
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
49,763.662842,681.665649,111.883385,876.252869,700.424744,96.267075,825.210266,621.612915,110.243240,1079.880005,808.256042,211.475510,1094.567627,791.846497,303.674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,763.712402,681.640808,111.882248,876.157898,700.399658,96.453270,825.186523,621.607971,110.164474,1079.876465,808.359802,211.525314,1094.614136,791.842896,303.738892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,763.694763,681.642883,111.977646,876.120422,700.439941,96.381813,825.188538,621.659546,110.198418,1079.834839,808.400146,211.608078,1094.620361,791.839661,303.753723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,763.753296,681.657837,111.936050,876.105408,700.437561,96.373924,825.097961,621.632202,110.291260,1079.761597,808.508118,211.692764,1094.614380,791.786316,303.743958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,763.688110,681.648315,111.982727,876.170959,700.321838,96.436165,825.007080,621.637817,110.325691,1079.605957,808.642822,211.810287,1094.473389,791.787781,303.721436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,763.748840,681.666870,111.921570,876.220093,700.194275,96.446709,824.965332,621.716431,110.354485,1079.446411,808.822388,211.965073,1094.389282,791.794189,303.683441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,763.848938,681.647278,111.909317,876.169983,700.088501,96.820190,824.874451,621.739319,110.422096,1079.293335,809.008667,212.241104,1094.290039,791.799927,303.708435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,763.834412,681.729187,111.937172,876.170593,700.048950,96.825844,824.798767,621.747742,110.544731,1079.247192,809.225586,212.439819,1094.130859,791.806519,303.716125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,763.809753,681.748901,111.958672,876.173157,699.922974,96.948540,824.775879,621.787415,110.584671,1079.177490,809.543274,212.527679,1094.047852,791.807007,303.796234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,763.777832,681.663513,112.012802,876.015869,699.797729,97.752319,824.692444,621.848511,110.658150,1079.090332,809.947510,212.742889,1093.892334,791.899780,303.796051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,763.832764,681.630310,112.025169,875.900818,699.699768,98.255577,824.619873,621.880493,110.716690,1079.010498,810.276550,212.878006,1093.653198,792.027649,303.852417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,763.815369,681.617065,111.992920,876.137451,699.613708,98.472916,824.462830,621.815979,110.807823,1078.874268,810.569519,213.031479,1093.467529,792.149231,303.872314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,763.773071,681.535217,112.013283,876.383972,699.509399,98.613785,824.365662,621.790955,110.890999,1078.930908,810.906067,213.146927,1093.339355,792.289063,304.048157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,763.832703,681.507202,112.050323,876.520447,699.399231,98.741035,824.183716,621.801880,111.017204,1078.890381,811.144653,213.242050,1093.097656,792.536438,304.087372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,763.825745,681.513184,112.072807,876.618958,699.122925,99.393669,824.035950,621.751465,111.153458,1078.885376,811.366943,213.393600,1092.978149,792.779968,304.178925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,763.807068,681.515442,112.179413,876.574524,698.935974,99.888557,823.919861,621.577393,111.421059,1078.917603,811.789795,213.462570,1092.815063,793.073669,304.304596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,763.626038,681.436401,112.205154,876.592346,698.777527,100.319145,823.791748,621.372864,111.760963,1078.916992,812.228210,213.607407,1092.676514,793.321716,304.324432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,763.504150,681.397766,112.206047,876.550964,698.607056,100.760551,823.515442,621.127075,112.046616,1078.931519,812.791809,213.695221,1092.723389,793.586975,304.389771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,763.272339,681.329834,112.197433,876.408386,698.533752,101.363976,823.098328,621.038513,112.528641,1078.924316,813.444153,213.812027,1092.572510,793.994202,304.484009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,763.003784,681.310608,112.116127,875.968201,698.821960,102.437492,823.205261,619.656189,114.234306,1079.082275,813.954468,214.002213,1092.433716,794.338745,304.548889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
