Weight63
Date:,2025/04/28
Time:,14:04:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
88,832.010742,683.807861,197.330002,1061.779175,775.210754,429.853027,1016.590271,855.223450,262.743958,,,,,,,709.658569,645.855164,170.345963,767.369019,619.089539,145.037521
89,828.094849,684.150208,198.169601,1060.834717,774.838074,429.590271,1013.320801,855.374207,263.524170,,,,,,,705.385803,646.352417,172.369110,762.808289,619.652283,146.952164
90,823.794128,684.185486,200.039993,1059.134888,775.051270,430.017151,1009.649536,855.596130,263.885956,,,,,,,701.255493,646.743896,173.964371,758.176941,619.827271,148.278732
91,819.402588,684.282471,202.022293,1056.920654,774.980225,430.158569,1006.065735,855.506470,264.484039,,,,,,,696.759827,647.150574,176.478226,753.238586,620.362488,150.400681
92,814.744629,684.445496,203.254135,1055.535645,774.741089,429.543732,1002.221069,855.283997,264.578857,,,,,,,691.841187,647.633240,178.400085,748.081116,620.768005,152.124222
93,810.166443,684.644409,204.164688,1053.398926,774.998779,429.824646,998.495300,855.197144,265.319489,,,,,,,686.977600,648.044250,180.116257,742.711548,621.168396,153.684845
94,805.447266,685.035339,204.943283,1051.229004,774.970276,429.650299,994.113708,855.021851,265.949371,,,,,,,681.831482,648.547729,182.175507,737.464844,621.453308,154.863617
95,800.281250,685.300964,206.354568,1049.473877,774.807739,429.207214,989.668823,855.038391,266.041443,,,,,,,676.356995,648.886963,184.243637,732.116272,621.966125,156.171173
96,794.960022,685.859619,207.253250,1047.186890,774.917908,429.584412,985.149414,854.800903,266.200500,,,,,,,670.674377,649.473999,186.314758,726.059326,622.544678,157.840836
97,789.551819,686.114502,207.885605,1045.187622,774.806946,429.418457,980.826477,854.489685,266.777039,,,,,,,664.943237,650.049133,187.986801,719.955933,623.047729,159.000641
98,784.098572,686.180725,208.733353,1043.037476,774.758728,429.193420,976.041321,854.257935,267.254456,,,,,,,659.034912,650.586975,189.640625,714.177673,623.386414,159.862198
99,778.375916,686.250549,209.559082,1040.821777,774.641724,429.339478,971.345581,854.006653,267.703369,,,,,,,653.073608,650.956116,191.180237,708.113525,623.927979,160.739944
100,772.478210,686.506592,210.160263,1039.359009,774.289551,429.083130,966.608459,853.308777,268.288788,,,,,,,646.651001,651.735046,192.794632,701.721619,624.743225,161.977921
101,766.389832,686.944458,210.375443,1036.946045,774.292297,429.118744,961.803040,852.553833,268.902008,,,,,,,640.828613,652.464905,193.355148,695.611267,625.362732,162.806046
102,760.297729,687.374329,210.911423,1034.787598,774.059387,428.967712,956.767151,852.050659,269.287598,,,,,,,634.979248,653.197449,193.862366,689.065613,625.771362,163.198563
103,754.276062,687.448181,211.547394,1032.501831,773.992493,428.346771,951.707336,851.440369,269.713898,,,,,,,627.909180,654.182556,195.465027,682.494690,626.150269,163.546738
