;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
51;893.661438;681.030640;108.756256;1046.929565;776.937988;197.929001;1078.408936;748.353760;363.403229;818.009399;613.334839;106.470558;770.800293;688.204102;120.010948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;893.695679;681.032837;108.995621;1047.438110;777.300598;198.261932;1078.083252;748.485535;363.384460;818.011230;613.609131;106.977554;770.839600;688.146118;120.215248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;893.695923;681.089050;109.155487;1047.209106;777.662964;198.549957;1077.923950;748.580261;363.376648;818.586914;612.409973;108.289177;770.771057;688.000610;120.350594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;893.747498;681.142761;109.334549;1046.843018;778.088745;198.896759;1077.641357;748.815613;363.276825;818.976318;611.333496;109.310097;770.725952;687.861206;120.499176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;893.739502;681.234131;109.587318;1046.660522;778.468445;199.222702;1077.336792;748.949585;363.294891;819.068115;611.199463;109.763458;770.591431;687.708496;120.746964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;893.710022;681.369202;109.821892;1046.221680;778.847839;199.675064;1077.271484;749.190918;363.484680;818.999512;611.497314;109.908432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;893.518799;681.692261;110.526382;1045.945313;779.388306;200.098999;1077.064941;749.348816;363.603058;818.795410;611.732788;110.095078;;;;770.508179;687.489380;120.987991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;893.148621;681.799072;111.311638;1045.703735;779.928589;200.384750;1076.916626;749.554443;363.612152;818.675964;611.876038;110.192070;;;;770.534607;687.249939;120.970482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;893.021729;681.967529;111.817863;1045.330078;780.298523;200.677048;1076.448486;749.926086;363.843933;818.649902;612.026855;110.547302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;893.084106;682.223694;112.190842;1044.874023;780.748718;201.059433;1076.212769;750.106445;364.096649;818.736267;612.115601;110.946915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;892.987122;682.566833;112.660126;1044.567017;781.110718;201.363403;1075.900513;750.395325;364.216675;818.720581;612.102539;111.297920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;893.311035;682.559753;112.680992;1044.647949;781.563232;201.384521;1075.535889;750.701294;364.394897;818.604126;612.235107;111.796204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;893.765381;682.594727;112.838547;1044.579102;782.081177;201.636520;1075.110840;751.027771;364.653137;818.803162;612.193298;112.290070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;894.031860;682.627136;113.062401;1044.385376;782.663635;201.995453;1074.590576;751.179260;365.099182;818.761536;612.312378;113.141937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;894.106262;682.756042;113.718613;1044.502075;783.028137;202.638916;1074.528442;751.531372;365.069641;819.006775;612.318420;113.997513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;894.160034;682.865295;114.397057;1044.418213;783.561890;202.995468;1074.413208;751.803467;365.057678;818.950500;612.234131;114.833641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
