;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
58;817.379456;746.527588;151.104446;717.022705;680.744507;130.024933;;;;;;;944.466125;929.353638;261.898254;;;;;;;1002.206299;915.139648;447.363342;800.419983;647.197083;129.563507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;814.324829;746.655884;152.114639;714.381287;681.000183;131.361755;;;;;;;942.981140;929.362732;262.263489;;;;;;;1001.889343;914.739807;447.128967;797.452576;646.939941;130.571762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;811.898438;746.933838;153.450684;710.906738;681.532471;133.268402;;;;;;;941.229248;929.254211;262.949738;;;;;;;1000.582520;914.500549;447.381104;793.941589;647.172241;131.865799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;808.897888;746.984985;154.078796;707.672974;682.047180;134.850800;;;;;;;939.213440;929.034180;263.286896;;;;;;;999.132996;914.303711;447.720947;790.656128;648.196106;133.590988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;805.730591;747.171448;155.148163;704.621338;682.486877;136.149017;;;;;;;937.436768;929.073486;263.379791;;;;;;;998.170898;914.021851;447.581390;787.244568;648.380493;134.575043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;802.938599;747.311462;156.477798;701.000366;682.737427;138.223557;;;;;;;;;;;;;;;;997.141602;913.594543;447.289795;783.532471;648.479797;135.541122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;799.056152;747.416016;157.257980;697.345215;683.459656;139.648666;;;;;;;;;;;;;;;;995.688782;913.090637;447.342468;779.948303;648.941467;136.772995;933.495117;928.504089;264.276184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;796.312683;747.499817;158.326340;693.247864;684.288147;141.474442;;;;;;;;;;;;;;;;994.703430;912.668701;447.240173;776.034180;650.285461;137.023376;930.088501;928.324646;265.227386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;792.685059;747.689819;159.092667;689.366882;684.412537;143.571762;;;;;;;;;;;;;;;;992.988464;912.496277;447.507965;771.772644;650.643311;138.427963;928.094299;927.877075;265.143463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;789.242615;747.675537;160.380508;685.847778;684.926208;144.820694;;;;;;;;;;;;;;;;991.197876;911.987061;447.769928;768.203430;650.047729;140.092316;925.664429;927.503113;265.455811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;785.535217;747.789612;161.152039;682.151062;685.640991;145.141220;;;;;;;;;;;;;;;;989.451782;911.502930;447.452484;764.467712;649.108765;141.438782;923.535889;927.035034;265.291656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;781.948425;747.724792;161.809570;678.562866;686.253235;145.884689;;;;;;;;;;;;;;;;989.007507;910.661499;447.425323;759.869202;648.519043;142.999954;921.088745;926.246277;265.851196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
