;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
50;844.062012;741.174011;139.857437;961.135681;926.124451;260.611847;744.568726;675.661499;112.824669;;;;828.705566;642.884521;111.850998;;;;1020.491516;915.384216;448.566620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;842.718506;741.299561;141.472656;960.076355;926.503906;261.323547;742.826843;675.857422;114.882690;;;;826.700745;643.057190;113.930595;;;;1020.030029;915.330383;448.711975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;840.935486;741.703430;142.837738;959.500916;926.700623;261.704102;741.094666;676.315002;115.869339;;;;824.757568;643.118469;115.728096;;;;1019.447205;915.113770;448.673279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;839.718079;741.966431;144.059357;958.995728;926.951965;261.857666;739.192505;676.975098;117.345764;;;;822.859131;643.533447;118.079041;;;;1019.040833;915.007629;448.692596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;838.018982;742.009033;145.034576;958.889709;927.082703;261.729523;737.286133;677.393311;119.457527;;;;820.699463;643.388611;119.727104;;;;1018.598816;914.927612;448.839020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;836.208801;742.374390;146.284332;958.664856;927.204529;261.786194;735.288879;677.966919;121.026672;;;;818.604980;643.312073;121.722168;;;;1018.144592;914.798950;448.942749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;834.466431;742.579041;147.699432;957.926147;927.265991;262.295898;733.175964;678.497986;122.803276;;;;816.288513;643.381714;123.926407;;;;1017.838379;914.687561;448.843018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;832.332642;742.580017;149.160583;956.745850;927.319519;262.986542;730.769104;678.941284;124.972466;;;;813.955017;643.400879;125.333336;;;;1017.896606;914.638916;448.609406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;830.300964;742.980286;150.917267;955.335571;927.390869;263.492035;728.652039;679.422852;126.658630;;;;811.482788;643.798828;127.487030;;;;1017.902222;914.440735;448.311920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;828.268188;742.951538;152.212845;954.144714;927.545898;263.818115;726.161682;679.542358;129.025208;;;;809.093506;644.212036;129.325455;;;;1017.664978;914.167542;448.210144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;826.240112;743.032654;153.302689;953.492310;927.569946;263.900330;723.619202;680.058960;131.087112;;;;806.180237;644.369751;131.108887;;;;1016.628601;914.138184;448.529449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;823.764404;743.293945;155.112488;952.665833;927.489136;264.261993;720.633362;680.370728;133.138504;;;;803.656372;644.633179;132.287689;;;;1014.995544;914.251038;449.289764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;820.895264;743.537476;156.070175;951.046204;927.426331;264.597656;718.206482;680.794128;134.182541;;;;800.719971;644.818970;134.470932;;;;1013.234253;914.781067;450.301849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;818.430054;743.667358;157.529419;949.468933;927.355774;265.447266;715.684814;681.123474;136.386307;;;;797.988098;645.126831;136.187317;;;;1013.025024;915.290344;450.202698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;815.991882;743.658752;159.352692;948.585388;927.135193;266.089752;712.666260;681.849426;138.285294;;;;794.896118;644.729736;137.344574;;;;1012.577393;915.052673;449.993408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;813.496155;743.771118;160.225540;946.956665;926.941162;266.594086;709.733521;682.315430;139.642563;;;;791.923401;644.590881;138.700546;;;;1011.973389;914.529236;450.031281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;810.660583;743.581482;161.165466;944.770020;926.789124;266.840729;706.805603;682.587036;141.663422;;;;788.363464;645.028931;140.283203;;;;1011.155823;913.590820;450.085022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;807.773315;743.643188;162.885468;943.456665;926.601013;267.017395;703.482422;683.129150;142.852722;;;;785.127747;645.239136;141.687881;;;;1010.056824;912.682251;449.917542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;805.094727;743.839050;164.496811;941.913574;926.152100;267.495178;700.153503;683.559998;145.111374;;;;782.008118;645.510559;143.019638;;;;1009.232544;911.981934;449.493530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;801.709839;743.752319;164.944855;940.032410;925.851379;267.981445;696.939697;683.962463;146.838287;;;;778.313965;645.416809;143.988831;;;;1008.159180;912.561523;450.062347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;799.419250;743.775635;165.788971;937.956848;925.651672;268.320343;693.346313;684.539551;147.893280;;;;774.880249;645.174500;144.668884;;;;1006.691895;912.668579;450.522614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;795.931396;743.833435;166.902878;935.916016;925.144714;268.666840;690.079285;684.875854;149.823105;;;;771.148987;645.398071;145.858597;;;;1005.436462;912.264465;450.268982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;792.647095;743.766785;168.065552;934.017639;924.889954;269.199310;686.472046;685.363403;150.807388;;;;767.471436;645.614136;147.409119;;;;1004.519836;911.699585;449.831207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;789.346436;744.049194;168.897903;931.564331;924.452576;269.597900;683.220703;686.036316;151.789490;;;;763.934875;645.792175;148.249268;;;;1003.507568;910.746887;450.425476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;786.350830;743.910278;169.755966;929.240356;924.262207;269.966644;679.541687;686.508728;153.463425;;;;759.915283;646.170654;148.516159;;;;1001.616150;910.371582;450.333527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;782.634949;744.101624;170.279282;926.965210;923.671143;270.582550;675.424438;687.142151;155.060684;;;;756.009888;647.812988;148.134277;;;;1000.583679;909.970703;450.164215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;779.749939;744.083679;171.478119;924.829102;922.998230;270.596191;671.487427;687.881226;156.092133;;;;751.614014;648.307617;148.592026;;;;999.270020;909.655640;450.215454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;776.001099;744.144409;172.002808;922.214111;922.307007;270.779877;667.617065;688.469788;157.058014;;;;747.494751;648.213928;149.488861;;;;997.848999;908.941284;450.020111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;772.437744;744.016907;172.143036;919.956604;921.772461;270.855042;664.047974;689.098389;158.350494;;;;743.723206;647.907043;150.938553;;;;996.607666;908.170532;450.220978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
