Weight15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;11:10:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
63;847.839294;739.256226;139.461075;;;;742.533203;678.795959;125.993210;1033.391357;886.845093;356.948914;976.752075;912.299622;180.646820;821.873779;640.336609;124.286591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;846.286316;739.285095;141.339767;;;;740.329224;678.991211;128.775925;1033.008179;886.810791;356.943695;975.202881;912.593384;181.038757;819.998596;640.977417;126.498077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;843.892883;739.642395;143.787277;;;;738.290405;679.193970;130.917160;1032.075439;887.067749;356.703125;972.948486;913.146973;181.797897;817.830933;641.173584;128.790695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;841.684814;739.589172;145.846848;;;;735.848938;679.216431;134.282898;1030.895630;887.251831;356.761078;971.824219;913.036316;182.723557;815.680603;642.419250;130.564896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;839.197327;740.025330;148.043671;;;;733.350159;679.398682;136.709747;1030.021362;887.352722;356.841217;969.802429;913.283081;183.938583;813.278442;642.917236;133.006760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;837.028564;740.044250;149.422379;;;;730.626770;679.590027;140.244034;1029.253418;887.347900;356.839020;968.124268;913.363464;184.714584;810.588013;643.053345;135.198792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;833.951416;740.246887;151.665756;;;;727.983215;679.687561;142.649307;1028.424316;887.414246;356.859680;965.808167;913.990906;185.315643;807.776184;643.170898;138.025131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;831.451172;740.559814;153.994904;;;;725.202515;679.978271;145.522232;1028.329102;887.241638;356.946503;962.977112;914.343933;185.851715;805.194824;643.000366;140.332825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;828.479736;741.089722;156.079208;;;;722.104736;680.199768;148.434723;1027.255127;887.419495;356.812805;961.322021;914.170593;187.057816;801.726990;643.295166;142.996826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;825.989014;741.359070;157.855270;;;;719.195618;680.516235;150.714523;1025.890259;887.459045;356.650452;958.483765;914.550598;187.825378;798.867676;643.535034;144.728210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
