;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
30;897.116394;736.094604;144.389969;;;;1073.183960;841.363159;525.483582;1058.080444;814.232971;325.855133;;;;857.613464;644.898010;120.946609;;;;;;;;;;765.198181;719.791443;122.321709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;897.015259;735.938232;144.417313;;;;1072.805908;841.610107;525.183350;1057.695313;814.289795;325.765198;;;;857.796265;644.718933;120.474335;;;;;;;;;;764.954895;719.469482;122.264984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;897.025574;735.604919;144.058716;;;;1072.468018;841.659912;525.121399;1057.325073;814.235840;325.626343;;;;857.841431;644.502991;120.232506;;;;;;;;;;764.667297;719.239563;122.031685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;896.996399;735.355408;143.851151;;;;1072.206909;841.650146;525.034485;1056.919800;814.103088;325.499847;;;;857.798035;644.359131;120.112015;;;;;;;;;;764.548889;718.913696;121.870377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;896.977356;735.179382;143.642548;;;;1072.090210;841.655396;524.940247;1056.574097;813.930359;325.418915;;;;857.627625;644.129211;120.025276;;;;;;;;;;764.106689;718.682312;121.704254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;896.848572;734.968811;143.534454;;;;1071.995972;841.605530;524.845154;1056.187500;813.840088;325.229187;;;;857.584656;644.295349;119.835732;;;;;;;;;;763.721863;718.473816;121.604614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;896.720764;734.616028;143.411652;;;;1071.673340;841.608826;524.688843;;;;;;;857.520996;644.330322;119.730446;;;;;;;;;;763.325562;718.228455;121.541115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;896.534668;734.251099;143.280548;;;;1071.443848;841.603638;524.517578;;;;;;;857.451172;644.204407;119.695206;;;;;;;;;;763.150085;717.828308;121.221977;1055.689941;813.485596;325.010162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;896.355774;734.035217;143.193207;;;;1071.272827;841.507874;524.494019;;;;;;;857.464966;643.901184;119.649178;;;;;;;;;;763.400208;717.468018;120.823166;1055.700806;813.359070;324.417816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;896.262268;733.735291;143.122162;;;;1071.194458;841.538696;524.293762;;;;;;;857.250793;643.647095;119.591240;;;;;;;;;;763.379089;717.042603;120.591179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
