;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;;*43;;;*44;;;*45;;;*46;;;*47;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
30;949.016357;818.593323;105.290932;;;;893.757996;732.657532;82.292252;1190.142578;904.444092;402.255280;1172.744263;938.210022;194.848648;816.041748;798.168274;93.020264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;948.240356;816.306335;106.378777;;;;893.515076;729.751526;84.060188;1189.348755;904.159180;401.802490;1171.400757;937.700134;194.682846;815.020020;795.371155;94.686272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;947.565796;814.350403;106.867409;;;;893.481689;727.242493;85.451790;1188.591309;903.786926;401.383575;1170.475220;937.108093;194.605759;813.924011;792.819519;95.745934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;946.597290;812.104492;107.530907;;;;893.988220;724.391907;86.823067;1187.872070;903.444580;401.125031;1169.570923;936.223694;194.229294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;945.740479;810.000305;108.548103;;;;894.185791;721.135559;89.020691;1187.176880;903.133667;400.996216;1168.357056;935.249573;193.437332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;944.843689;807.701233;109.491066;;;;893.814697;718.640503;90.460709;1186.464844;902.839294;400.935760;1167.102783;934.608765;193.182022;;;;811.455994;784.530396;100.263786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;943.899597;806.020508;110.209541;;;;893.874939;716.116882;91.931122;1185.603394;902.565063;400.723907;1165.648682;933.727722;193.289810;;;;810.061401;781.640991;102.239746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;942.895325;803.756104;111.387238;;;;894.152161;713.253601;93.345352;1184.446655;902.270752;400.128906;1164.218262;932.934937;193.131042;;;;809.438599;779.121765;103.596626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;941.566040;801.782349;112.131729;;;;894.067627;710.363708;95.386688;1183.527588;901.896912;400.097626;1163.077759;931.992920;192.398346;;;;808.578491;776.792786;104.844360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;940.828247;799.816406;112.532089;;;;893.446838;708.061035;96.377571;1182.763062;901.421326;399.862793;1161.850708;930.977478;191.818390;;;;807.785767;774.495056;105.545044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;939.733521;797.819214;113.206085;;;;893.472778;705.472534;97.838516;1182.252441;901.043030;399.615570;1160.512939;929.992065;191.798996;;;;806.644897;772.186462;106.112762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;938.692688;795.617615;113.990356;;;;893.007019;703.222961;99.270660;1181.468140;900.574219;399.287994;1159.117065;929.254395;191.876572;;;;805.436523;769.942627;107.500076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;937.771423;793.739624;114.515373;;;;892.607971;700.521606;101.186806;1180.575562;900.250244;399.299805;1157.208374;928.184204;191.354401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;936.172241;791.550964;115.142380;;;;891.918335;698.234680;102.513855;1179.079224;900.016052;398.819244;1156.151611;927.124634;190.847610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;935.187927;789.906677;115.353691;;;;891.415283;695.774231;104.171768;1178.008789;899.710571;398.605835;1154.535156;926.189819;190.486664;;;;;;;802.186584;763.630371;108.682991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;934.123962;787.611938;116.136169;;;;890.820007;693.458191;105.342041;1177.141357;899.283997;398.637360;1152.555054;925.244446;190.705017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;932.736694;785.639771;116.662155;;;;890.399231;691.457642;105.828033;1176.451294;898.774963;398.459229;1151.018433;924.192200;190.389908;;;;;;;;;;799.556152;759.290100;109.336884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;931.697266;783.471802;116.790955;;;;890.124634;688.841187;106.989670;1175.601440;898.119751;398.048798;1149.658813;922.987122;189.815170;;;;;;;;;;798.117798;757.502014;109.811394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;930.182373;781.618713;117.101578;;;;889.564087;686.688293;107.856895;1174.517090;897.664490;397.747406;1148.007568;922.006042;189.861099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;929.081909;780.011963;117.328979;;;;889.154663;684.652893;108.225327;1173.387573;897.292847;397.577972;1145.809814;921.151001;189.533432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
