;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
31;941.910217;498.215576;133.364120;979.689026;598.131531;142.720261;878.690308;531.452515;130.173386;1170.688843;744.633057;362.494324;1117.554810;762.711792;229.959534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;942.679932;501.131683;136.304977;980.962952;601.097534;144.787033;880.057129;535.826477;132.383133;1172.675415;745.379089;363.214294;1121.056763;764.040100;230.097061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;943.096558;504.334534;138.526917;983.273987;603.584656;146.115311;881.494507;540.765320;135.537399;1174.845093;746.143372;363.338837;1123.654053;765.527832;230.600906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;943.266418;508.620300;141.321625;985.385071;606.599915;147.207840;882.327942;545.554932;138.745865;1176.579834;746.996521;364.037048;1125.630493;767.663696;230.864578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;943.860596;511.985657;143.938339;987.331177;609.379822;148.653809;882.845947;550.670593;141.353973;1178.471680;747.791016;364.549927;1129.017700;769.105591;231.009491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;944.730774;515.293335;146.211411;988.804932;612.236389;149.582062;883.247925;556.239136;143.669830;1180.055420;748.720215;364.372955;1131.490967;770.622498;231.327835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;944.312317;519.640869;148.730820;990.332947;615.051575;151.190353;883.706238;562.140991;145.040924;1181.662109;749.372681;364.871979;1133.923828;772.150330;231.649094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;944.127441;523.757385;151.723724;990.820984;618.913879;151.190857;884.295044;568.072205;147.749725;1183.753784;749.749695;365.629852;1136.557007;773.742432;231.760162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;943.181702;528.498779;154.056381;991.608398;622.765320;151.885101;883.818542;574.624390;149.070099;1184.897339;750.660156;365.467987;1139.361328;775.039429;231.780655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;942.725647;532.424011;156.019409;992.062195;626.465820;152.690247;883.651062;580.983887;150.933609;1186.385742;751.188110;365.497986;1142.323242;776.422791;232.149429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;941.708557;536.828735;158.572815;993.389282;629.048462;153.902359;883.537048;587.480774;151.443878;1187.865112;751.895813;366.044281;1144.929199;777.735107;232.495132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
