Grasp118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:09:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
43;888.966187;701.917603;82.738815;939.938843;790.392029;94.265892;802.825867;773.012390;108.796852;1097.468628;892.924988;270.966492;1156.568604;870.424255;447.248749;;;;;;;;;;;;;;;
44;889.465576;699.341736;85.792122;939.062927;788.961060;95.604439;801.828918;771.668762;111.177505;1097.181274;892.285889;270.685425;1156.252563;870.299988;446.964691;;;;;;;;;;;;;;;
45;888.715881;697.336243;87.804764;938.283447;787.501099;96.609726;801.278259;769.965698;113.411613;1096.635376;891.571411;270.273712;1155.844482;870.160156;446.644287;;;;;;;;;;;;;;;
46;889.160156;694.455444;90.016075;937.042969;785.253418;97.747398;800.294189;768.628784;115.508286;1096.142456;890.865051;270.110382;1155.468506;869.977905;446.383331;;;;;;;;;;;;;;;
47;889.578369;692.217224;91.658447;935.848938;783.682434;98.824905;799.608887;767.134033;117.654701;1095.735352;890.151672;269.701111;1155.173340;869.731812;446.107788;;;;;;;;;;;;;;;
48;889.312744;690.056763;93.335709;934.905640;781.746948;99.576447;798.057556;765.952393;119.021133;1095.018799;889.377502;269.064423;1154.835815;869.438110;445.931610;;;;;;;;;;;;;;;
49;888.310852;687.779785;95.785011;933.587219;780.124634;100.686668;797.248596;764.531189;119.684456;1095.088501;888.250793;268.170746;1154.328735;869.289429;445.457611;;;;;;;;;;;;;;;
50;887.511536;685.655212;98.193451;932.404358;777.960754;101.398201;796.209778;763.201782;120.479843;1094.353516;887.023926;267.819458;1153.626709;869.145630;444.869995;;;;;;;;;;;;;;;
51;886.904968;683.200867;98.966301;931.165344;775.797180;102.453117;794.485962;761.850159;122.011131;1093.297241;886.059265;267.538483;1152.799438;868.989746;444.189758;;;;;;;;;;;;;;;
52;886.758911;680.677979;100.346466;929.919800;773.829407;103.051704;792.856079;760.855103;122.627235;1092.303223;885.444336;267.221924;1152.281982;868.838440;443.788208;;;;;;;;;;;;;;;
53;886.219482;678.317688;101.296982;928.507629;772.195129;103.358223;791.941956;759.415588;122.752327;1091.088257;884.552612;266.750641;1151.755127;868.505371;443.308594;;;;;;;;;;;;;;;
54;885.304443;676.656250;101.766312;927.559082;769.984558;103.771538;790.971313;758.215149;122.806984;1088.623535;883.793701;266.725555;1150.954346;868.094482;442.832672;;;;;;;;;;;;;;;
55;883.899536;674.688599;103.004044;925.904663;767.971252;104.026108;790.089111;757.322388;122.969086;1086.925293;883.060181;266.643799;1150.005615;867.711060;441.959930;;;;;;;;;;;;;;;
56;883.154358;672.589294;103.541237;924.257568;766.179749;104.525986;788.106140;755.985901;122.896339;1085.752563;882.155518;265.929596;1149.344971;867.294067;441.175415;;;;;;;;;;;;;;;
57;881.676880;670.939819;104.234909;922.460327;764.263123;105.307510;786.322144;755.124512;122.897919;1084.618652;880.781738;265.209900;1148.737427;866.951111;440.755157;;;;;;;;;;;;;;;
58;880.819153;669.056641;105.270035;921.038574;762.324829;105.401428;784.927856;754.326294;123.220085;1083.647095;879.661804;264.684082;1147.867432;866.709900;440.257355;;;;;;;;;;;;;;;
59;879.685730;666.853088;105.926109;920.105103;760.812317;104.985130;783.084717;753.226929;123.403633;1082.776733;878.509888;263.317535;1146.604492;866.449280;439.385895;;;;;;;;;;;;;;;
60;878.271729;665.195129;106.304115;918.886169;758.911621;104.750565;781.803650;752.130554;123.615135;1081.756348;876.908203;262.504791;1145.551147;866.055359;438.733490;;;;;;;;;;;;;;;
61;877.139587;663.557861;106.631332;917.277100;757.557251;105.027084;780.361023;750.847290;123.735481;1081.357910;875.539917;261.511414;1144.804810;865.695740;437.948059;;;;;;;;;;;;;;;
62;876.059814;661.823975;107.091682;915.689148;755.665771;105.282906;779.155518;749.393311;123.452324;1080.745850;874.345032;259.940155;1143.732544;865.177490;437.056244;;;;;;;;;;;;;;;
63;875.317749;660.229858;107.566864;914.956299;754.072327;105.068703;778.500244;748.165771;123.180733;1078.935303;873.178772;259.386658;1142.530518;864.507629;436.366425;;;;;;;;;;;;;;;
64;873.763245;658.933350;108.014351;913.942871;752.481873;104.635895;777.089600;747.064453;122.684311;1076.948853;872.339172;259.443787;1141.520020;863.934265;436.040680;;;;;;;;;;;;;;;
65;872.867981;657.067810;108.981987;912.299683;750.812195;104.115417;776.021179;745.542725;122.512939;1074.945190;871.708496;259.112823;1140.398315;863.780212;434.916901;;;;;;;;;;;;;;;
66;872.177795;655.200439;109.473991;910.791443;749.712769;104.163605;774.651123;744.192871;122.756958;1073.608154;870.482178;257.883209;1139.293213;863.567627;433.672180;;;;;;;;;;;;;;;
67;871.058899;653.907593;109.128372;909.281494;747.902588;104.471054;773.401917;742.780518;123.253532;1073.107666;869.393677;256.712341;1138.557495;863.091187;433.119843;;;;;;;;;;;;;;;
68;869.770874;652.634338;109.201408;908.060547;746.540466;104.131584;772.320557;741.128174;122.956230;1072.508545;868.334717;255.433792;1137.354980;862.462097;432.154541;;;;;;;;;;;;;;;
69;869.178528;651.261292;109.912384;907.329041;745.170166;103.678116;771.407959;739.537842;122.555496;1071.265625;867.301270;254.331772;1136.439087;862.085632;431.246094;;;;;;;;;;;;;;;
70;868.917053;649.360474;109.844475;906.185791;743.609558;103.377457;770.173218;737.851013;122.583824;1070.093750;866.439941;253.802505;1136.092041;861.672485;430.743256;;;;;;;;;;;;;;;
71;867.842468;648.024292;109.630753;905.176819;742.288025;103.199944;768.910156;736.461426;122.700058;1069.257080;865.336060;253.232605;1134.976929;861.428101;429.703583;;;;;;;;;;;;;;;
72;867.378845;645.988220;110.401886;904.491516;740.738708;103.203766;;;;1067.991211;864.405090;252.451843;1133.757568;860.984680;428.846588;;;;;;;;;;;;;;;
73;866.498352;644.360474;110.697037;904.001343;739.085266;103.456558;;;;;;;1133.013794;860.602234;428.215332;766.580750;733.345947;122.637077;;;;;;;;;;;;
74;866.081543;643.030090;110.626945;902.566101;737.541931;103.233528;;;;;;;1132.336182;860.320068;427.612579;766.243835;731.807312;122.113731;;;;;;;;;;;;
75;865.567871;641.343811;110.658958;901.256165;736.145569;103.259293;;;;;;;1131.492432;860.110901;426.755127;765.715149;730.183594;122.023315;1064.422119;862.034668;250.210419;;;;;;;;;
76;865.080322;639.833557;110.920959;900.480957;734.925598;102.993362;;;;;;;1130.558838;859.896729;426.096405;764.564758;728.691772;122.031082;1064.061523;861.238464;248.990662;;;;;;;;;
77;864.666321;638.324036;110.923592;899.736633;733.486694;102.722504;;;;;;;1129.853516;859.550049;425.740570;763.362244;727.424194;122.278824;1063.065430;860.611389;248.242355;;;;;;;;;
78;864.127258;636.938416;110.593040;899.243469;731.984924;102.602226;;;;;;;1129.112549;859.153809;425.275055;762.605896;726.201416;122.790398;1061.938721;859.784973;247.705688;;;;;;;;;
79;863.172729;635.785583;110.353981;898.822754;730.916565;102.496948;;;;;;;1127.904175;859.096924;424.166748;762.165283;724.335815;123.115280;1060.832642;859.005005;247.452499;;;;;;;;;
80;861.913696;634.620789;111.278091;897.486694;729.627686;102.482559;;;;;;;1127.078613;859.056458;423.502228;761.597839;722.756958;123.163139;1060.061646;858.164673;246.937637;;;;;;;;;
81;861.163025;633.319092;111.146454;896.477600;728.268372;102.697060;;;;;;;1126.539795;858.758423;423.323303;761.089600;721.304260;123.104904;1059.216675;857.542786;246.278275;;;;;;;;;
82;861.355164;632.182312;110.201561;896.162781;726.950928;102.644188;;;;;;;1125.683472;858.013794;423.235291;760.925537;719.725098;122.826347;1058.104980;856.917908;245.764145;;;;;;;;;
83;860.560852;630.633301;110.101349;895.556763;725.792358;102.515160;;;;;;;1124.446899;857.678406;422.517212;760.659973;718.386292;122.504570;1057.321533;855.949829;245.255081;;;;;;;;;
84;859.916016;629.273865;110.911263;894.910095;724.595520;102.526146;;;;;;;1123.488159;857.351746;421.755981;760.287781;716.463989;122.300026;;;;;;;;;;;;
85;859.434204;628.208313;111.008896;894.672974;723.525757;102.001015;;;;;;;1123.402344;856.975159;421.317505;759.705139;715.089294;122.189133;;;;;;;;;;;;
86;858.623718;627.278564;110.877220;894.366760;722.385437;101.459267;;;;;;;1122.534180;856.980774;421.153625;759.299805;714.073975;121.998657;;;;;;;;;;;;
87;857.733582;626.454773;110.645111;893.763123;721.073547;100.964729;;;;;;;1121.545166;856.943420;420.646637;758.822205;712.892456;121.951004;;;;1055.318970;853.306519;242.575592;;;;;;
88;856.959961;625.361938;110.533936;893.398254;720.281067;101.099709;;;;;;;1120.527222;856.862244;420.176514;758.196960;711.804993;121.936348;;;;1054.985107;852.338013;242.188339;;;;;;
89;856.419678;624.182434;110.623062;892.669922;719.339722;101.792252;;;;;;;1119.694458;856.791260;419.504028;757.563416;710.712463;121.934555;;;;1053.996948;851.687683;242.187912;;;;;;
90;856.047241;623.060181;110.343170;892.037659;718.121460;102.104706;;;;;;;1118.976196;856.034485;419.318634;757.190247;709.561218;122.199463;;;;1053.132202;851.119263;242.126404;;;;;;
91;855.521301;622.074890;109.886185;891.597595;716.938538;102.245247;;;;;;;1118.596313;855.882874;419.187317;756.847656;708.583313;122.420395;;;;1052.483887;850.996033;241.784561;;;;;;
92;854.809998;621.162781;109.561096;891.331848;716.017029;102.180328;;;;;;;1118.589233;855.755737;418.803314;756.536072;707.665771;122.364128;;;;1052.315430;850.509827;240.948914;;;;;;
93;853.830933;620.011902;109.366249;891.187073;714.948059;102.045502;;;;;;;1117.852051;855.588562;418.082581;756.174072;706.263550;122.456635;;;;1051.872314;849.984863;240.282104;;;;;;
94;853.188232;619.062195;108.926132;890.916748;713.860229;101.782883;;;;;;;1116.938721;855.522583;417.761902;755.818298;704.838257;121.716286;;;;1051.062500;849.453796;240.040344;;;;;;
95;852.671692;618.217957;108.191528;890.910156;713.078369;100.788521;;;;;;;1116.083130;855.366211;417.382172;755.848267;702.981995;121.803757;;;;1050.188843;848.771851;239.881592;;;;;;
96;851.930542;617.562195;107.502777;890.454956;712.409912;101.066711;;;;;;;1115.216309;855.106812;417.430542;755.518372;701.269714;121.827736;;;;1049.563599;848.246216;239.757965;;;;;;
97;851.315674;616.654053;106.671448;889.796692;711.608093;101.050514;;;;;;;1114.684082;854.619812;417.343719;755.428040;700.163696;121.625320;;;;1049.138428;847.887146;239.608597;;;;;;
98;850.787048;615.588074;105.836945;889.284851;710.855713;100.788734;;;;;;;1114.083008;854.011047;416.831909;755.200623;698.848816;120.654350;;;;1048.810547;847.505371;239.383911;;;;;;
99;850.003540;614.774719;104.275139;889.061523;710.124939;100.515533;;;;;;;1113.517456;853.811951;416.119720;754.956665;697.576416;120.038574;;;;1048.483276;847.273560;239.167587;;;;;;
100;849.131409;614.479492;103.270828;888.755493;709.476257;100.135002;;;;;;;1113.573120;853.572327;415.540192;754.880920;696.599792;119.753868;;;;1047.560913;847.112732;238.793930;;;;;;
101;847.806580;614.066956;101.511337;888.537781;708.903076;99.904106;;;;;;;1112.611206;853.617065;415.257507;754.965576;695.356873;119.580917;;;;1046.792358;846.631531;238.021912;;;;;;
102;846.300842;614.145264;100.357506;888.221924;708.299805;99.536324;;;;;;;1112.218628;853.369385;415.233917;755.520508;693.966003;119.282303;;;;1046.219482;846.174988;237.797516;;;;;;
103;844.301086;614.172241;98.731323;888.089905;707.609070;99.340523;;;;;;;1111.625488;853.158936;415.175201;755.766846;692.755432;118.400681;;;;1045.579468;845.746399;237.722382;;;;;;
104;842.925964;614.067566;97.126411;888.184570;706.745728;98.907173;;;;;;;1110.922363;853.070129;415.132111;756.001404;691.438354;117.143669;;;;1045.133911;845.419556;237.303070;;;;;;
105;841.531006;614.201721;95.533318;888.207031;706.128235;98.606049;;;;;;;1110.391113;853.009949;414.977417;756.304749;690.272461;116.270683;;;;1044.913940;845.088928;236.944000;;;;;;
106;840.040771;614.603027;94.398186;888.122498;705.786499;98.561440;;;;;;;1110.125244;852.988403;414.483704;755.946289;689.642273;116.419525;;;;1045.016968;844.713379;236.568848;;;;;;
107;838.147095;615.268494;93.044281;888.014893;705.466797;98.496513;;;;;;;1109.693726;852.992188;414.246674;756.547668;688.487610;115.930542;;;;1045.571655;844.144836;235.798370;;;;;;
108;836.727051;615.818787;92.015656;887.892456;705.343201;98.307739;;;;;;;1109.105713;852.990356;413.947144;757.150391;687.085083;114.670380;;;;1045.475342;844.007263;234.988312;;;;;;
109;835.873291;616.286438;90.945190;887.801514;705.141113;98.072968;;;;;;;1108.722412;852.896240;413.649323;757.736755;685.854980;113.680420;;;;1045.271851;843.928833;234.750854;;;;;;
110;835.146179;616.703552;90.290337;887.645813;705.053406;97.877045;;;;;;;1108.415161;852.915833;413.592072;758.153259;684.571838;112.706818;;;;1045.131470;843.861145;234.709015;;;;;;
111;834.272766;617.154053;89.871330;887.547119;704.980347;97.671555;;;;;;;1108.031738;852.965027;413.558624;758.575439;683.134338;111.977325;;;;1044.832153;843.804077;234.510651;;;;;;
