;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
46;888.853577;756.787231;127.296646;873.136597;658.248657;116.286133;756.634583;724.790100;106.479065;;;;1131.559204;908.485962;326.714142;;;;;;;;;;;;;;;;1146.956543;878.810181;515.225464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;887.993164;754.645142;127.901787;872.252625;655.893311;115.620789;755.613586;722.248779;106.276871;;;;1131.012573;907.243286;325.902954;;;;;;;;;;;;;;;;1146.131104;878.746765;514.520386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;886.955261;752.573792;127.938507;871.795166;653.530396;115.072258;754.972656;719.676758;106.239670;;;;1130.127075;905.909241;325.216370;;;;;;;;;;;;;;;;1145.433105;878.530945;513.920471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;886.211792;750.309998;127.883163;870.920227;651.414551;114.955399;754.218262;716.709778;106.681679;;;;1129.377197;904.728516;324.256836;;;;;;;;;;;;;;;;1145.178345;878.257751;513.608643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;885.310913;748.169373;128.100555;870.187500;649.263916;114.672371;753.082581;713.903748;107.071289;;;;1128.520386;903.462219;323.353119;;;;;;;;;;;;;;;;1145.122192;877.871521;513.477661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;884.087585;745.977966;128.078156;869.058838;647.302185;114.389610;752.818604;711.515930;106.924454;;;;1127.814819;902.179932;322.752319;;;;;;;;;;;;;;;;1144.285889;877.672729;512.430298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;883.525085;744.075195;127.941444;868.250122;644.901062;113.869102;752.255798;708.882996;106.486176;;;;1127.144043;900.959412;321.957306;;;;;;;;;;;;;;;;1143.589722;877.495056;511.667786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;882.589294;742.220093;127.844353;867.186829;643.576294;112.774422;751.914001;706.407410;105.937798;;;;1126.554321;899.719910;321.477875;;;;;;;;;;;;;;;;1143.120850;877.185364;511.293976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;881.817810;740.387268;127.740997;865.515503;640.996094;111.866272;751.708557;704.290283;105.802727;;;;1125.813110;898.630676;320.850464;;;;;;;;;;;;;;;;1142.445435;876.939514;510.780457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;881.499146;738.606384;127.479218;863.926086;638.906250;110.804420;751.278687;702.116943;105.491226;;;;1125.161255;897.465149;320.293457;;;;;;;;;;;;;;;;1141.565063;876.775085;510.067474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
