Grasp118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:05:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
39;844.913818;740.586121;194.622665;774.517944;626.820923;163.448486;915.907410;1013.837524;478.811981;851.886658;1012.802002;278.232941;871.242737;656.132263;148.895599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;844.889465;738.624207;194.678131;775.280823;624.718567;161.427139;915.671875;1013.316101;478.719971;850.498352;1011.422913;278.865448;871.417358;655.036133;147.627472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;844.819031;736.350098;194.970612;776.150940;622.838562;159.976746;915.387573;1012.710144;478.728333;849.205750;1010.173401;279.145996;871.236938;654.129211;146.671753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;844.835571;734.632935;195.081757;776.638123;621.077393;157.849442;914.879333;1012.096130;478.828674;847.934998;1008.578979;279.517059;871.148315;653.214600;144.037643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;845.325378;732.246765;195.477310;777.113281;619.203796;155.416702;914.373291;1011.553406;478.922394;846.683411;1007.350159;279.654633;871.585388;652.038086;142.840958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;846.011963;731.256104;196.065765;777.675232;617.755615;153.557053;913.589111;1011.103638;478.966980;845.868469;1006.023499;279.735352;872.103760;651.107422;141.588898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;845.537170;728.739258;195.730179;778.436340;616.022034;151.779236;912.904602;1010.607971;479.094116;845.085449;1004.357849;279.882690;871.989929;650.673645;139.006149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;845.355042;726.792419;195.460129;779.017883;614.820313;149.600571;912.643738;1010.015808;479.145630;844.306824;1003.043396;280.046143;871.602783;650.459778;136.806549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;845.302429;725.027954;194.956543;779.807068;613.588318;147.443909;912.250305;1009.476196;479.105957;843.363037;1001.566711;279.903198;870.799072;649.995605;134.643295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;845.533264;723.439331;194.201843;779.719360;612.480713;145.324844;911.826538;1008.903503;479.294983;841.875610;999.996765;280.537903;870.609680;649.296448;132.409454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
