Präzision08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:09:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
63;712.467346;978.725586;186.097473;700.481934;880.282532;156.487610;;;;669.512451;875.490051;152.246048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;740.683167;1256.325806;380.142212;;;;;;;719.176941;1246.501587;205.195618;;;
64;710.942505;980.301392;185.241928;698.105591;881.656982;155.285187;;;;667.053894;876.955383;151.094818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;741.247620;1257.484375;380.031342;;;;;;;719.349060;1248.103027;205.424072;;;
65;709.518311;981.913086;184.286270;695.670044;883.703186;153.995270;;;;665.030273;878.966675;149.445023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;741.955383;1258.435059;379.859222;;;;;;;719.658508;1249.237427;205.532532;;;
66;708.167419;983.150452;183.081848;693.443665;885.172729;152.531631;;;;663.582092;880.870422;147.373871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;742.400818;1259.401367;379.988708;;;;;;;719.981628;1250.726929;205.220184;;;
67;706.748352;984.303589;182.288300;692.392212;886.254211;151.555084;;;;662.211975;882.539001;145.687698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;742.793823;1260.296265;380.291870;;;;;;;720.350708;1252.228638;204.967545;;;
68;705.844666;985.615784;181.541916;690.418579;888.009338;149.997284;;;;660.839905;884.052185;144.225159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;743.240601;1261.057739;380.639221;;;;;;;720.510742;1253.046387;204.885498;;;
69;704.791321;986.870850;180.399841;688.898865;889.350037;149.180313;;;;658.956848;885.143494;143.978821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;743.793274;1261.900269;380.519287;;;;;;;720.550537;1253.923584;205.177170;;;
70;703.841492;987.931946;179.567749;687.812561;890.446472;148.235916;;;;656.577820;886.044067;144.341766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;743.987793;1262.677368;380.832642;;;;;;;720.828369;1255.095703;205.625412;;;
71;703.312134;988.758057;179.275360;687.115601;891.469360;147.408112;;;;655.572021;887.256165;143.525589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;744.213257;1263.308472;381.201874;;;;;;;721.134888;1256.075439;205.837143;;;
72;702.671570;989.896973;178.420715;686.019897;892.938171;146.301407;;;;655.112671;888.477783;142.345963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;744.616760;1263.998779;381.278259;;;;;;;721.517029;1256.742065;205.817719;;;
