Präzision25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:35:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
45;800.150208;779.457397;114.476158;820.045593;1005.924805;332.536072;782.324341;989.804077;202.978210;792.802734;689.127808;80.876663;765.971497;676.930298;73.790253;;;;;;;;;;;;;;;;;;;;;
46;799.329102;780.670898;116.086273;819.911133;1007.014954;332.664612;782.054199;991.538635;203.341858;792.691223;689.846008;83.441277;766.272156;677.872925;76.575790;;;;;;;;;;;;;;;;;;;;;
47;798.845154;782.047180;118.780022;819.819885;1008.457153;332.505402;781.821533;993.567749;203.743317;792.741028;690.690796;87.138901;766.297485;678.828918;79.502235;;;;;;;;;;;;;;;;;;;;;
48;798.174377;782.916138;122.040047;819.398987;1010.029907;331.948273;781.311340;995.533936;204.297531;792.688232;691.960510;90.650917;766.227478;679.564941;82.685883;;;;;;;;;;;;;;;;;;;;;
49;798.010437;784.630615;124.249634;818.794617;1011.605347;331.787048;780.674683;998.165833;205.445969;792.810669;693.018494;93.307999;765.628113;680.546570;86.487442;;;;;;;;;;;;;;;;;;;;;
50;797.954834;786.067078;127.675781;818.205505;1013.234253;331.913513;780.466553;1000.276306;205.743423;792.471375;693.880554;96.973488;765.638306;681.805420;89.920166;;;;;;;;;;;;;;;;;;;;;
51;797.180420;787.479065;130.138855;817.638367;1014.911072;332.373077;779.942261;1002.458374;206.454819;792.446167;695.393921;100.256996;765.473938;682.933533;93.412552;;;;;;;;;;;;;;;;;;;;;
52;796.769836;789.326904;133.030670;817.038025;1016.795532;332.505829;779.451294;1005.087097;207.226166;791.615845;697.104736;103.222443;764.823425;684.151550;97.361572;;;;;;;;;;;;;;;;;;;;;
53;796.528259;791.099792;136.475861;816.456299;1018.585754;332.299072;779.024170;1007.698120;208.244141;791.196716;698.410583;107.336006;764.955078;685.664429;100.532112;;;;;;;;;;;;;;;;;;;;;
54;795.678772;792.781799;139.539749;815.902527;1020.477600;332.314117;778.216675;1010.300720;209.349121;791.334595;700.254211;110.547707;765.046326;686.984070;103.550735;;;;;;;;;;;;;;;;;;;;;
55;795.520264;794.730469;142.503326;815.176941;1022.347717;332.157745;777.466064;1012.852905;210.211151;791.300537;701.798523;114.398064;764.683350;688.986023;107.877510;;;;;;;;;;;;;;;;;;;;;
56;794.951233;796.915283;146.087677;814.475037;1024.320190;332.059021;777.187866;1015.615845;211.357208;790.489868;703.781921;118.306961;763.952271;690.587708;111.743065;;;;;;;;;;;;;;;;;;;;;
