Präzision01165;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:51:01;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
105;738.540039;1122.411133;473.083862;702.073120;1085.475708;318.117645;721.478027;758.233948;167.584610;737.386719;871.796021;198.930389;;;;;;;746.724182;776.217773;172.100296;;;;;;
106;738.615356;1123.791504;474.029388;701.504639;1087.995728;318.741486;719.730408;760.987305;167.652191;735.750244;874.630005;199.123077;;;;;;;744.770691;779.043213;173.240067;;;;;;
107;738.860168;1125.125732;474.672302;;;;717.977234;764.274414;167.895752;734.512573;877.529297;199.842834;;;;;;;742.911194;781.704651;173.179123;;;;;;
108;739.037720;1126.620117;474.818634;;;;715.841614;766.983215;168.220856;732.525574;880.119385;200.357513;;;;;;;741.387634;784.798889;173.184082;699.338684;1092.741943;321.076233;;;
109;738.893555;1127.924561;475.953217;;;;713.746033;769.716370;168.596512;731.030212;883.201416;200.385345;;;;;;;739.344238;787.259949;174.194183;699.237488;1095.147095;321.726624;;;
110;738.625244;1129.387573;477.030823;;;;712.240173;772.900146;168.774582;729.427368;886.156250;201.079773;;;;;;;737.363159;790.268799;173.887680;698.364380;1097.680786;322.724945;;;
111;738.643921;1130.740967;477.777618;;;;710.507141;775.812683;168.247223;727.655640;888.445435;201.346558;;;;;;;735.824768;793.362427;173.786713;697.627625;1100.162842;323.751740;;;
112;738.545166;1132.035156;478.381927;;;;708.442444;778.502380;167.934387;726.104614;891.404480;201.150192;;;;;;;733.405823;796.167725;173.771957;697.732300;1102.650513;324.047241;;;
113;738.745667;1133.492432;478.776276;;;;706.377441;781.780273;167.910690;724.477112;894.208313;201.472595;;;;;;;732.069885;798.712341;173.982132;697.585022;1105.224731;324.241241;;;
114;738.945007;1134.805664;479.266510;;;;704.816895;784.615967;168.251663;722.592712;896.799438;201.984375;;;;;;;729.967896;801.913208;173.261536;696.949829;1107.701660;325.045685;;;
115;739.199158;1136.045654;480.396240;;;;702.941406;787.491211;167.959686;721.188293;899.706421;201.884857;;;;;;;728.125061;804.393372;173.451126;696.319153;1109.858887;325.992249;;;
116;739.531372;1137.198242;481.068726;;;;700.750732;790.400269;167.851761;719.629028;902.246216;201.290405;;;;;;;725.864380;807.395691;173.013611;695.697510;1112.098999;326.818512;;;
117;739.769043;1138.453003;481.511658;;;;699.131470;793.247314;167.157089;718.218811;904.740417;201.493896;;;;;;;724.644958;810.218140;172.918488;695.125732;1114.314209;327.633301;;;
118;739.759094;1139.743408;482.160248;;;;697.719116;796.155396;166.773560;716.623291;908.013062;202.065979;;;;;;;722.914124;812.744324;172.163712;694.683777;1116.427734;328.512115;;;
119;739.610474;1140.924683;482.436218;;;;695.505676;799.320862;166.812302;715.056641;910.708130;201.773895;;;;;;;721.024597;815.689392;172.396347;694.191650;1118.608643;329.666656;;;
120;739.746826;1142.093140;483.380615;;;;694.011475;801.884827;166.570557;713.892639;913.352722;201.609543;;;;;;;719.160889;818.781006;172.458481;693.609253;1120.875366;330.626068;;;
121;739.969727;1143.250977;483.986938;;;;692.059570;804.660767;165.841949;712.697510;916.143372;201.233185;;;;;;;717.898499;821.163147;172.209030;693.682068;1123.046509;331.010864;;;
122;740.259888;1144.358398;484.320099;;;;690.599609;807.542786;165.573822;711.112183;918.663635;201.253174;;;;;;;716.516235;823.841431;171.431412;693.787354;1125.284058;331.254150;;;
123;740.549561;1145.399658;484.733185;;;;689.229553;810.444824;165.046539;710.034241;921.489319;201.406464;;;;;;;714.893555;827.107361;170.418060;693.535950;1127.359863;331.737152;;;
124;740.783142;1146.509033;485.189178;;;;687.779114;813.119751;164.376907;708.776123;924.001099;201.066711;;;;;;;713.619751;829.316162;170.079926;692.869873;1129.173950;332.765442;;;
125;740.803223;1147.590454;485.659515;;;;685.988220;815.876831;164.187317;707.715698;926.698425;200.650848;;;;;;;711.700867;832.252686;170.001251;692.452759;1131.243408;333.597931;;;
126;740.937073;1148.622681;486.278107;;;;684.116943;818.438599;163.590195;706.840942;929.155518;200.357468;;;;;;;710.213318;834.504822;169.613052;692.393127;1133.174927;333.958954;;;
127;741.129272;1149.695190;486.878540;;;;682.921692;821.346130;163.315063;705.566284;931.438538;199.971497;;;;;;;708.746948;837.347168;168.478378;692.519348;1135.105957;334.070435;;;
128;741.447937;1150.772827;487.224976;;;;681.689209;823.787781;162.680557;704.525757;934.319824;199.779541;;;;;;;707.908936;839.895447;167.920227;692.413147;1137.046875;334.810425;;;
129;741.615540;1151.690186;487.759003;;;;680.238647;826.425354;161.834930;703.235046;936.154907;199.890930;;;;;;;706.448242;842.312927;167.443832;692.287292;1138.833618;335.669403;;;
130;741.909973;1152.671387;488.182770;;;;678.694580;829.066711;161.508118;702.180664;938.810547;199.288223;;;;;;;705.437744;845.106201;166.971909;692.227478;1140.703003;336.201843;;;
131;742.325806;1153.544678;488.679016;;;;677.861389;831.489197;160.512939;701.165955;941.136658;198.876801;;;;;;;704.036377;846.966187;166.132599;692.158447;1142.238037;336.342010;;;
132;742.535950;1154.473755;489.167877;;;;676.502930;834.088074;159.746750;700.433960;943.404297;198.721939;;;;;;;702.598572;850.016418;165.415497;692.021729;1143.796021;336.913940;;;
133;742.685547;1155.228394;489.609650;;;;675.567993;836.544678;159.209381;699.338867;945.577087;198.190521;;;;;;;701.330444;851.764099;165.306030;691.790527;1145.350830;337.444550;;;
134;743.011414;1156.108643;489.715790;;;;674.039246;838.932129;158.291321;698.418274;947.959839;197.712433;;;;;;;699.928894;854.450867;164.636475;691.776428;1147.013916;338.178802;;;
135;743.410645;1156.919556;489.978546;;;;672.895142;841.076721;157.593079;697.605835;949.751831;197.698669;;;;;;;698.983398;856.252625;164.319702;691.961914;1148.553345;338.686157;;;
136;743.407410;1157.792725;490.763245;;;;671.666748;843.470642;156.895981;696.902832;952.033081;197.457016;;;;;;;698.027832;858.549194;163.179993;692.332458;1150.108521;338.794617;;;
