;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
30;813.381042;782.297241;80.169106;773.201172;1084.854004;357.795044;771.396118;1020.434631;197.762497;774.451782;677.271179;43.265568;803.522888;687.653931;44.094944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;813.308044;782.301147;80.111618;773.284729;1084.761230;357.734833;771.385559;1020.397156;197.825958;774.437805;677.342224;43.302570;803.061951;687.703979;43.643269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;813.367004;782.305115;80.194382;773.229980;1084.757568;357.785889;771.364380;1020.397766;197.856628;774.439026;677.283020;43.331142;802.613525;687.903809;43.038990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;813.366394;782.285339;80.118744;773.219910;1084.767578;357.780518;771.236694;1020.392334;197.832077;774.404480;677.243896;43.310040;802.408997;688.035889;42.779236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;813.354736;782.286255;80.093552;773.128723;1084.717651;357.879059;771.227051;1020.379395;197.848297;774.507263;677.257446;43.202950;803.587219;687.714722;44.030491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;813.489380;782.442078;80.042679;773.049438;1084.675415;358.007904;771.235352;1020.286560;197.896835;774.476379;677.276978;43.282440;804.287537;687.320923;44.720963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;813.449951;782.450134;79.890892;773.108582;1084.592529;357.976501;771.197144;1020.252625;197.869492;774.550537;677.265015;43.238853;804.521423;687.160583;44.921753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;813.454285;782.278381;79.963203;773.167419;1084.601196;357.978668;771.144714;1020.251770;197.905441;775.170044;677.368835;42.473053;804.300110;687.288757;44.704887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;813.408081;782.249878;80.109955;773.139160;1084.613525;358.033661;771.102051;1020.252380;197.905884;774.760864;677.358704;42.898636;804.143616;687.312195;44.532978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;813.412720;782.335693;80.064720;773.074829;1084.510254;358.125244;771.084473;1020.241455;197.996521;774.508606;677.256897;43.313751;804.158997;687.387695;44.572590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
