;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
40;809.789551;768.438416;87.642120;791.302734;679.658691;56.813854;831.166077;998.608215;337.199036;763.168274;673.717590;49.712311;796.245056;966.161438;198.310120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;809.656006;768.796875;88.121132;791.393250;680.296997;57.561638;830.865662;998.957397;337.221832;763.053894;674.093506;50.086784;796.122314;966.653931;198.204742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;809.267639;769.155396;88.590950;791.175049;680.518921;58.876717;830.554260;999.271545;337.140625;762.620117;674.513916;50.876617;795.789185;967.373230;198.032318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;808.942566;769.494690;89.228294;790.669678;680.463806;60.122509;830.280640;999.707520;337.112640;761.937256;674.967957;52.407982;795.257019;968.203125;197.538696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;808.213013;770.025330;90.037064;790.651184;680.648865;61.327255;830.053040;1000.255920;337.172546;761.577393;675.432129;53.609909;794.637878;969.070190;197.578888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;807.507690;770.265381;91.526039;790.172729;681.213562;62.415977;830.003784;1000.767822;336.865295;761.375793;675.876038;54.420254;794.198975;970.025818;197.541443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;807.429871;771.090576;92.178490;789.487244;681.654419;64.095535;829.699768;1001.535522;336.799194;760.971741;676.401489;55.875698;794.001038;970.742981;197.453049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;807.128540;772.094055;93.067795;788.916077;682.117004;65.685425;829.367859;1002.142944;336.605865;760.062012;676.956360;58.735722;793.692444;971.616821;197.459198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;806.746826;772.580872;94.274307;788.954407;682.560425;67.174126;828.794434;1003.026550;336.255310;760.071289;676.912231;60.093491;793.411865;972.775085;197.725861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;807.003906;772.830383;96.515190;788.165649;683.266296;69.797615;828.284485;1003.755188;336.007813;760.317688;677.406677;61.212898;792.950806;973.880798;198.059860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
