PTP209
Date:,2025/04/08
Time:,13:36:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
244,79.817429,338.582336,120.765259,,,,,,,,,,,,,,,,,,
245,79.810898,338.588409,120.789833,,,,,,,,,,,,,,,,,,
246,79.809151,338.588745,120.794807,2249.851318,153.231796,-141.181381,,,,,,,,,,,,,,,
247,79.815628,338.583191,120.771370,,,,,,,,,,,,,,,,,,
248,79.817383,338.582733,120.766136,,,,,,,,,,,,,,,,,,
249,79.816986,338.582947,120.767418,,,,2249.869873,153.215332,-141.118027,,,,,,,,,,,,
250,79.815880,338.579102,120.762581,,,,,,,,,,,,,,,,,,
251,79.791313,338.588745,120.774048,,,,,,,,,,,,,,,,,,
252,79.711319,338.599854,120.757057,,,,,,,,,,,,,,,,,,
253,79.693626,338.591156,120.754738,,,,,,,,,,,,,,,,,,
254,79.702255,338.583893,120.733383,,,,,,,,,,,,,,,,,,
255,79.627502,338.606384,120.705414,,,,,,,,,,,,,,,,,,
256,79.618309,338.610291,120.704262,,,,,,,2249.826660,153.218033,-141.251663,,,,,,,,,
257,79.598114,338.605072,120.717415,,,,,,,,,,,,,,,,,,
258,79.566757,338.608002,120.621262,,,,,,,,,,,,,,,,,,
259,79.549072,338.687164,120.597168,,,,,,,,,,,,,,,,,,
260,79.554123,338.685333,120.564903,,,,,,,,,,,,,,,,,,
261,79.508133,338.705322,120.499733,,,,,,,,,,,,,,,,,,
262,79.509949,338.763397,120.459793,,,,,,,,,,,,,,,,,,
263,79.512856,338.769073,120.457062,,,,,,,,,,,,,,,,,,
264,79.458649,338.778656,120.424339,,,,,,,,,,,,,,,,,,
265,79.418121,338.784271,120.442276,,,,,,,,,,,,,,,,,,
266,79.443413,338.851868,120.397415,,,,,,,,,,,,,,,,,,
267,79.363152,338.803375,120.385109,,,,,,,,,,,,,,,,,,
268,79.255020,338.809479,120.388893,,,,,,,,,,,,,,,,,,
269,79.253647,338.803955,120.360443,,,,,,,,,,,,,,,,,,
270,79.241447,338.721008,120.354752,,,,,,,,,,,,,,,,,,
271,79.112823,338.644958,120.400642,,,,,,,,,,,,,,,,,,
272,79.085968,338.573822,120.434677,,,,,,,,,,,,,,,,,,
273,79.055344,338.511139,120.519722,,,,,,,,,,,,,,,,,,
274,79.084419,338.488586,120.598740,,,,,,,,,,,,,,,,,,
275,79.077271,338.421356,120.624702,,,,,,,,,,,,,,,,,,
276,79.142929,338.399811,120.690720,,,,,,,,,,,,,,,,,,
277,79.118965,338.399292,120.793205,,,,,,,,,,,,,,,,,,
278,79.081383,338.332245,120.861023,,,,,,,,,,,,,,,,,,
279,79.142044,338.401794,120.935646,,,,,,,,,,,,,,,,,,
280,79.122925,338.449310,121.021774,,,,,,,,,,,,,,,,,,
281,79.150719,338.496368,121.089638,,,,,,,,,,,,,,,,,,
282,79.119812,338.596863,121.143112,,,,,,,,,,,,,,,,,,
283,79.110588,338.766052,121.165016,,,,,,,,,,,,,,,,,,
284,79.106216,339.059357,121.240662,,,,,,,,,,,,,,,,,,
285,79.107887,339.371826,121.221680,,,,,,,,,,,,,,,,,,
286,79.267181,339.814117,121.073540,,,,,,,,,,,,,,,,,,
287,79.434883,340.228210,121.119644,,,,,,,,,,,,,,,,,,
288,79.756531,340.685760,121.123779,,,,,,,,,,,,,,,,,,
289,80.037544,341.309845,121.343994,,,,,,,,,,,,,,,,,,
290,80.830307,342.336884,121.250427,,,,,,,,,,,,,,,,,,
291,81.474174,343.206299,121.368248,,,,,,,,,,,,,,,,,,
292,81.922852,343.902557,121.594040,,,,,,,,,,,,,,,,,,
293,82.377464,345.055542,121.871178,,,,,,,,,,,,,,,,,,
294,83.275108,346.268433,122.005524,,,,,,,,,,,,,,,,,,
295,83.935211,347.657501,122.811028,,,,,,,,,,,,,,,,,,
296,84.989433,349.068787,123.213547,,,,,,,,,,,,,,,,,,
297,86.056458,350.310425,123.654953,,,,,,,,,,,,,,,,,,
298,87.220314,352.254059,124.431473,,,,,,,,,,,,,,,,,,
299,88.346291,354.036713,125.791954,,,,,,,,,,,,,,,,,,
300,89.818359,355.856415,126.287842,,,,,,,,,,,,,,,,,,
301,91.365517,358.271057,127.479126,,,,,,,,,,,,,,,,,,
302,92.789268,360.569092,128.576202,,,,,,,,,,,,,,,,,,
303,94.719154,362.915558,129.609711,,,,,,,,,,2249.876709,153.217285,-141.106827,,,,,,
304,96.647987,365.409760,130.973770,,,,,,,,,,,,,,,,,,
305,98.482475,368.089020,131.816360,,,,,,,,,,,,,,,,,,
306,100.843773,370.901459,133.165436,,,,,,,,,,,,,2249.881592,153.267426,-141.188919,,,
307,102.837479,374.106873,134.639648,,,,,,,,,,,,,,,,,,
308,104.822044,377.477509,135.625702,,,,,,,,,,,,,,,,,,
309,107.215805,380.926392,136.983139,,,,,,,,,,,,,,,,,,
310,109.645447,384.840332,138.084824,,,,,,,,,,,,,,,,,,
311,111.822594,388.444122,139.403915,,,,,,,,,,,,,,,,,,
312,114.087929,392.288818,140.926132,,,,,,,,,,,,,,,,,,
313,116.672546,396.530121,142.292099,,,,,,,,,,,,,,,,2249.843262,153.208344,-141.179413

