PTP210
Date:,2025/04/08
Time:,13:36:24
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
115,83.596397,338.707855,123.998520,,,,,,,2249.869141,153.203354,-141.111008,,,,,,,,,,,,,,,,,,,,,
116,83.388359,338.255951,123.428917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,82.949135,337.730255,122.902504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,82.463913,337.107086,122.416443,,,,,,,,,,2249.899902,153.653748,-141.189911,,,,,,,,,,,,,,,,,,
119,81.940147,336.667908,122.160767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,81.309601,336.279114,122.143982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,80.924454,335.997772,121.986031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,80.828110,335.674683,121.562256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,80.749329,335.338928,121.245575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,80.683235,335.079193,121.062576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,80.452324,334.825684,121.101120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,80.365578,334.517090,121.111137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,80.339958,334.236725,120.920326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,80.350380,334.000153,120.901550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,80.372444,333.780640,120.932358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,80.376251,333.551575,121.039879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,80.336357,333.417175,121.103210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,80.369576,333.269714,121.126152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,80.383804,333.209778,121.145226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,80.344025,333.146301,121.240875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,80.320267,333.137787,121.289146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,80.222092,333.080688,121.400551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,80.147133,333.061646,121.361038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,80.095757,333.080994,121.407600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,79.990509,333.078217,121.436554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
