Weight33
Date:,2025/04/22
Time:,16:07:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
34,883.087036,725.311890,136.446045,841.614136,633.304321,113.676453,1063.324341,853.065063,532.243347,,,,,,,,,,,,,755.090271,693.601807,112.225899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,882.903870,725.200562,136.225006,841.094971,633.582581,113.364410,1062.707886,852.967712,532.059631,,,,,,,,,,,,,755.124329,693.406860,112.206451,1031.496704,811.497681,328.835327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,882.777100,725.013123,136.280106,840.639709,633.713379,113.168022,1062.231812,852.940491,531.893066,,,,,,,,,,,,,755.366211,693.298584,112.121964,1030.835815,811.509399,329.042908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,882.515137,725.030029,136.179047,840.523560,633.802002,112.778000,1061.626709,852.999451,531.829346,,,,,,,,,,,,,755.752075,693.101929,111.727806,1030.505981,811.442566,328.449829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,882.598083,724.878967,135.946762,840.727112,633.457397,112.674187,1061.652588,852.874573,531.685913,,,,,,,,,,,,,756.130615,692.940002,111.533508,1030.560059,811.204590,327.941162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,882.649963,724.837830,135.768112,840.627136,633.303284,112.633987,1061.548218,852.785583,531.465881,,,,,,,,,,,,,756.416504,692.726135,111.500809,1030.446411,811.035217,327.611115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,882.660706,724.671143,135.562393,840.440125,633.393677,112.471825,1061.499268,852.630310,531.426941,,,,,,,,,,,,,756.629578,692.468506,111.326088,1030.286865,810.847107,327.410431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,882.664612,724.587952,135.452423,840.351685,633.291077,112.392120,1061.352783,852.608032,531.317810,,,,,,,,,,,,,756.789063,692.241943,111.272095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,882.635132,724.527893,135.354797,840.205261,633.379395,112.299889,1061.182129,852.517578,531.196594,,,,,,,,,,,,,757.070679,692.000183,111.073952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,882.589661,724.511414,135.251205,840.053040,633.422058,112.216293,1061.180786,852.487732,531.069092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
