Weight28
Date:,2025/04/22
Time:,15:43:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,885.027344,720.521484,114.497520,833.336731,631.625061,97.275475,1112.314575,863.270081,408.218628,765.187317,692.111145,105.255890,1060.603271,862.964600,241.903732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,884.998169,720.528442,114.433876,833.324158,631.688538,97.379288,1112.192993,863.401978,408.035126,765.499756,692.014587,105.120834,1060.709229,862.943604,241.830750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,884.985962,720.532959,114.406372,833.329346,631.661316,97.303528,1112.197998,863.415466,407.922028,765.373840,692.073486,105.081253,1060.626953,863.016602,241.815338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,885.039307,720.522888,114.459801,833.339539,631.652832,97.264290,1112.208496,863.543579,407.663910,765.306763,692.095520,105.217720,1060.674072,862.993713,241.784439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,885.117126,720.491821,114.371254,833.370300,631.692444,97.365982,1112.159058,863.660522,407.460693,765.147583,692.117859,105.317741,1060.784912,862.998291,241.686035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,885.177307,720.515991,114.414703,833.332336,631.674744,97.371048,1112.193237,863.728149,407.279724,765.224365,692.117126,105.343826,1060.770386,863.055908,241.612183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,885.119263,720.548035,114.483368,833.331360,631.655884,97.323105,1112.316162,863.702942,407.249908,765.226868,692.127625,105.374062,1060.762573,863.019714,241.546890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,885.131836,720.481567,114.334549,833.348389,631.631470,97.434387,1112.360718,863.742432,407.147003,765.302002,692.108826,105.278313,1060.728516,863.012085,241.435684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,885.257202,720.466370,114.263130,833.348083,631.664185,97.432869,1112.369507,863.798706,406.914703,765.315796,692.090942,105.235649,1060.699463,863.005859,241.317535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,885.257568,720.497437,114.393936,833.372498,631.700623,97.434776,1112.485107,863.875183,406.880585,765.321838,692.196228,105.256325,1060.707886,863.103088,241.281189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,885.210632,720.561401,114.521614,833.380066,631.709167,97.431686,1112.400635,863.968201,406.673218,765.273987,692.230591,105.318863,1060.790405,863.346252,241.054581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,885.143921,720.483093,114.335602,833.309998,631.634399,97.463905,1112.539063,864.017761,406.653870,765.247559,692.227905,105.352089,1060.795776,863.359131,240.811127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,885.234070,720.491028,114.328224,833.289795,631.659729,97.471764,1112.455933,864.053772,406.479858,765.239990,692.223328,105.357147,1060.789917,863.433960,240.767014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,885.318298,720.380371,114.198051,833.295532,631.687622,97.459824,1112.416504,864.103027,406.421356,765.274109,692.219849,105.373833,1060.765625,863.382874,240.644409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
