Weight21
Date:,2025/04/16
Time:,14:28:59
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
82,592.473511,643.507690,150.691238,662.633118,718.594910,149.429153,540.818848,709.381104,163.508194,,,,,,,,,,,,,,,,,,,1001.090881,819.490417,359.369476,,,,895.213745,829.402039,217.005539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,588.823486,643.817627,149.544098,659.574707,718.652344,148.468079,537.457214,709.750000,162.491287,,,,,,,,,,,,,,,,,,,999.255676,818.810669,358.775299,,,,892.096680,828.997131,216.903702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,585.257813,644.145813,148.908417,655.915771,718.529419,148.098236,533.996643,710.275208,161.930008,,,,,,,,,,,,,,,,,,,996.348999,818.412659,358.155609,,,,888.888916,828.126099,217.310257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,581.774841,644.512390,148.187515,652.930664,718.826111,147.026779,530.612366,710.806763,160.917191,,,,,,,,,,,,,,,,,,,994.179443,817.618713,357.956757,,,,885.859863,827.522766,217.340012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,578.163513,644.718140,147.039703,649.764465,718.582886,146.363586,527.184265,711.179199,160.458786,,,,,,,,,,,,,,,,,,,991.831543,816.860718,357.024139,,,,883.321411,827.109802,217.162598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,574.872925,645.086060,146.151871,646.606750,718.809204,145.589233,524.102539,711.534729,159.124237,,,,,,,,,,,,,,,,,,,989.240967,816.218079,357.300323,,,,879.453003,826.605835,217.076904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,571.372864,645.396973,145.261169,643.359741,719.193054,144.382080,520.912170,712.031128,158.626740,,,,,,,,,,,,,,,,,,,986.417786,815.562744,356.662323,,,,876.941956,825.512451,217.717728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,568.065796,645.580872,143.986969,639.965942,719.184387,144.482697,517.659851,712.354858,158.026855,,,,,,,,,,,,,,,,,,,984.301819,815.397949,356.314758,,,,873.732788,825.028015,217.514984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,564.828979,645.798401,143.204788,637.084167,719.546082,143.274826,514.825806,712.716248,156.472931,,,,,,,,,,,,,,,,,,,981.716980,814.838684,355.712982,,,,871.350098,824.199463,217.508408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,561.745789,646.127625,142.504288,634.246887,719.563843,142.662140,511.400085,713.085144,155.954086,,,,,,,,,,,,,,,,,,,979.798706,813.882690,355.260193,,,,867.807312,824.226074,217.402954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,558.732788,646.435303,141.922729,631.138794,719.793274,142.366653,508.643951,713.375977,155.101563,,,,,,,,,,,,,,,,,,,976.848816,813.298828,355.203339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
