Weight16
Date:,2025/04/16
Time:,14:18:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
50,839.070251,706.661499,143.719635,771.947510,633.469055,122.192726,,,,1048.715088,863.182556,285.579926,,,,,,,714.857483,700.415283,124.353699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,836.370056,706.428162,144.252151,769.233032,633.535706,122.592979,,,,1046.745483,862.992249,285.514465,,,,,,,711.906189,700.592834,124.544228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,833.068176,706.562195,144.279541,765.997986,633.625122,123.244995,,,,1043.691040,862.902649,285.415588,,,,,,,708.705566,700.683228,125.035660,,,,,,,1050.339722,841.556335,423.402161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,830.458069,706.380005,144.928696,763.204712,634.050415,123.326149,,,,1041.506714,862.614807,285.281433,,,,,,,705.739563,700.897888,125.995598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,826.530151,707.147827,145.395340,759.600952,634.013123,124.127060,,,,1038.571777,862.584167,285.433014,,,,,,,701.972473,700.947754,126.914429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,823.460938,707.025940,145.520035,756.452026,634.056030,124.617844,,,,1036.282837,862.369385,285.453369,,,,,,,698.924316,701.131165,127.103806,,,,,,,,,,1045.016846,840.805420,423.484924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,820.300171,707.344788,145.552841,753.091309,634.122192,125.040421,,,,1033.243164,862.186218,285.620544,,,,,,,695.688965,701.085083,127.990723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,816.901184,707.545349,145.767960,749.346313,634.160950,125.913094,,,,1031.036377,862.055969,285.535522,,,,,,,691.812073,701.072937,128.684555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,814.046814,707.332642,146.121521,746.075562,634.452209,125.903824,,,,1027.947144,861.631714,285.847748,,,,,,,688.398071,701.244568,129.175735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,809.704956,707.981445,146.465347,742.578247,634.494568,126.229324,,,,1025.257568,861.310547,285.931000,,,,,,,685.227051,701.202087,129.770554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
