Weight11
Date:,2025/04/16
Time:,10:33:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
50,872.857727,667.787964,151.756226,800.731567,610.072144,107.232178,756.715759,634.714844,120.449905,1064.320313,789.406616,373.055298,,,,1043.079590,823.328491,248.180191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,872.848511,667.817261,151.798141,800.397217,609.636353,107.080818,756.772400,634.825745,120.331978,1064.270508,789.591064,373.428864,,,,1042.864624,823.213928,249.130997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,872.866455,667.785828,151.869675,800.299805,610.294189,106.571632,756.770081,634.956482,120.257294,1064.263672,789.737549,373.752533,,,,1042.406616,823.455139,249.520035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,872.880493,667.862183,151.858170,800.030396,611.437317,105.646034,756.887512,635.154785,120.088730,1063.263794,790.299500,374.189514,,,,1041.798828,823.942688,249.783920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,872.864502,667.902283,151.792831,799.912170,612.596375,104.971581,756.984863,635.395752,119.849785,1062.652100,790.725281,374.741333,,,,1041.084961,824.563660,250.121582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,872.824707,667.831848,151.847137,800.323853,614.425415,104.752296,757.133057,635.632935,119.567787,1062.273682,791.017395,375.179840,,,,1040.742432,825.148254,250.548447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,872.693542,667.787537,151.939743,799.434753,614.649658,104.351501,757.288208,635.877563,119.314896,1061.937622,791.252808,375.449982,,,,1040.317993,825.651855,250.728897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,872.561890,667.671082,152.037003,798.150146,614.917847,104.351509,757.385376,636.203613,119.063583,1061.659058,791.491638,375.770111,,,,1040.374023,825.851196,250.704941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,872.479004,667.639282,152.095871,797.573181,616.531982,104.223389,757.525452,636.550049,118.748352,1061.509888,791.582092,375.850952,,,,1040.497437,826.066040,250.570526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,872.370911,667.567688,152.191101,797.573669,618.254456,104.065804,757.671997,636.719177,118.391388,1061.046021,791.559082,376.206055,,,,1040.826660,826.424133,251.261047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,872.220154,667.420410,152.237000,796.837158,618.420776,103.643135,757.871155,636.910461,118.017700,1060.561401,791.513489,376.653412,,,,1040.585449,826.500366,251.910233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,872.039795,667.297302,152.326385,796.133545,618.515625,103.651680,758.056885,637.242432,117.583916,1060.038574,791.623779,376.667236,,,,1038.822632,827.187561,252.761398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,871.940002,667.297485,152.463593,795.868530,618.551208,103.773026,758.238953,637.422852,117.152054,1059.994629,791.577942,376.947723,,,,1037.567993,827.659058,253.418442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,871.828430,667.220276,152.599808,795.851563,618.317261,103.892921,758.639648,637.498901,116.755951,1059.913330,791.558289,376.981842,,,,1036.604248,827.975464,253.799774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,871.514832,667.109253,152.776901,795.714600,618.212341,104.027672,759.053589,637.566162,116.322342,1059.859375,791.498779,377.057831,,,,1036.134644,828.197998,254.140167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,871.233032,666.981384,152.897949,795.348022,618.328186,104.106468,759.408936,637.626953,115.576736,1059.744019,791.432434,377.126953,,,,1036.310547,828.102844,254.525253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,871.098694,666.846069,152.990540,795.002441,618.599915,104.183838,,,,1059.510620,791.448059,377.165924,,,,1036.738159,827.949463,254.427185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,870.883911,666.753052,152.980804,794.754944,618.725464,104.124924,,,,1058.253906,791.756042,377.841888,,,,1035.839722,828.259216,254.516312,759.848022,637.875549,115.218529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,870.686829,666.762268,152.960724,794.549866,618.726379,104.175972,,,,1056.988525,791.914001,378.390900,,,,1034.777954,828.518860,254.956604,760.216064,637.995117,115.414665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,870.584900,666.666565,152.890091,794.138245,618.808105,105.032860,,,,1056.224243,791.753235,378.674866,,,,1033.076782,829.065735,255.540192,760.456726,638.116760,115.247055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,870.438599,666.660522,152.851593,794.158569,618.638672,104.739876,,,,1055.536499,791.628174,378.931702,,,,1031.818604,829.576172,256.106964,760.941650,638.276733,114.682983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,870.337219,666.679016,152.745682,794.120667,618.684570,104.607803,,,,1054.963379,791.469971,379.117096,,,,1031.273804,829.808472,256.288239,761.479370,638.436829,114.304306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,870.238403,666.690308,152.610336,793.985474,618.730042,104.578445,,,,1054.659912,791.275940,379.232697,,,,1031.317017,829.839478,256.130493,761.859863,638.651184,114.078690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,870.174438,666.707703,152.466064,793.835266,618.661255,104.685448,,,,1054.626709,791.250000,379.266144,,,,1031.255737,829.887634,256.076508,762.145447,638.791443,114.041420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,870.152222,666.821899,152.225555,793.635681,618.571167,104.789421,,,,1054.347412,791.256042,379.186096,,,,1031.405151,829.645935,256.321533,762.354004,638.903931,114.163345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,870.236206,666.798706,151.712067,793.699463,618.918762,105.259506,,,,1053.793701,791.327087,379.303864,,,,1030.704346,829.846680,256.780212,762.721497,638.923340,114.426613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,870.212952,666.851746,150.990570,793.460205,618.648743,105.073662,,,,1053.153076,791.193298,379.556122,,,,1029.371582,830.191650,257.365082,762.951050,639.074341,114.481194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,870.189575,667.001953,150.676941,793.381409,618.559143,105.011002,,,,1051.780640,791.220764,380.184082,,,,1027.894165,830.585083,258.031830,763.066406,639.206238,114.311722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,870.133606,667.049438,150.569733,793.281799,618.421814,105.139908,,,,1050.791138,791.273071,380.674744,,,,1027.011841,830.806641,258.389801,763.268127,639.425476,114.297501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,870.286194,667.175903,150.193878,793.301147,618.483643,105.196152,,,,1050.268066,791.244568,380.698853,,,,1027.111572,830.680969,258.249054,763.488770,639.644165,114.272263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,870.301025,667.265564,149.877304,793.230530,618.489624,105.201950,,,,1049.936157,791.209229,380.865875,,,,1027.727417,830.555847,257.923248,763.634399,639.760498,114.116699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,870.221558,667.300537,149.735397,793.141785,618.491638,105.290710,,,,1049.635010,791.199158,380.930603,,,,1027.794189,830.713074,257.926361,763.831787,639.773010,114.154747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,870.071167,667.289246,149.690170,793.119446,618.517090,105.297249,,,,1049.244873,791.130676,381.144653,,,,1027.126221,831.077576,258.241943,763.993591,639.835938,114.280914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,870.036011,667.359985,149.777466,793.057617,618.494202,105.353760,,,,1048.636597,791.165710,381.301697,,,,1025.537720,831.736450,258.976593,764.094910,639.830505,114.258286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,870.029602,667.385864,149.689026,793.027649,618.534485,105.435417,,,,1047.914673,790.984192,381.621765,,,,1024.180420,832.184875,259.446869,764.305237,639.905518,114.258080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,870.056030,667.409363,149.694199,792.916687,618.484253,105.398491,,,,1047.167480,790.837280,381.832733,,,,1023.151428,832.499451,259.755554,764.458374,640.036072,114.301804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,869.929077,667.408630,149.711075,792.785278,618.449951,105.494301,,,,1046.792114,790.764709,381.858307,,,,1022.552124,832.674927,259.951965,764.684204,640.119934,114.214119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,869.879761,667.298096,149.755234,792.759827,618.591980,105.551422,,,,1045.910278,790.784973,382.088226,,,,1022.241089,832.724426,260.078186,764.787598,640.237488,114.393089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
