Weight66
Date:,2025/04/23
Time:,11:19:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
57,676.373108,730.180176,169.427460,,,,636.553223,642.096619,129.846405,923.025391,878.129944,500.248962,902.654114,911.830139,346.934082,,,,,,,,,,561.782532,693.330078,134.153809,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,670.894897,730.414856,168.613876,,,,631.232117,642.610107,128.295044,920.614319,877.455994,499.323517,898.868042,910.173218,346.438080,,,,,,,,,,555.824036,694.114014,133.422546,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,665.472534,730.454407,168.291458,,,,624.621338,643.418091,127.620911,917.675842,876.411621,498.419830,895.259338,908.845703,345.353394,,,,,,,,,,550.158875,694.861328,132.915344,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,660.036438,730.581909,167.340805,,,,618.738159,643.847839,126.780403,915.860229,875.323792,497.466248,891.280212,907.083984,344.657806,,,,,,,,,,544.790466,695.577820,132.018158,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,654.998474,730.702209,166.722763,,,,612.967529,643.957886,125.985504,913.829651,874.544128,496.561310,887.437439,905.542114,343.375122,,,,,,,,,,539.393677,696.329102,131.354996,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,649.784424,730.618896,166.164047,,,,607.451538,644.281860,124.952263,911.355896,873.613586,495.310425,884.026611,903.849976,342.647949,,,,,,,,,,533.817139,696.991272,130.457977,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,644.735474,730.787537,165.287018,,,,601.735291,644.923523,123.997833,909.194641,872.595886,494.417542,880.313232,902.331848,342.110199,,,,,,,,,,528.354492,697.676636,129.929688,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,639.673401,730.628418,164.625107,,,,596.571167,644.981934,123.070465,907.274841,871.544250,493.828339,877.129333,900.671692,341.279938,,,,,,,,,,523.192505,698.104736,129.116241,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,634.805786,730.702881,163.412537,,,,591.476013,645.278687,122.334244,904.566772,870.655273,493.043060,873.493347,898.888794,340.512756,,,,,,,,,,518.506165,698.667542,128.206848,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,629.925171,731.029419,163.183411,,,,586.231140,645.911133,121.165863,902.535034,869.798157,491.981873,870.355835,897.326538,339.321289,,,,,,,,,,513.916260,699.082581,127.580345,,,,,,,,,,,,,,,,,,,,,,,,,,,
