Weight60
Date:,2025/04/23
Time:,12:59:40
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
37,763.561829,678.395508,109.631737,824.820984,620.158325,114.530434,,,,1080.855957,818.832703,206.225067,1097.469971,802.048523,296.824799,877.129944,699.487976,100.107994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,763.311035,678.339111,109.746689,824.682434,619.033997,115.796684,,,,1080.874756,819.190186,206.422394,1097.253662,802.377686,297.009460,877.329529,699.519897,100.694115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,763.125183,678.295593,110.007713,824.471985,618.778198,116.505150,,,,1080.978760,819.597778,206.535522,1096.985107,802.682556,297.049133,877.023804,699.612061,101.171944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,762.881104,678.347717,110.695076,824.225830,619.094116,117.047302,,,,1081.055298,820.094482,206.588074,1096.783447,802.937134,297.189880,876.668518,699.847961,102.078331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,762.589722,678.481934,111.605110,824.024292,619.701416,117.840797,,,,1081.056152,820.666138,206.688080,1096.505005,803.243530,297.196777,876.312683,700.096558,103.309700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,762.223694,678.618347,112.639664,824.404114,620.264404,119.018951,,,,1081.190552,821.344055,206.839706,1096.236084,803.469971,297.251526,876.339966,700.222229,104.102844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,762.216125,678.748474,113.481934,824.304932,620.326172,120.591919,,,,1081.274170,821.990601,207.025711,1095.911987,803.674133,297.372253,876.117310,700.335449,105.147949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,762.145691,678.841492,114.237251,823.865906,620.358521,122.648598,,,,1081.348511,822.458679,207.170013,1095.602905,803.885315,297.403137,875.682190,700.763794,106.643616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,762.111816,678.820007,115.208000,823.813477,620.752991,124.202347,,,,1081.266602,822.814453,207.419357,1095.169678,804.248718,297.399292,875.433472,701.125488,107.772957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,761.762573,679.125427,116.339081,823.661621,621.749695,125.907089,,,,1081.294800,823.165466,207.642166,1094.684204,804.599670,297.511841,875.373596,701.355591,108.462563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,761.399536,679.456055,117.720627,823.776855,622.459900,128.480301,,,,1081.451172,823.609619,207.811310,1094.309204,804.945801,297.603607,875.083252,701.503174,109.770706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,760.991821,679.770996,119.574951,823.692871,622.050415,131.015244,,,,1081.443237,824.255676,208.103241,1093.997192,805.321777,297.751617,874.669250,701.996521,112.364723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,760.696655,680.012146,121.607292,823.476379,622.542480,133.856552,,,,1081.414307,824.956787,208.439896,1093.751343,805.617920,297.855988,874.358948,702.298035,113.985550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,760.577698,680.283142,123.513985,822.786682,623.129150,136.208817,,,,1081.302124,825.616272,208.819550,1093.716431,805.853333,297.910522,874.030334,702.669495,114.857849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,760.465088,680.405884,125.394180,822.563049,623.424377,139.040649,,,,1081.351074,826.126709,209.127670,1093.604980,806.099915,297.939850,873.783630,703.177124,117.039337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,760.129028,680.606201,127.919426,822.211914,623.894592,141.885864,,,,1081.347534,826.522949,209.427475,1093.289917,806.508484,298.287262,873.157654,703.521179,119.163567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,759.899658,680.726379,130.016907,821.763123,623.933167,144.508743,,,,1081.355957,826.824097,209.757263,1092.894653,806.735596,298.547333,872.473938,703.991943,120.485268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,759.060059,680.778503,132.833328,821.243530,624.577881,147.412643,,,,1081.234009,827.162720,210.101074,1092.501099,807.032166,298.849884,872.286987,704.110352,122.584946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,757.984802,680.679443,135.422882,820.928284,624.752930,149.577759,,,,1081.043091,827.476074,210.369797,1092.054565,807.200439,299.154633,871.656189,704.224731,124.988152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,757.043701,680.667480,138.486816,820.574829,625.258789,152.985092,,,,1081.032227,827.875916,210.720123,1091.533813,807.498413,299.498840,870.734009,704.486328,127.194748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,756.142395,680.782104,140.907578,819.613098,625.501770,155.174469,,,,1080.735596,828.323486,211.003128,1091.161865,807.774475,299.649689,869.753845,704.332092,129.911850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,755.342957,680.780762,144.350281,818.372192,625.276611,158.269272,,,,1080.341431,828.868958,211.276764,1090.814697,808.020630,299.727448,868.421265,704.622070,132.131378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,754.458923,680.588989,147.355560,817.728394,625.341614,161.572662,,,,1079.799194,829.304199,212.183029,1090.473267,808.250000,299.760315,867.289368,705.055481,133.877090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,752.965759,680.517090,150.297272,816.850830,625.245911,163.874634,,,,1079.307861,829.721130,212.733765,1089.836670,808.488098,300.152283,866.013550,705.055420,136.792038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,752.023254,680.465393,153.148697,815.684814,625.695862,166.608200,,,,1078.734375,830.007629,212.960358,1088.990601,808.830566,300.464386,864.201416,705.170654,138.680008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,750.372009,680.381409,156.442657,814.752136,625.736938,169.273239,,,,1078.032104,830.295959,213.159409,1087.979248,809.030334,300.873047,863.113708,705.588989,141.698883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,748.587708,680.257629,159.872772,813.060547,625.586487,172.420029,,,,1076.922729,830.410645,213.897049,1087.224609,809.211182,301.203278,861.755432,705.959045,144.541504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,746.951477,680.128479,162.806549,811.997437,625.271545,174.484680,,,,1075.961670,830.670288,214.325256,1086.891846,809.296082,301.307861,859.052368,706.354492,146.601105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,744.990173,680.094788,166.006287,810.215088,625.693604,177.144104,,,,1074.779907,830.865295,214.899521,1086.100098,809.529541,301.773895,857.416870,706.615051,149.797501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,743.347351,679.906860,169.082489,808.178528,625.705261,179.297897,,,,1073.518921,831.086853,215.444565,1084.784424,809.758972,302.387756,855.985718,706.861206,152.048187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,741.391846,679.992126,172.360001,806.466187,626.606812,181.703934,,,,1072.011719,831.662842,215.769363,1083.567871,809.852295,302.491486,853.691223,707.269836,153.839584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,739.430359,679.722412,175.158066,805.403748,626.299561,184.659424,,,,1070.226440,831.904968,216.033386,1082.242310,809.970032,302.530426,851.584595,707.534424,156.627213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,737.220947,679.860840,178.282486,803.354675,625.937012,187.458725,,,,1068.169800,832.211670,216.689407,1080.566895,810.341248,303.000122,847.949585,708.363098,158.914963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,735.046448,679.681335,180.927032,801.050842,626.382385,189.414429,,,,1066.405640,832.725220,217.016312,1079.393555,810.353943,303.367676,846.134094,708.458618,160.965637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,732.346802,679.861023,184.002411,,,,,,,1064.052490,833.057129,217.802658,1078.005249,810.539490,303.962891,842.850342,708.843323,162.218613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,730.050720,679.772400,186.698135,,,,,,,1061.751587,833.397644,217.936722,1076.107910,810.728577,304.766785,840.789734,708.677307,164.808105,795.847717,629.051880,192.743698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
