Weight60
Date:,2025/04/23
Time:,14:07:00
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
60,629.356995,730.916992,204.299500,571.784302,643.171143,209.485916,509.783173,701.808228,208.247513,976.529053,853.192871,390.971802,873.102905,866.343994,274.942871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,625.865662,731.078308,204.196640,567.889160,643.465942,208.458740,505.951965,702.422729,207.574524,973.625000,852.444336,391.275177,870.109375,865.158081,275.087402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,622.872375,731.188049,202.663681,563.883911,643.789001,207.919464,502.613342,703.195496,206.740082,971.424622,851.972656,391.472076,866.743469,864.701355,275.295502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,618.776917,731.076355,202.578308,560.269165,644.157898,207.214630,499.144073,703.645813,206.378128,968.871460,851.492676,391.192169,864.212830,863.657410,275.759430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,615.832458,730.752808,202.547546,556.363525,644.331299,206.350769,495.813965,704.194885,205.361725,966.490112,851.414246,391.196472,861.359741,862.737427,276.141663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,612.213867,731.246460,201.785095,552.734863,644.765137,205.691223,492.716003,704.631165,204.298584,964.440430,850.995728,390.712494,857.911011,862.383179,276.166809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,609.373962,730.653503,200.985413,549.424622,645.027283,204.771439,489.358337,705.088501,203.448898,961.859192,850.394287,390.513336,854.905151,861.591980,277.389923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,606.043213,730.459900,200.349426,546.022461,645.149841,203.539902,486.422211,705.716858,202.639862,958.916199,850.578735,390.583954,852.426331,860.582886,276.954346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,603.281067,730.477966,199.697601,542.837830,645.412170,202.600174,483.294800,706.150452,202.031067,957.028564,849.300537,390.163422,849.620483,860.241699,277.233002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,600.259338,730.568359,198.698410,539.488770,645.714355,201.801682,480.158905,706.641968,201.174362,954.795471,848.718628,389.564850,846.945374,859.618469,276.913116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,597.807007,730.159973,197.546051,536.515991,645.879333,200.582672,477.314331,707.112732,199.856094,952.635254,848.197205,389.283813,844.459778,858.884155,276.776642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,594.559265,730.482544,197.338181,533.191772,646.034363,199.779709,474.204102,707.375549,199.236557,950.639282,847.992737,388.909454,842.629822,857.945801,276.491577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,592.348328,730.365784,196.062637,530.322998,646.134949,198.776047,471.499573,707.775452,197.918747,948.145325,847.830200,388.598694,839.820190,857.279175,276.380402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
