Weight63
Date:,2025/04/24
Time:,15:55:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
49,892.700867,688.043701,111.539856,1074.570923,755.434937,358.136505,820.291016,615.240356,112.259071,1045.138306,787.498657,198.543640,768.517639,688.823059,118.948662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,892.542664,688.138672,111.695526,1074.242310,755.601563,358.248596,820.245178,615.279968,112.457520,1044.960815,787.810669,198.736542,768.469299,688.949402,118.993309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,892.538574,688.278809,111.864624,1073.859009,755.759338,358.367645,820.182373,615.363708,112.567635,1044.624023,788.246338,199.080322,768.424622,689.091736,119.146622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,892.481567,688.455261,112.152649,1073.539063,755.990906,358.512543,820.024048,615.631287,113.227303,1044.526611,788.448303,199.328201,768.326111,689.282471,119.177765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,892.371399,688.721191,112.690941,1073.107666,756.086609,358.555908,819.890808,615.874329,113.666977,1044.759644,788.771301,199.728943,768.267822,689.498779,119.228592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,892.194031,689.028442,113.267525,1072.850098,756.137878,358.605103,819.949646,616.212708,114.149643,1044.523804,788.992615,199.984772,768.193359,689.725037,119.315216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,891.907410,689.435730,113.837296,1072.684570,756.246826,358.704163,820.066101,617.195251,114.640930,1044.450928,789.192200,200.178101,768.159302,689.933655,119.425148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,891.484436,689.890503,114.127502,1072.615479,756.312134,358.935059,819.582581,618.732788,114.532845,1044.308105,789.630920,200.373917,767.997437,690.227844,119.533882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,891.283264,690.334534,114.489571,1072.377686,756.527161,359.026794,819.391052,618.141602,115.260727,1044.247070,790.045654,200.593842,767.864197,690.521790,119.738220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,891.031372,690.740845,114.794113,1071.997803,756.851135,359.260437,819.216370,617.786316,116.416145,1044.253662,790.333618,200.828262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
