Weight54
Date:,2025/04/23
Time:,10:07:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
56,884.626831,694.942139,139.360138,763.264709,684.735413,105.278854,826.126038,621.185425,91.274254,,,,1116.693481,869.559631,276.081421,1144.925415,854.034851,465.241150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,884.526184,695.108765,140.128525,763.232239,684.515686,106.961548,826.204102,621.311523,92.127304,,,,1116.585815,869.707214,276.065826,1144.161255,853.826660,465.401825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,884.369812,695.138733,140.872238,763.193176,684.498962,108.140343,826.474731,620.830444,93.708954,,,,1116.580322,869.997192,276.108368,1143.439209,853.684631,465.341644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,884.323547,695.230164,141.275024,763.099426,684.486328,109.013145,825.576294,620.932739,95.608833,,,,1116.584961,870.156067,276.112305,1142.522583,853.714844,465.219513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,884.298157,695.355225,141.810471,762.961609,684.656372,110.398582,825.369202,621.085449,96.810921,,,,1116.373779,870.395020,276.130341,1141.842896,853.642944,465.063934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,884.213013,695.622009,142.708542,762.569946,684.589661,112.385551,825.243286,621.305908,97.568756,,,,1116.345703,870.691772,276.162354,1141.311035,853.539795,464.811646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,884.096680,695.802979,143.724777,762.099915,684.518555,113.930321,824.933105,621.828796,98.874649,,,,1116.482422,871.006897,276.009430,1140.760620,853.416809,464.753845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,883.924194,695.823059,144.848831,762.139648,684.785461,115.039139,824.495422,622.153015,100.562187,,,,1116.350952,871.407532,275.998566,1139.925049,853.305664,464.827850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,883.348267,695.845947,146.108322,761.752197,684.901794,116.478676,824.569336,621.997009,101.869095,,,,1116.050903,871.851990,275.674957,1139.228638,853.072083,464.946625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,882.908691,695.936829,147.355820,761.144287,685.027283,117.858490,824.149231,622.073486,103.344475,,,,1115.906860,872.271973,275.523651,1138.678955,852.909912,464.950684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
