Weight64
Date:,2025/04/26
Time:,15:58:50
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
59,703.668762,713.849487,157.297546,935.957886,732.040222,306.949127,588.220032,706.940002,176.622665,918.723328,809.691101,171.906906,,,,642.702209,640.377686,168.079346,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,699.431030,713.998352,157.520874,933.892883,731.637939,307.520813,584.116821,707.437439,176.835205,914.732117,809.461792,172.243698,,,,638.301208,641.015991,168.209930,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,695.398682,713.976501,157.824509,931.898987,731.318176,307.581238,579.625610,708.057556,177.793854,910.943298,808.729919,172.694565,,,,633.679382,641.156250,168.589417,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,691.922363,714.150696,157.742447,928.834045,731.056519,308.056854,575.620483,708.840271,178.259781,907.385132,807.973389,173.052826,,,,629.190247,641.316956,168.962280,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,687.912109,714.249084,158.021973,927.183228,730.246216,307.983429,571.890564,709.637634,177.582260,903.356262,807.464783,173.220978,,,,625.194458,641.684692,168.973648,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,683.518799,714.217163,158.299057,924.457336,729.808289,308.549896,567.942322,710.242737,177.534729,899.812927,806.961853,173.705505,,,,620.913391,642.045715,169.432892,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,679.325256,714.246460,158.392899,922.175110,729.256165,308.731201,563.540222,710.744995,178.104294,896.096741,806.509888,174.170898,,,,616.524048,642.043640,169.771469,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,675.378967,714.311584,158.337265,920.053772,728.653809,309.078857,559.606750,711.243835,178.329941,892.575806,805.630493,174.395477,,,,612.586304,642.358093,169.647873,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,671.762024,714.549744,158.070297,917.439026,728.194641,309.196259,556.023376,711.921082,177.482132,889.059875,804.770874,174.827255,,,,608.514832,642.777039,169.673721,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,668.111450,714.599670,158.425491,915.087219,727.841675,309.989868,552.219666,712.247925,177.411026,885.292053,804.290833,175.140244,,,,604.435059,643.055725,169.701248,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,664.152039,714.389587,158.567459,913.123230,727.116516,309.900604,548.046753,712.591248,178.050095,881.632324,803.778320,175.511810,,,,600.308472,643.441101,169.488480,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,660.229370,714.497070,158.482742,910.308838,726.470703,310.103607,544.441162,712.992554,178.170990,878.476501,803.007690,175.948151,,,,596.243713,643.823914,169.341797,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,656.452332,714.612183,158.146484,908.633911,725.623535,310.413513,541.149475,713.589478,177.416428,875.085693,802.014771,176.142212,,,,592.187073,643.993286,168.948090,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,652.984558,714.566589,157.777176,906.204712,725.109070,310.226746,537.312317,713.883362,177.270737,871.698120,801.280212,176.547867,,,,588.221252,644.271667,168.869843,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,649.585754,714.245300,158.194824,903.802734,724.508789,310.727631,533.471619,714.242432,177.257645,868.023926,800.846924,176.758377,,,,584.390137,644.384338,168.723557,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,645.983337,714.114929,157.991577,901.659851,723.756592,310.829742,530.233765,714.688293,176.661652,864.979492,800.028381,177.153168,,,,580.682861,644.729614,168.655609,,,,,,,,,,,,,,,,,,,,,,,,,,,
