Weight61
Date:,2025/04/23
Time:,14:07:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,801.723511,721.294189,167.595032,687.841675,678.378113,180.159912,756.013733,627.053772,177.097824,1071.607422,859.235657,375.283661,,,,1012.694946,887.130371,238.460083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,798.824707,721.530762,169.907608,683.911987,678.825256,182.884644,752.377014,627.490356,179.198761,1070.113525,859.054260,375.607178,,,,1009.914917,886.936340,239.085983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,795.017212,722.020264,171.639709,680.578369,679.045349,184.596451,748.942993,627.806641,181.003250,1068.068115,858.826599,375.838074,,,,1007.600952,886.966248,240.070587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,791.475708,721.998596,173.356628,677.441406,679.421021,186.210632,745.435547,628.090881,182.403320,1066.477539,858.662659,376.016388,,,,1004.824158,886.605408,240.454910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,787.993652,722.529724,174.562531,673.777954,679.984009,188.132858,741.872742,628.396240,184.189529,1064.620728,858.544556,376.674225,,,,1001.695923,886.595581,241.312531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,783.938049,722.991516,176.038574,669.945129,680.480347,189.978424,737.779541,628.960510,186.168655,1063.063965,858.271790,376.802002,,,,998.917358,886.466614,242.360565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,780.574341,722.955322,177.520264,666.283020,680.908142,191.787384,734.290344,629.269287,187.671494,1061.171753,858.354248,377.144226,,,,995.554565,886.616821,242.624283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,776.962158,723.596130,178.691330,662.971008,681.344360,193.879013,730.482971,629.398193,189.022385,1059.273926,858.247070,377.426392,,,,993.198853,885.725525,243.870987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,773.332947,723.651672,179.582657,659.149231,681.861450,195.650986,727.063782,629.802917,190.316681,1057.524048,858.147644,377.776703,,,,989.689270,885.366394,244.750168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,769.956970,723.720947,181.053635,655.363220,682.242126,197.267670,723.395264,630.177185,191.228607,1055.608276,858.055115,378.409058,,,,987.148682,885.389160,245.151550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
