Grasp121
Date:,2025/04/30
Time:,17:42:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
46,,,,,,,895.409790,635.715820,208.788513,1195.793579,793.588562,480.026672,,,,,,,,,,958.878418,712.795227,187.081390,,,,,,,1169.483765,815.921814,278.846191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,893.604797,637.317627,207.973480,1195.586182,794.048523,479.502045,,,,,,,,,,957.039001,714.859558,186.622925,,,,,,,1168.867432,816.499878,278.551758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,891.601257,638.272156,207.759430,1195.369385,794.497620,479.062683,,,,,,,,,,954.333252,716.678833,186.533646,,,,,,,1168.048218,816.957947,278.085449,827.182739,757.097595,215.930679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,1195.073730,794.898926,478.229584,,,,,,,,,,952.368042,718.264648,185.655609,,,,,,,1166.727539,817.976013,277.941223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,1194.640259,795.185120,477.553162,,,,,,,,,,950.602356,719.524414,185.065384,,,,,,,1164.571899,818.646545,278.058655,,,,890.836914,638.730774,204.085938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,1194.255249,795.532654,476.633636,,,,,,,,,,948.199463,720.584473,184.583740,,,,,,,1163.486572,819.060181,277.277374,,,,889.411255,638.699646,203.228241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,1193.698364,795.888550,476.080048,,,,,,,,,,946.026978,721.310303,184.097046,,,,,,,1162.239014,819.387085,276.375000,,,,888.788452,638.908081,201.473740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,1193.507080,796.102722,475.796326,,,,,,,,,,944.263672,721.723450,183.027481,,,,,,,1160.632324,819.584656,275.522614,,,,887.799194,638.432007,199.910065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,1193.129639,796.335266,475.303741,,,,,,,,,,941.989746,721.972534,182.742111,,,,,,,,,,,,,887.016724,637.524719,197.728287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,1192.313354,796.673706,474.315704,,,,,,,,,,939.117065,720.609619,181.351929,,,,,,,,,,,,,886.254272,636.425354,196.912216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,1191.486572,796.958374,473.364014,,,,,,,,,,937.906433,721.541809,180.896637,,,,,,,,,,,,,885.274719,635.592773,195.231659,807.944458,747.841003,212.208893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,1191.108521,797.171753,472.983093,,,,,,,,,,935.250671,721.766724,180.731140,,,,,,,,,,,,,884.281372,634.230408,192.990372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,1190.828613,797.333374,472.627838,,,,,,,,,,933.646484,721.054321,179.867798,,,,,,,,,,,,,882.893738,632.813965,192.065857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,1190.310059,797.446594,472.008606,,,,,,,,,,930.932129,720.478821,179.514786,,,,,,,,,,,,,881.263123,631.634583,190.982498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,1189.631470,797.534912,471.386383,,,,,,,,,,928.754944,719.897644,178.836899,,,,,,,,,,,,,880.436035,630.627380,189.221954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,1188.580688,797.642151,470.847321,,,,,,,,,,926.683716,719.146423,177.350861,,,,,,,,,,,,,879.621887,629.203979,187.905548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,1187.814209,797.755066,470.510468,,,,,,,,,,924.765869,718.542786,176.451950,,,,,,,,,,,,,878.346436,627.986267,186.820480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,1187.259888,797.743225,470.147308,,,,,,,,,,922.277222,717.713257,175.980759,,,,,,,,,,,,,876.691101,626.727234,185.427338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,1186.245605,797.883972,469.667633,,,,,,,,,,920.125488,717.218689,175.676636,,,,,,,,,,,,,875.332886,625.400696,183.797913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,1185.261597,797.976196,469.185425,,,,,,,,,,917.507385,716.466370,174.597946,,,,,,,,,,,,,874.712708,624.749451,182.652863,,,,787.079224,727.830444,205.254120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,1184.500854,797.954712,469.025909,,,,,,,,,,915.686584,715.819397,172.890686,,,,,,,,,,,,,873.296692,623.183350,181.040787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,1183.686157,797.944031,468.969025,,,,,,,,,,913.444031,714.879883,172.319916,,,,,,,,,,,,,871.789429,621.829407,179.962418,,,,,,,781.745483,723.971497,203.510605,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,1182.338135,798.028503,468.526733,,,,,,,,,,911.287537,714.171875,171.318146,,,,,,,,,,,,,870.098083,620.726685,178.236954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,1181.029907,798.012512,467.707458,,,,,,,,,,909.616821,713.322998,169.813202,,,,,,,,,,,,,868.973816,619.556580,176.630310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,1180.217651,798.120117,467.352478,,,,,,,,,,907.392151,712.575745,168.503708,,,,,,,,,,,,,867.856262,618.369934,174.264816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,1179.499146,798.171204,467.105774,,,,,,,,,,905.571655,711.914917,167.534073,,,,,,,,,,,,,866.490662,617.574341,172.229828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,1177.737427,798.260620,466.762604,,,,,,,,,,903.457642,711.071960,166.424133,,,,,,,,,,,,,864.972351,616.241272,169.876709,,,,,,,,,,771.694092,714.523743,194.347046,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,1176.059692,798.406738,466.171906,,,,,,,,,,901.519775,710.691956,165.019119,,,,,,,,,,,,,863.695374,615.341919,168.189133,,,,,,,,,,770.129028,713.177307,192.452408,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,1175.003784,798.485535,465.938629,,,,,,,,,,899.798523,710.159729,164.091064,,,,,,,,,,,,,862.565674,614.706726,165.779099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,1174.149536,798.598999,465.718994,,,,,,,,,,898.300110,709.224060,162.392059,,,,,,,,,,,,,860.847900,613.588257,162.682037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,1172.562744,798.845825,465.105957,,,,,,,,,,896.935486,708.666443,161.476929,,,,,,,,,,,,,858.557434,613.085205,161.544479,,,,,,,,,,,,,765.309692,708.613098,187.323669,,,,,,,,,,,,,,,,,,,,,
