Grasp35
Date:,2025/04/16
Time:,14:17:22
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
66,917.180420,812.909668,101.732628,779.780396,791.081055,81.216499,889.990723,725.650330,69.092010,1106.712769,941.763733,300.044556,1108.543579,908.080017,440.192963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,916.691162,811.018005,102.654640,779.592712,788.470154,81.981407,889.725159,723.092773,70.428131,1106.297852,941.225586,299.802185,1108.091675,907.921753,440.067535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,916.395935,808.726990,103.486183,779.298279,785.553284,83.452148,888.980591,720.665222,71.921883,1105.665771,940.597107,299.530579,1107.751465,907.681641,439.890350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,915.984741,806.861816,104.180527,778.539856,783.002869,84.639320,888.986938,718.010132,73.578522,1105.001221,939.986023,299.140259,1107.555054,907.469482,439.708038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,915.604797,804.845215,104.829109,778.571472,780.531311,85.895134,887.670715,716.369812,74.617371,1104.236572,939.541870,298.545502,1107.031616,907.135254,439.225403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,914.763367,802.953979,105.522560,778.367737,777.820251,86.979172,888.204468,713.938782,75.670235,1103.776367,939.080994,298.035248,1106.344727,906.924438,438.684387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,914.056946,800.831665,106.210770,777.755127,775.413208,87.697151,888.290710,711.466248,76.841072,1103.291138,938.611938,297.555511,1105.623535,906.768127,438.335754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,913.506042,799.042664,106.923134,776.689453,773.233582,89.168777,887.482300,709.179871,78.465752,1102.678711,937.935974,297.086761,1105.317993,906.468201,437.831116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,912.537720,796.972473,107.747864,776.750916,770.533569,89.775703,886.790405,707.010132,79.846931,1102.012207,937.131836,296.719055,1105.009277,906.135620,437.568756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,911.756958,795.000061,108.490326,776.412659,768.143250,90.034004,885.703674,705.415405,80.886169,1101.211060,936.469666,296.056091,1104.679565,905.877747,437.342041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,911.320557,793.013916,108.990791,775.941284,765.725464,90.900467,885.121704,702.967224,81.817688,1100.635742,935.965820,295.595856,1104.187866,905.609924,436.964111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,910.750305,791.131836,109.654480,775.424011,763.537048,91.337723,884.722961,700.900085,82.614288,1100.191040,935.401855,295.120483,1103.643066,905.386108,436.515289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,909.989685,789.151855,110.155449,774.812500,761.300537,91.913727,884.276917,698.655457,83.625412,1099.566528,934.634460,294.889526,1103.171265,905.262817,436.048065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,909.518311,787.488953,110.536621,774.377563,759.145874,92.506180,883.399414,696.557251,85.097290,1098.798828,933.745056,294.646088,1102.595703,905.037415,435.485779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,908.884460,785.374451,111.205811,773.947266,757.100586,93.268181,882.777466,694.424988,85.802849,1097.897217,932.980774,294.168213,1102.299438,904.558716,435.325470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,907.887634,783.509094,112.028664,773.440796,754.879089,94.290474,882.135742,692.311157,86.674530,1097.154053,932.465820,293.656403,1102.270874,903.707336,434.656281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,907.146301,781.513550,112.197815,772.560852,753.007935,94.710312,881.094910,690.263062,87.818901,1096.392212,931.844238,293.282379,1101.558472,903.526001,434.782715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,905.918762,780.080688,112.912392,772.292969,750.935913,95.366150,880.431274,688.087158,88.231056,1095.586670,930.931824,293.003510,1101.104370,902.738831,434.058350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,905.467590,777.816284,113.306503,771.913391,749.032166,96.076233,879.735535,686.235107,88.701653,1094.640991,930.103394,292.746857,1100.568970,902.329163,433.253265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
