Grasp121
Date:,2025/04/24
Time:,16:09:46
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
85,1037.488647,829.381958,271.012909,824.294250,565.006470,293.295868,722.226196,600.714844,299.212219,838.796265,661.054443,255.319305,,,,,,,,,,1103.614136,830.472229,423.824585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1039.890991,831.315308,271.206207,824.677307,570.577881,292.480896,722.987854,606.803772,299.055054,839.150757,666.399353,254.447418,,,,,,,,,,1105.334961,830.841431,423.370911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1042.159546,833.307068,271.152374,826.268005,575.230835,291.917786,723.431274,612.623718,298.804596,839.786560,670.640930,253.944244,,,,,,,,,,1106.635010,831.383728,423.364349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1044.822388,835.399475,270.524902,826.644775,580.154663,290.427856,724.745422,618.271912,297.776581,841.001160,675.587463,252.424026,,,,,,,,,,1107.670166,831.961853,423.891479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1046.571655,837.100037,270.534790,827.780212,584.699890,289.729950,725.078613,624.454773,297.862488,842.570801,680.361267,250.987579,,,,,,,,,,1109.007324,832.655212,424.210022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1048.169800,839.448608,270.757629,828.494446,589.648926,288.441284,725.949768,629.829102,296.984100,842.852173,684.813782,249.454834,,,,,,,,,,1110.359741,833.174744,423.972778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1051.412598,840.739197,269.940094,829.420715,594.505798,286.792480,726.607788,635.509949,295.969147,843.165161,689.288879,247.794006,,,,,,,,,,1111.343628,833.650879,423.746185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1053.998901,842.357117,269.519409,831.033691,598.723267,285.379730,727.502319,640.722168,294.628204,844.196228,693.568909,246.225983,,,,,,,,,,1112.523926,834.317505,424.045074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1055.434082,844.588928,269.621094,831.935852,603.445007,282.761017,728.136047,646.197876,292.953735,844.881470,697.836548,244.562103,,,,,,,,,,1113.868042,834.816040,424.449005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1056.721191,846.591736,269.918549,833.199036,607.699829,280.529388,729.369751,651.459290,290.812225,846.593628,702.484863,241.598434,,,,,,,,,,1115.033325,835.392822,424.587585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1058.900024,847.998657,269.677643,833.170654,612.499390,278.238159,729.578735,656.686218,288.720215,847.200256,706.281616,239.873032,,,,,,,,,,1116.156738,835.737488,424.596191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
