Grasp41
Date:,2025/04/16
Time:,14:27:53
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
66,790.843140,736.247192,134.115128,929.074768,746.471619,128.783997,893.198853,658.829834,133.537460,1227.804932,860.701599,402.162292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,790.780701,734.974670,134.513748,928.433899,744.615845,129.090408,892.474548,657.303772,134.011246,1227.064697,860.567078,401.765900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,790.038147,733.288940,135.622406,927.664490,743.169800,129.669724,891.502197,655.826355,134.874954,1226.369873,860.267944,401.461578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,788.773926,731.863159,136.280182,926.519897,741.847778,130.304169,891.145203,654.177917,136.111115,1225.569214,860.001831,401.076904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,787.917542,730.857178,136.493286,926.311646,740.230164,130.471741,890.368774,652.680664,136.481277,1225.057617,859.780518,400.863037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,787.644531,729.885315,136.373474,925.382690,738.976501,130.835144,889.514832,651.649841,136.885590,1224.567261,859.545166,400.523682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,787.284668,728.732422,136.410675,924.323425,737.680237,130.985184,888.659790,650.292847,136.780319,1223.652588,859.287354,399.905762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,786.381165,727.636841,136.743637,924.009583,736.371582,131.009033,888.144775,649.042969,137.143600,1222.768188,859.121094,399.578796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,785.058105,727.080933,137.011078,923.445496,735.411255,131.109436,886.965881,647.925842,137.901993,1221.747437,858.847656,399.229126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,784.049011,726.298462,136.935257,922.185059,734.203064,131.284775,885.732422,646.518860,138.390671,1220.862793,858.558167,399.207794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,783.376587,725.421265,136.686584,920.965393,733.115723,131.247726,885.129333,644.942200,139.190125,1220.060303,858.399597,399.097382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,782.744080,724.753540,136.963181,920.650085,732.345398,131.226242,884.368652,644.132080,139.920258,1219.443726,858.265381,398.918579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,781.827026,724.239807,136.772720,920.005432,731.298401,131.279556,882.898315,643.407654,139.365402,1218.357666,858.031189,398.411896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,780.994446,723.701111,136.535706,919.098328,730.025208,131.441727,881.811401,642.733459,139.410675,1217.359131,857.655151,397.856323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,780.445801,723.222168,136.243423,918.351929,729.006653,131.411835,881.097595,641.735352,139.789246,1216.722656,857.348267,397.520966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,779.956726,722.650085,136.203766,917.825684,728.387329,131.168808,879.660889,640.851868,140.425476,1216.117676,857.080688,397.310150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,779.063110,722.161804,136.401505,917.117798,727.622192,131.229523,878.613342,640.103699,140.235977,1215.336182,856.812683,396.889557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,778.188965,721.685730,136.584991,915.666748,726.420654,131.625412,877.902771,639.202515,139.960373,1214.099243,856.526917,396.272858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,777.568054,720.990356,136.544113,914.825073,725.502319,130.739716,877.161133,638.555908,140.045441,1213.102661,856.099792,396.001282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,776.887756,720.548706,136.194122,914.865906,724.791443,130.085129,875.837830,637.860291,140.443909,1212.244507,855.789978,395.684540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,776.469360,719.984741,135.535309,914.545898,724.234619,129.640457,874.359741,637.085022,140.400406,1211.554077,855.578308,395.393433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,776.370789,719.338013,135.154175,913.263000,723.815857,129.741302,873.637024,636.478210,140.220032,1210.940918,855.409973,395.175781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,776.012451,718.669312,134.979263,912.026428,723.028809,129.853058,873.297058,635.441833,139.811584,1210.272705,855.139465,394.760742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,775.381775,718.076355,134.823288,911.039368,722.334167,129.476349,872.272278,634.797180,140.211945,1209.416870,854.831787,394.398376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,774.957092,717.571472,134.858841,910.428345,722.075745,128.832504,870.918335,634.566589,140.578140,1208.624390,854.484741,393.906128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,910.185059,721.490662,128.311295,869.703552,633.979614,139.953857,1208.091797,854.191650,393.500427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,910.434265,720.184265,127.836380,869.390381,633.320068,139.385254,1207.701904,853.876160,393.103210,,,,,,,774.481018,716.481812,133.504349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,909.626465,719.439392,127.516693,868.843872,632.425354,139.112640,1207.089111,853.604797,392.579926,,,,,,,773.988220,715.929565,133.280167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,909.156616,718.347168,127.454109,867.428040,631.732422,138.625168,1206.217773,853.339172,392.228058,,,,,,,773.563599,715.343262,133.153839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,908.512085,717.650146,127.275299,866.608521,631.269470,137.765030,1205.406616,853.120972,391.743042,,,,,,,773.044189,714.837219,133.073364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,907.859924,717.465820,126.791702,866.027954,630.600342,137.630081,1204.540039,852.780334,391.360718,,,,,,,772.442017,714.322205,132.984833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,907.572510,716.939941,126.290306,865.153259,629.980530,137.626572,1203.883911,852.657227,390.991638,,,,,,,772.098389,713.723572,132.814285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
