Grasp29
Date:,2025/04/16
Time:,10:31:59
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,834.312012,449.579285,114.166634,888.914124,534.118164,129.160461,,,,1074.829712,671.904236,378.710846,765.757446,487.542480,98.130005,1052.676270,699.584167,237.141022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,832.901001,451.648010,116.003914,888.709412,535.867249,132.339630,,,,1075.616699,672.922913,378.661560,764.668396,490.932861,103.077591,1054.833862,700.161926,237.666214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,830.989624,454.013977,117.924644,888.686768,537.587341,135.840927,,,,1076.524292,674.070801,378.909546,763.609253,494.450439,108.757423,1056.630859,701.451721,237.508682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,828.937561,456.624634,119.864799,888.524719,539.257629,138.099182,,,,1077.489502,674.638733,378.516449,762.257507,498.251404,113.983871,1058.962158,702.752502,237.712646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,826.678955,459.614532,121.645996,888.134155,541.034058,141.781342,,,,1078.438232,674.829163,378.304443,761.311584,502.241638,119.135384,1061.634888,702.890198,237.789185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,824.434753,463.127258,123.913689,887.467834,543.117249,145.134949,,,,1079.573975,675.213013,378.031494,760.534424,506.040283,124.622467,1063.899902,703.304138,238.173462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,822.212830,466.813904,126.010414,887.242004,545.004578,148.353394,,,,1080.646362,675.907410,377.821106,759.286072,510.273468,129.013443,1065.316162,704.224365,239.006256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,819.856506,470.488281,128.375076,887.037170,547.308350,151.013397,,,,1081.174561,676.701965,377.979126,758.093506,514.493164,135.115829,1066.975464,705.410278,239.731674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,817.640686,474.224915,130.828812,886.518616,549.281067,154.190140,,,,1081.687012,677.288391,378.230652,756.840576,519.038513,139.846817,1068.811401,706.147095,240.551987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,814.992004,478.270569,133.879501,886.254639,551.776306,156.662842,,,,1082.812500,677.812744,378.417847,755.864990,523.726807,144.466171,1070.487183,706.473267,241.154434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
